date,cpi
1990-01-31,127.5
1990-02-28,128.0
1990-03-31,128.6
1990-04-30,128.9
1990-05-31,129.1
1990-06-30,129.9
1990-07-31,130.5
1990-08-31,131.6
1990-09-30,132.5
1990-10-31,133.4
1990-11-30,133.7
1990-12-31,134.2
1991-01-31,134.7
1991-02-28,134.8
1991-03-31,134.8
1991-04-30,135.1
1991-05-31,135.6
1991-06-30,136.0
1991-07-31,136.2
1991-08-31,136.6
1991-09-30,137.0
1991-10-31,137.2
1991-11-30,137.8
1991-12-31,138.2
1992-01-31,138.3
1992-02-29,138.6
1992-03-31,139.1
1992-04-30,139.4
1992-05-31,139.7
1992-06-30,140.1
1992-07-31,140.5
1992-08-31,140.8
1992-09-30,141.1
1992-10-31,141.7
1992-11-30,142.1
1992-12-31,142.3
1993-01-31,142.8
1993-02-28,143.1
1993-03-31,143.3
1993-04-30,143.8
1993-05-31,144.2
1993-06-30,144.3
1993-07-31,144.5
1993-08-31,144.8
1993-09-30,145.0
1993-10-31,145.6
1993-11-30,146.0
1993-12-31,146.3
1994-01-31,146.3
1994-02-28,146.7
1994-03-31,147.1
1994-04-30,147.2
1994-05-31,147.5
1994-06-30,147.9
1994-07-31,148.4
1994-08-31,149.0
1994-09-30,149.3
1994-10-31,149.4
1994-11-30,149.8
1994-12-31,150.1
1995-01-31,150.5
1995-02-28,150.9
1995-03-31,151.2
1995-04-30,151.8
1995-05-31,152.1
1995-06-30,152.4
1995-07-31,152.6
1995-08-31,152.9
1995-09-30,153.1
1995-10-31,153.5
1995-11-30,153.7
1995-12-31,153.9
1996-01-31,154.7
1996-02-29,155.0
1996-03-31,155.5
1996-04-30,156.1
1996-05-31,156.4
1996-06-30,156.7
1996-07-31,157.0
1996-08-31,157.2
1996-09-30,157.7
1996-10-31,158.2
1996-11-30,158.7
1996-12-31,159.1
1997-01-31,159.4
1997-02-28,159.7
1997-03-31,159.8
1997-04-30,159.9
1997-05-31,159.9
1997-06-30,160.2
1997-07-31,160.4
1997-08-31,160.8
1997-09-30,161.2
1997-10-31,161.5
1997-11-30,161.7
1997-12-31,161.8
1998-01-31,162.0
1998-02-28,162.0
1998-03-31,162.0
1998-04-30,162.2
1998-05-31,162.6
1998-06-30,162.8
1998-07-31,163.2
1998-08-31,163.4
1998-09-30,163.5
1998-10-31,163.9
1998-11-30,164.1
1998-12-31,164.4
1999-01-31,164.7
1999-02-28,164.7
1999-03-31,164.8
1999-04-30,165.9
1999-05-31,166.0
1999-06-30,166.0
1999-07-31,166.7
1999-08-31,167.1
1999-09-30,167.8
1999-10-31,168.1
1999-11-30,168.4
1999-12-31,168.8
2000-01-31,169.3
2000-02-29,170.0
2000-03-31,171.0
2000-04-30,170.9
2000-05-31,171.2
2000-06-30,172.2
2000-07-31,172.7
2000-08-31,172.7
2000-09-30,173.6
2000-10-31,173.9
2000-11-30,174.2
2000-12-31,174.6
2001-01-31,175.6
2001-02-28,176.0
2001-03-31,176.1
2001-04-30,176.4
2001-05-31,177.3
