date,reer
2018-03-31,92.16
2018-04-30,92.41
2018-05-31,95.28
2018-06-30,96.89
2018-07-31,97.14
2018-08-31,97.61
2018-09-30,97.61
2018-10-31,98.15
2018-11-30,99.02
2018-12-31,98.53
2019-01-31,97.38
2019-02-28,97.09
2019-03-31,97.67
2019-04-30,98.0
2019-05-31,99.1
2019-06-30,98.74
2019-07-31,98.37
2019-08-31,99.96
2019-09-30,100.09
2019-10-31,99.41
2019-11-30,98.87
2019-12-31,98.1
2020-01-31,97.58
2020-02-29,98.7
2020-03-31,102.43
2020-04-30,104.59
2020-05-31,104.0
2020-06-30,101.81
2020-07-31,101.25
2020-08-31,99.92
2020-09-30,99.25
2020-10-31,98.53
2020-11-30,96.95
2020-12-31,94.98
2021-01-31,94.52
2021-02-28,94.88
2021-03-31,96.81
2021-04-30,96.84
2021-05-31,96.29
2021-06-30,97.26
2021-07-31,98.63
2021-08-31,98.82
2021-09-30,98.68
2021-10-31,99.61
2021-11-30,100.45
2021-12-31,101.15
2022-01-31,100.94
2022-02-28,100.89
