date,real_dollar
2006-01-31,
2006-02-28,0.002390141335114393
2006-03-31,0.0029247097883677853
2006-04-30,-0.004955915548563894
2006-05-31,-0.02205254966017467
2006-06-30,0.013533409998646384
2006-07-31,0.0017607713260403557
2006-08-31,-0.0054626443154655036
2006-09-30,-0.002697399588855731
2006-10-31,-0.0021513750988235714
2006-11-30,-0.01009626982593037
2006-12-31,-0.00600330144552963
2007-01-31,0.010549476546922065
2007-02-28,-0.001200124760565302
2007-03-31,-0.0026242106554326128
2007-04-30,-0.013502058448570331
2007-05-31,-0.007603852852306581
2007-06-30,-0.0028018941864216274
2007-07-31,-0.014872954041606157
2007-08-31,0.003591520978341478
2007-09-30,-0.012831759392648578
2007-10-31,-0.023174740788422632
2007-11-30,-0.011841005083451428
2007-12-31,0.009414391268467881
2008-01-31,-0.005948480447664828
2008-02-29,-0.010865341883235402
2008-03-31,-0.02034119260810474
2008-04-30,-0.00446016050544884
2008-05-31,0.00378110097676565
2008-06-30,0.00665937586394616
2008-07-31,-0.004583500824083764
2008-08-31,0.026501052875394393
2008-09-30,0.025928764514210556
2008-10-31,0.06275983708480659
2008-11-30,0.011909274270676562
2008-12-31,-0.016365433245824512
2009-01-31,0.00985014586507127
2009-02-28,0.026895740006170676
2009-03-31,0.0032917269547629857
2009-04-30,-0.026411723346740246
2009-05-31,-0.032460977538430136
2009-06-30,-0.00960236430960748
2009-07-31,-0.004612935581297606
2009-08-31,-0.013163480246306314
2009-09-30,-0.0069407430813486215
2009-10-31,-0.01370216191675322
2009-11-30,-0.005176226459792765
2009-12-31,0.0037549117678601363
2010-01-31,-0.0014013572173370292
2010-02-28,0.013079160893658681
2010-03-31,-0.009757972198427112
2010-04-30,-0.007135431969279793
2010-05-31,0.028540415381394624
2010-06-30,0.003974135929572853
2010-07-31,-0.017406037934311946
2010-08-31,-0.008790560155717664
2010-09-30,-0.01079375733599175
2010-10-31,-0.028752862442861016
2010-11-30,0.0013551195439225339
2010-12-31,0.007963577714606096
2011-01-31,-0.012340986354193006
2011-02-28,-0.00718336078745363
2011-03-31,-0.008936990580632909
2011-04-30,-0.017063025540708487
2011-05-31,0.0011026968730796227
2011-06-30,-0.0017970858948563873
2011-07-31,-0.0071218884597819
2011-08-31,0.007874220013225575
2011-09-30,0.031488263134313854
2011-10-31,0.007497520929288015
2011-11-30,0.0069686377257029974
2011-12-31,0.009023381774696304
