Date,gscpi
2020-10-01,0.11
2020-11-01,0.78
2020-12-01,1.72
2021-01-01,1.37
2021-02-01,2.0
2021-03-01,2.33
2021-04-01,2.82
2021-05-01,3.1
2021-06-01,2.83
2021-07-01,3.01
2021-08-01,3.39
2021-09-01,3.46
2021-10-01,4.01
2021-11-01,4.41
2021-12-01,4.49
2022-01-01,3.78
2022-02-01,2.85
2022-03-01,2.91
2022-04-01,3.6
2022-05-01,2.81
2022-06-01,2.47
2022-07-01,1.87
2022-08-01,1.55
2022-09-01,1.05
2022-10-01,1.16
2022-11-01,1.28
2022-12-01,1.35
2023-01-01,1.09
2023-02-01,-0.22
2023-03-01,-1.17
2023-04-01,-1.31
2023-05-01,-1.59
2023-06-01,-1.12
2023-07-01,-0.95
2023-08-01,-1.07
2023-09-01,-0.66
2023-10-01,-0.38
2023-11-01,0.16
2023-12-01,-0.17
2024-01-01,-0.34
2024-02-01,-0.19
2024-03-01,-0.36
2024-04-01,-0.96
2024-05-01,-0.59
2024-06-01,-0.35
2024-07-01,-0.05
2024-08-01,0.21
2024-09-01,0.1
2024-10-01,-0.35
2024-11-01,-0.28
2024-12-01,-0.26
2025-01-01,-0.18
2025-02-01,0.0
2025-03-01,-0.19
2025-04-01,-0.25
2025-05-01,0.28
2025-06-01,0.08
2025-07-01,0.02
2025-08-01,-0.08
2025-09-01,-0.02
2025-10-01,-0.08
2025-11-01,-0.15
2025-12-01,0.56
2026-01-01,0.44
2026-02-01,0.54
2026-03-01,0.68
