Period_dt,lwti,lpri,d2pri,lwip,lgop,pri,date,u_wip,u_gop,pri_jp,pri_aus,pri_cds,pri_fra,pri_ger,pri_india,pri_indo,pri_pak,pri_rus,pri_vn,pri_uk,Period,lpri_jp,dlpri_jp,lpri_aus,dlpri_aus,lpri_cds,dlpri_cds,lpri_fra,dlpri_fra,lpri_ger,dlpri_ger,lpri_india,dlpri_india,lpri_indo,dlpri_indo,lpri_pak,dlpri_pak,lpri_rus,dlpri_rus,lpri_vn,dlpri_vn,lpri_uk,dlpri_uk,dlpri,llwip,llgop,l2lwip,l2lgop,d2pri_jp,dllgop,dl2lgop,vix,gs10,tb3ms,tedrate,baa10y,us_spread,gscpi,brent,gold,bdi,cny_usd,dxy,em_fx,reer,indpro,uct_tension_l1,gpr_global_l1,gpr_chn_l1,gpr_usa_l1,gdelt_events
1990-01-31,2.8768162433604516,-0.5688248987322411,-0.1,4.135465552038807,4.109584311746399,-0.5999999999999927,1990-01-01,2.890270779,-0.340788195529255,3.399999999999997,1.7000000000000002,-6.299999999999997,0.9000000000000008,2.700000000000002,-2.499999999999997,-3.7000000000000006,6.299999999999995,0.30000000000000004,-6.800000000000003,2.0999999999999996,1990-01-01,1.4816046,0.0,0.9932518,0.0,-1.9878744,0.0,0.64185387,0.0,1.3083328,0.0,-1.2527629,0.0,-1.5475625,0.0,1.9878744,0.0,0.26236427,0.0,-2.0541236,0.0,1.1314021,0.0,0.0,4.139441,4.118796,4.131745,4.1245885,0.0,,,,7.84,7.63,0.8910526315789473,1.91,1.91,,0.05766614843083051,0.03765765680178568,0.02234724683443723,0.237965888727538,,,,0.005469228290109207,,112.55352783203125,0.3525215685367584,2.786993980407715,
1990-02-28,2.8490794560394908,-0.7326682560454053,-0.2,4.139524248198193,4.113802048264543,-0.7999999999999927,1990-02-01,0.997852803,1.76621221018541,3.399999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.499999999999997,-3.7000000000000006,6.299999999999995,0.30000000000000004,-6.800000000000003,2.0999999999999996,1990-02-01,1.4816046,0.0,0.9932518,0.0,-1.9878744,0.0,0.6931472,0.051293314,1.3083328,0.0,-1.2527629,0.0,-1.5475625,0.0,1.9878744,0.0,0.26236427,0.0,-2.0541236,0.0,1.1314021,0.0,-0.16384336,4.1354656,4.1095843,4.139441,4.118796,0.0,-0.00921154,-0.005792618,23.34727278622714,8.21,7.64,0.7109523809523809,1.68,1.68,,0.06879540878553492,0.0017571694576172803,-0.012145984543486144,0.0,,,,-0.005070632766924987,,81.5440444946289,0.23352041840553284,1.9214224815368652,0.0
1990-03-31,2.7648802389313962,-0.8088669356527773,0.1,4.143738195061332,4.128462905396807,-0.8999999999999927,1990-03-01,-6.8534674,1.59064053334787,3.399999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.399999999999997,-3.7000000000000006,6.299999999999995,0.6000000000000001,-6.800000000000003,2.0999999999999996,1990-03-01,1.4816046,0.0,0.9932518,0.0,-1.9878744,0.0,0.6931472,0.0,1.3083328,0.0,-1.2237754,0.028987527,-1.5475625,0.0,1.9878744,0.0,0.47000363,0.20763937,-2.0541236,0.0,1.1314021,0.0,-0.07619868,4.1395245,4.113802,4.1354656,4.1095843,0.0,0.0042176247,-0.00921154,23.262631767674495,8.47,7.74,0.6242105263157894,1.68,1.68,,-0.07007892965768514,0.016205066076567576,0.026735334643430697,0.0,,,,0.009040640973159597,,77.40721130371094,0.16966557502746582,1.9154350757598877,0.0
1990-04-30,2.6683266462620705,-0.8088669356527773,0.1,4.133442190877719,4.123999363091875,-0.8999999999999927,1990-04-01,-4.485259791,-0.238662691053113,3.399999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-3.7000000000000006,6.299999999999995,1.1,-6.800000000000003,2.0999999999999996,1990-04-01,1.4816046,0.0,0.9932518,0.0,-1.9878744,0.0,0.6931472,0.0,1.3083328,0.0,-1.1631508,0.0606246,-1.5475625,0.0,1.9878744,0.0,0.74193734,0.2719337,-2.0541236,0.0,1.1314021,0.0,0.0,4.1437383,4.128463,4.1395245,4.113802,0.0,0.014660835,0.0042176247,20.06227259202437,8.59,7.9,0.5936363636363636,1.58,1.58,,-0.074704797874237,-0.05866821050196247,0.019638417359561622,0.0,,,,0.004969202991748745,,67.5919418334961,0.11263010650873184,1.6040080785751343,0.0
1990-05-31,2.6480353855701897,-0.8088669356527773,0.0,4.144599843059943,4.114774607029828,-0.8999999999999927,1990-05-01,-3.758462253,0.730446640101484,3.399999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-3.7000000000000006,6.299999999999995,1.1,-6.800000000000003,2.0999999999999996,1990-05-01,1.4816046,0.0,0.9932518,0.0,-1.9878744,0.0,0.6931472,0.0,1.3083328,0.0,-1.1631508,0.0,-1.5475625,0.0,1.9878744,0.0,0.74193734,0.0,-2.0541236,0.0,1.1314021,0.0,0.0,4.1334424,4.1239996,4.1437383,4.128463,0.0,-0.004463196,0.014660835,21.40349998474121,8.79,7.77,0.7947368421052632,1.5,1.5,,-0.10152706335378836,-0.049064969135971026,0.02053910485050725,0.0,,,,-0.002623250205882499,,81.64384460449219,0.1515151560306549,1.961506962776184,0.0
1990-06-30,2.5640014339353754,-0.8088669356527773,0.0,4.148147853929191,4.101144225359306,-0.8999999999999927,1990-06-01,-0.767166099,-0.346604302446064,3.599999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-3.7000000000000006,6.299999999999995,1.2000000000000002,-6.800000000000003,2.0999999999999996,1990-06-01,1.5260563,0.044451714,0.9932518,0.0,-1.9878744,0.0,0.6931472,0.0,1.3083328,0.0,-1.1631508,0.0,-1.5475625,0.0,1.9878744,0.0,0.78845733,0.046519995,-2.0541236,0.0,1.1314021,0.0,0.0,4.1446,4.1147747,4.1334424,4.1239996,0.2,-0.009224892,-0.004463196,18.09772725538774,8.76,7.74,0.7357142857142857,1.71,1.71,,-0.015764769912704146,-0.013965166619807512,-0.003839159020087024,0.0,,,,0.0030369033197290562,,86.40711975097656,0.16669312119483948,2.1114461421966553,0.0
1990-07-31,2.6589994665888073,-0.8088669356527773,0.0,4.147998434917729,4.10287147125,-0.8999999999999927,1990-07-01,7.740614638,-0.89974187617403,3.599999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-1.3000000000000007,6.299999999999995,1.4000000000000001,-6.800000000000003,2.0999999999999996,1990-07-01,1.5260563,0.0,0.9932518,0.0,-1.9878744,0.0,0.6931472,0.0,1.3083328,0.0,-1.1631508,0.0,-0.8329091,0.7146534,1.9878744,0.0,0.87546873,0.0870114,-2.0541236,0.0,1.1314021,0.0,0.0,4.148148,4.1011443,4.1446,4.1147747,-0.2,-0.01363039,-0.009224892,16.822380837940035,8.48,7.73,0.6247619047619047,1.79,1.79,,-0.07935684037189139,-0.04636389979662425,0.07418317562622079,0.0,,,,0.0033858350269504456,,79.68110656738281,0.18256503343582153,1.9874694347381592,0.0
1990-08-31,3.027663800899006,-0.8088669356527773,0.0,4.153454625909485,4.042448138620265,-0.8999999999999927,1990-08-01,6.449692647,-7.92903356128256,3.599999999999997,1.7000000000000002,-6.299999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-0.7000000000000007,6.299999999999995,1.4000000000000001,-6.800000000000003,2.0999999999999996,1990-08-01,1.5260563,0.0,0.9932518,0.0,-1.9878744,0.0,0.6931472,0.0,1.3083328,0.0,-1.1631508,0.0,-0.53062826,0.30228084,1.9878744,0.0,0.87546873,0.0,-2.0541236,0.0,1.1314021,0.0,0.0,4.1479983,4.1028714,4.148148,4.1011443,0.0,0.0017271042,-0.01363039,18.39285727909633,8.47,7.62,0.5961904761904762,1.77,1.77,,0.12810067499928257,0.02853899307167662,0.07155833467596473,0.0,,,,-0.0017488731555337367,,85.78742980957031,0.19013012945652008,1.9984790086746216,0.0
1990-09-30,3.235699546820326,-0.8088669356527773,0.0,4.155459730367675,4.086211175725372,-0.8999999999999927,1990-09-01,9.528901568,2.06353345534928,3.299999999999997,1.7000000000000002,-6.099999999999997,1.0000000000000009,2.700000000000002,-2.1999999999999966,-0.7000000000000007,6.299999999999995,1.4000000000000001,-5.5000000000000036,2.0999999999999996,1990-09-01,1.4586151,-0.067441225,0.9932518,0.0,-1.9600948,0.02777958,0.6931472,0.0,1.3083328,0.0,-1.1631508,0.0,-0.53062826,0.0,1.9878744,0.0,0.87546873,0.0,-1.8718022,0.18232143,1.1314021,0.0,0.0,4.153455,4.042448,4.1479983,4.1028714,-0.3,-0.060423374,0.0017271042,28.175217255302098,8.75,7.45,0.6481818181818182,1.69,1.69,,0.45890667796609064,0.08509475738329009,-0.10399169815488563,0.0,,,,0.003486749997004601,,250.45108032226562,0.5787994265556335,6.412270545959473,0.0
1990-10-31,3.293167973677838,-0.8088669356527773,0.0,4.1547875204798865,4.0919120727837175,-0.8999999999999927,1990-10-01,-0.974249357,-0.977700161262485,3.3999999999999972,1.7000000000000002,-6.099999999999997,1.0000000000000009,2.5000000000000018,-2.1999999999999966,-0.7000000000000007,6.299999999999995,1.6,-5.5000000000000036,2.0999999999999996,1990-10-01,1.4816046,0.022989511,0.9932518,0.0,-1.9600948,0.0,0.6931472,0.0,1.2527629,-0.055569887,-1.1631508,0.0,-0.53062826,0.0,1.9878744,0.0,0.95551145,0.08004272,-1.8718022,0.0,1.1314021,0.0,0.0,4.15546,4.086211,4.153455,4.042448,0.4,0.04376316,-0.060423374,29.10736836885151,8.89,7.36,0.8373684210526315,1.94,1.94,,0.25044077050009594,-0.0138003593161109,-0.043624215506627984,0.0,,,,7.625111401843299e-05,,188.66053771972656,0.3279777467250824,4.952878952026367,0.0
