Period_dt,lwti,lpri,d2pri,llwip,dllgop,l2lwip,dl2lgop,vix,gs10,tb3ms,tedrate,baa10y,us_spread,gscpi,brent,gold,bdi,cny_usd,dxy,em_fx,reer,indpro,gpr_chn_l1,gpr_usa_l1
2006-03-31,3.4499001092727166,0.6526665660823618,0.0,4.6383758,-4.863739e-05,4.6297126,-0.00718832,12.47105262154027,4.57,4.43,0.3215789473684211,1.65,1.65,-0.73,-0.04506193151030402,0.009288129774541964,0.003548966344993687,-0.0023971742225890047,0.0033975833961212842,-0.0010739148549321342,0.00160299259545571,0.0004215001803382634,0.471232533454895,2.225618600845337
2006-04-30,3.5474157656362264,0.9503469298211393,0.4,4.6415167,-0.0018153191,4.6383758,-4.863739e-05,11.693913003672725,4.72,4.51,0.4082608695652174,1.69,1.69,-0.38,0.03034026884618246,0.003773087181875745,0.009438712984096043,-0.0030887670743910967,0.007892038895644937,0.01039636109049269,0.006174173328568067,0.002252114659746063,0.5279770493507385,2.1922523975372314
2006-05-31,3.5622083026878215,0.9503469298211393,-0.4,4.6456046,0.000831604,4.6415167,-0.0018153191,11.847368441129985,4.99,4.6,0.4677777777777778,1.67,1.67,0.11,0.12402392651514216,0.09179668452414802,0.04977617584057903,-2.4948232418608995e-05,-0.024347306264787427,-0.0037548022225131206,-0.002975876359190721,0.0030320784432706915,0.538999080657959,2.043182611465454
2006-06-30,3.5600094160699065,0.8813735870195485,-0.1,4.6523504,-0.0062232018,4.6456046,0.000831604,14.454545411196621,5.11,4.72,0.46904761904761905,1.66,1.66,0.1,-0.006898827367874283,0.10076586726628456,-0.0035592141686855427,0.0006235191622381286,-0.0037843624695383937,0.012696564954472578,-0.017935292553921123,0.0002541145564114444,0.5686069130897522,2.0020949840545654
2006-07-31,3.602047280565492,1.0784510589549017,0.4,4.655618,-4.1484833e-05,4.6523504,-0.0062232018,16.91863627867265,5.11,4.79,0.5936363636363636,1.67,1.67,0.16,-0.01765421599629846,-0.12481081760306889,-0.04645843003104666,-0.00339664907791537,0.004875052253026979,-0.0019574861764715124,0.015590875452841324,0.0031614092164247154,0.5409652590751648,2.342168092727661
2006-08-31,3.5791752033961752,1.1947632172871134,-0.1,4.6588645,0.014077663,4.655618,-4.1484833e-05,15.325999879837036,5.09,4.95,0.5505,1.68,1.68,-0.09,0.07200423001381573,0.06110751047657814,0.04547012803796946,-0.0031697733154669727,-0.0025345507711040938,-0.010056429552101953,-0.00032011951401855754,-0.0005127465055316804,0.7432346343994141,2.9761147499084473
2006-09-30,3.449799681844561,1.1947632172871134,-0.2,4.662782,-0.0038003922,4.6588645,0.014077663,13.351739137069039,4.88,4.96,0.46090909090909093,1.73,1.73,0.07,-0.006042723212132728,-0.0017641911765347018,0.04060299443746018,-0.0019092125275852467,-0.0036351855270684297,-0.0011273224685046657,-0.007391174990000415,0.004379138878333855,0.47116532921791077,3.0335302352905273
2006-10-31,3.3728991350899205,1.3008204268406507,0.2,4.6665936,-0.004965782,4.662782,-0.0038003922,12.184499979019165,4.72,4.81,0.5780000000000001,1.72,1.72,-0.64,-0.16714515134204344,-0.05592550298811183,0.012533743098819272,-0.006280841442459106,0.004714199425388088,-0.0008247712428977039,-0.004093950988439232,-0.0016629623569395235,0.49172863364219666,2.479890823364258
2006-11-30,3.3806915368694708,1.3979983651114376,0.0,4.6691585,0.0045466423,4.6665936,-0.004965782,11.306363625959916,4.73,4.92,0.45571428571428574,1.64,1.64,-0.52,-0.06933563932484788,-0.020957449912380355,0.035652643967937436,-0.0032314300256035544,-0.0073178481558615616,-0.010376060673989329,-0.0021614619892504905,-0.0011474759561265202,1.0864711999893188,2.5926477909088135
2006-12-31,3.4190898563867784,1.4436354751788136,-0.1,4.6810064,-0.005899906,4.6691585,0.0045466423,10.817619051252093,4.6,4.94,0.42952380952380953,1.64,1.64,-0.23,0.01635423830971483,0.06932035834460404,0.05240768143577945,-0.005664295176323719,-0.008374626195269741,-0.00033232656253634474,-0.01219129064843738,-0.0004204326283367976,0.42811599373817444,1.9614392518997192
