Period_dt,lwti,lpri,d2pri,llwip,dllgop,dl2lgop,vix,gs10,tb3ms,baa10y,brent,gold,bdi,cny_usd,indpro,gpr_chn_l1,gpr_usa_l1,gdelt_total_events_log,gdelt_goldstein_mean,gdelt_sentiment_signal,gdelt_conflict_share,gdelt_hostility_share,gdelt_topic_pca_1,gdelt_topic_pca_2,gdelt_topic_pca_3,gdelt_topic_pca_4,gdelt_topic_pca_5,gpr,ea_gpr,wui
1990-02-28,2.8490794560394908,-0.7326682560454053,-0.2,4.1354656,-0.00921154,-0.005792618,23.34727278622714,8.21,7.64,1.68,0.0687954087855349,0.0017571694576172,-0.0121459845434861,0.0,-0.0050706327669249,0.2335204184055328,1.9214224815368648,4.262679877041316,2.49,10.614072893832876,0.0285714285714285,0.0714285714285714,1.7841256845217408,-1.3842056500533346,1.1291423126341165,0.8893010722180833,0.3960912803009499,58.92372670371584,,0.12496
1990-03-31,2.764880238931396,-0.8088669356527773,0.1,4.1395245,0.0042176247,-0.00921154,23.262631767674492,8.47,7.74,1.68,-0.0700789296576851,0.0162050660765675,0.0267353346434306,0.0,0.0090406409731595,0.1696655750274658,1.915435075759888,4.465908118654584,0.7604651162790699,3.3961673367443,0.0348837209302325,0.1046511627906976,-5.32955841340072,0.9380837963756694,-2.598018956197513,0.2326776801818932,-0.2360168003553178,59.63557699585029,,0.12496
1990-04-30,2.6683266462620705,-0.8088669356527773,0.1,4.1437383,0.014660835,0.0042176247,20.06227259202437,8.59,7.9,1.58,-0.074704797874237,-0.0586682105019624,0.0196384173595616,0.0,0.0049692029917487,0.1126301065087318,1.6040080785751345,4.3694478524670215,1.5141025641025645,6.615792197132762,0.0384615384615384,0.1282051282051282,-0.9751909203352338,3.591135745573094,-0.4308950704502163,-0.8302555036684515,0.2995263270581493,50.71423041231948,,0.12496
1990-05-31,2.6480353855701897,-0.8088669356527773,0.0,4.1334424,-0.004463196,0.014660835,21.40349998474121,8.79,7.77,1.5,-0.1015270633537883,-0.049064969135971,0.0205391048505072,0.0,-0.0026232502058824,0.1515151560306549,1.961506962776184,4.110873864173311,1.695,6.967931199773763,0.0333333333333333,0.1333333333333333,0.2951487722281776,0.8851005231728057,0.4813970515787245,-0.8572693215293391,2.747375969162276,59.21856593728268,,0.12496
1990-06-30,2.5640014339353754,-0.8088669356527773,0.0,4.1446,-0.009224892,-0.004463196,18.09772725538774,8.76,7.74,1.71,-0.0157647699127041,-0.0139651666198075,-0.003839159020087,0.0,0.003036903319729,0.1666931211948394,2.1114461421966557,4.672828834461906,1.228301886792453,5.739644474027737,0.0377358490566037,0.1320754716981132,-1.501207202870415,2.4662200416016127,-0.6054794712555857,-2.3621836253559523,1.95764503944886,62.0784202926265,,0.12496
1990-07-31,2.6589994665888077,-0.8088669356527773,0.0,4.148148,-0.01363039,-0.009224892,16.822380837940035,8.48,7.73,1.79,-0.0793568403718913,-0.0463638997966242,0.0741831756262207,0.0,0.0033858350269504,0.1825650334358215,1.9874694347381592,4.624972813284271,1.502970297029703,6.951196762936162,0.0,0.1386138613861386,1.6023749780723422,0.2538773505417323,-7.837000338985617,3.22690071031612,0.3556391247253823,52.670893515128206,,0.12496
1990-08-31,3.027663800899006,-0.8088669356527773,0.0,4.1479983,0.0017271042,-0.01363039,18.39285727909633,8.47,7.62,1.77,0.1281006749992825,0.0285389930716766,0.0715583346759647,0.0,-0.0017488731555337,0.19013012945652,1.9984790086746216,4.477336814478207,1.9,8.506939947508593,0.0229885057471264,0.0804597701149425,3.5538437980847664,1.5574422386791114,1.2931790123434324,-1.5139898606824669,-1.3990366796554958,59.61621687728501,,0.0877
1990-09-30,3.235699546820326,-0.8088669356527773,0.0,4.153455,-0.060423374,0.0017271042,28.175217255302098,8.75,7.45,1.69,0.4589066779660906,0.08509475738329,-0.1039916981548856,0.0,0.0034867499970046,0.5787994265556335,6.412270545959473,3.8918202981106265,1.2395833333333333,4.824235577866297,0.0625,0.1458333333333333,0.502429743444507,-2.19687324518445,-3.566174624877684,0.4726008848453618,-8.313703829753582,187.9398581190895,,0.0877
1990-10-31,3.293167973677838,-0.8088669356527773,0.0,4.15546,0.04376316,-0.060423374,29.10736836885151,8.89,7.36,1.94,0.2504407705000959,-0.0138003593161109,-0.0436242155066279,0.0,7.625111401843299e-05,0.3279777467250824,4.952878952026367,3.688879454113936,1.023076923076923,3.774007441516565,0.0,0.0512820512820512,2.269256550676569,0.2067055668769747,-4.073048215354691,1.593746558690878,-0.4556235865912111,138.82184623106355,,0.0877
1990-11-30,3.184638932108805,-0.7326682560454053,0.1,4.1547875,0.005701065,0.04376316,29.625652479088824,8.72,7.17,2.13,0.0316885851554333,-0.0222849000806499,-0.0095700968751772,0.0,-0.0058596531436769,0.2657599449157715,3.599484205245972,3.828641396489095,2.1133333333333333,8.091195484580288,0.0,0.0,0.5760491262184445,0.2346153380489476,0.3327940508003907,1.166869873947944,1.3166640946796262,110.35476534900332,,0.16199
