horizon,q25_linear,q50_linear,q75_linear,q25_ml,q50_ml,q75_ml
0,-0.019879599978139595,-0.030983357264631195,-0.01136671305539494,0.10185793793942341,0.1001717872259321,0.10370100944076083
1,-0.05752746138750808,-0.06177672896137665,-0.09358724219617898,0.10356560265783848,0.0998904796361152,0.10218464246604471
2,-0.09466363891806395,-0.12232371857112412,-0.030859173217322677,0.1046965666532756,0.10108648308107425,0.10294557552071494
3,-0.16004206989464365,-0.125278454637737,-0.031186900940156193,0.11128363704078278,0.10564443435983824,0.10410625725831404
4,-0.22282570446554928,-0.12255918557730183,-0.011394877374414136,0.11972043926163628,0.10616764015890058,0.10525448885763063
5,-0.22555547818592458,-0.0962877550694543,-0.030874253919591865,0.1262810377297881,0.11447531533786634,0.11579183230367049
6,-0.25287538633983786,-0.07245124972678241,-0.07546375548236028,0.13456420936596522,0.11419858568767358,0.12474488730307752
7,-0.29154306717168765,-0.15996993284079508,-0.05599313631341829,0.133641009325864,0.12274859465666031,0.12865254701916162
8,-0.22783053913190088,-0.10351640085184499,-0.006435572359805519,0.13381005761498016,0.1330941924611213,0.13303734892617625
9,-0.08974284559371881,-0.09834768553264439,-0.02279963846467581,0.13590647918660456,0.13891393633251953,0.13326245517482826
10,-0.08350133459862263,-0.14412547580286628,-0.02894403953428082,0.1391281141575357,0.14111192289004207,0.13742312815290814
11,-0.11824620987613343,-0.014399472594732288,0.0235300433082557,0.14674831561950463,0.14343741745059815,0.1417261207815841
12,-0.07671019036024518,0.0553641317619622,0.04555216870005552,0.14682172100713975,0.15042143318936804,0.14603804937939907
13,-0.07228648834507112,-0.032273395139782224,-0.003822888174909167,0.14706312920081388,0.1555072668417735,0.15145684779864949
14,-0.12629382566865388,0.00016224190937919047,-0.013347720900441118,0.14693452919299788,0.15840272049718224,0.15276031641112164
15,-0.0333408041156531,0.04550164043700988,-0.07052017312889802,0.14499750380459622,0.16060937122061716,0.15897423941442426
16,-0.0683106114374823,0.051064818920167454,-0.06652179685124793,0.1555924134425971,0.1657651635990172,0.16400710465284374
17,-0.07926189319414334,0.006759430496458663,-0.033249323521090446,0.1584386335392468,0.1683012277574015,0.16840531595408878
18,-0.05607513592985924,0.1373833215320701,-0.004608104977080529,0.1686000574348954,0.1740325501958636,0.17139094241257796
19,0.012819917428714689,0.08694645592413508,0.17271537948772675,0.16984704761992186,0.1756147695782977,0.17544487576407503
20,0.07797778308440684,0.08377975114126457,0.09374760948776384,0.17272478325208987,0.1785350132305115,0.17936151321193733
21,0.008805992250074723,0.04611397286365104,0.06913896452351764,0.18234316414285218,0.17874310490368026,0.1837753805028903
22,0.001252878606919694,0.12827422300415492,0.09323702827191482,0.1811718119813126,0.1847317021660814,0.18825600571261936
23,0.011223578383123822,0.07016899157406442,0.13313553485795637,0.19005569455046234,0.18568033125643432,0.18903604376649052
24,0.05395989267663026,0.2068171177588738,0.2314057578023494,0.18669531752868274,0.186697084572964,0.19583389286427635
25,0.13110267852169954,0.10764468585256282,0.20507006776460912,0.19073652331419153,0.1885396492260137,0.19323101919792315
26,0.13512498140417506,0.24928797723714524,0.20015481222071685,0.18104198144026826,0.19140938300595678,0.20175500122179998
27,0.21116147449356504,0.15660132565244567,0.16694906270583942,0.18480231161402833,0.19020475129310987,0.20379760414356535
28,0.19215642361393748,0.13530075549238063,0.33806665733845875,0.18669134139083576,0.18077592416161473,0.21105842986879716
29,0.1818105908096186,0.15891072685735708,0.26745522239298225,0.18527497898369485,0.18134285788395066,0.20718693840447017
30,0.13827551621034218,0.22777085321530421,0.29970975813193945,0.18826474212694644,0.18402996321020862,0.2087135502876246
31,0.22741263433789527,0.2138271196158712,0.37291909426858183,0.1910123454996904,0.1879300216633591,0.2010143446999028
