model,h,beta_wald,first_stage_f,weak_iv
Ridge (α=1),2,0.019548696255561486,335.592806712491,False
Ridge (α=1),3,0.010668112181780166,353.12757978448485,False
Ridge (α=1),4,0.0026616857534347426,355.19240980501337,False
Ridge (α=1),5,-0.015912999276720696,365.34683870588896,False
Ridge (α=1),6,-0.08497089143081167,361.66347186700324,False
Ridge (α=1),7,-0.08497805703445241,363.70160981683125,False
Ridge (α=1),8,-0.05540154219081198,375.1504406934128,False
Ridge (α=1),9,-0.05192301923504018,373.2740219483632,False
Ridge (α=1),10,-0.10139807600421429,381.15855099579704,False
Ridge (α=1),11,-0.04660337354279411,319.96943821376874,False
Ridge (α=1),12,-0.07050957520248502,382.29447145539604,False
Ridge (α=1),13,-0.10375096720900596,382.7611380355503,False
Ridge (α=1),14,-0.1563465121616857,389.59281524375155,False
Ridge (α=1),15,-0.1617976785140309,378.029776880528,False
Ridge (α=1),16,-0.23160105539801698,320.3527174901431,False
Ridge (α=1),17,-0.24731357413674346,295.6897715448968,False
Ridge (α=1),18,-0.23574855178261825,367.1957510382456,False
Ridge (α=1),19,-0.18629199179689387,366.47588901314305,False
Ridge (α=1),20,-0.15368641136583272,366.43860649428404,False
Ridge (α=1),21,-0.1334320945484861,297.35744002752534,False
Ridge (α=1),22,-0.10407679041116029,286.39126089401987,False
Ridge (α=1),23,-0.08410857185651521,290.9292968852565,False
Ridge (α=1),24,0.009352234646743254,366.92204537055375,False
Ridge (α=1),25,0.09930902510027706,356.4733806810232,False
Ridge (α=1),26,0.10482079910457037,292.6682032792436,False
Ridge (α=1),27,0.1291571556956413,282.5521058605405,False
Ridge (α=1),28,0.2113208934716739,273.37433153524626,False
Ridge (α=1),29,0.2964885844002874,263.43142071018474,False
Ridge (α=1),30,0.29904815309510885,345.4349805142469,False
Ridge (α=1),31,0.37181726665129894,272.7366788045142,False
Ridge (α=1),32,0.4264190659034831,264.1757107215259,False
Ridge (α=1),33,0.4837050952581328,263.08186864859334,False
Ridge (α=1),34,0.606807628801471,252.95166787976555,False
Ridge (α=1),35,0.6280832974003768,243.6129440040038,False
Ridge (α=1),36,0.646989370958785,262.8644657430448,False
Ridge (α=1),37,0.5401868354236407,259.006297128822,False
Ridge (α=1),38,0.4790476287632222,255.135417467409,False
Ridge (α=1),39,0.6347743189758855,246.30427672014713,False
Ridge (α=1),40,0.6113976561060243,233.77072145944462,False
Ridge (α=1),41,0.5748979778684576,218.20242183047503,False
Ridge (α=1),42,0.42722082935096223,248.5057148541318,False
Ridge (α=1),43,0.3677134394671431,251.30403764618308,False
Ridge (α=1),44,0.6318860107087554,232.05372201435773,False
Ridge (α=1),45,0.4647781672138005,219.78124181547244,False
Ridge (α=1),46,0.6248496990220831,211.44036418604372,False
Ridge (α=1),47,0.3597183593921921,228.81078444707993,False
Ridge (α=1),48,0.19214765882758553,235.23409445128115,False
Ridge (α=10)*,0,0.14343244133203362,59.74447727515805,False
Ridge (α=10)*,1,0.10725515340829918,56.136727649106874,False
Ridge (α=10)*,2,0.08224399321416233,58.19641514568275,False
Ridge (α=10)*,3,0.05666652379847895,59.36102271073041,False
Ridge (α=10)*,4,0.04260343108023171,59.41340220448921,False
Ridge (α=10)*,5,0.005424840606445866,63.86109918711343,False
Ridge (α=10)*,6,-0.05973937372906998,59.05892025025281,False
Ridge (α=10)*,7,-0.08258498212368075,58.75258752700453,False
Ridge (α=10)*,8,-0.05265366837533297,59.72164277148524,False
Ridge (α=10)*,9,-0.036512448630814986,59.81738447207128,False
Ridge (α=10)*,10,-0.09818088633525407,61.520307322260294,False
Ridge (α=10)*,11,-0.029222605937715175,66.9430329556449,False
Ridge (α=10)*,12,-0.032479280011893714,56.79767472081755,False
Ridge (α=10)*,13,-0.05396563165376297,56.96679841192567,False
Ridge (α=10)*,14,-0.12187469232525515,58.19581361326159,False
Ridge (α=10)*,15,-0.09252355482989431,58.73028977398,False
Ridge (α=10)*,16,-0.18385315315042272,65.25616905162664,False
Ridge (α=10)*,17,-0.2262098682838598,55.269399518241144,False
Ridge (α=10)*,18,-0.18499864489705609,53.96336880581231,False
Ridge (α=10)*,19,-0.1158777839977176,54.64055279869776,False
Ridge (α=10)*,20,-0.08016304030744305,56.22183457998517,False
Ridge (α=10)*,21,-0.07157883601494511,61.16702741700821,False
Ridge (α=10)*,22,-0.06422840400062466,51.6597202180552,False
Ridge (α=10)*,23,-0.08769701140191447,43.42297655276922,False
Ridge (α=10)*,24,-0.039376220381052734,52.13919163664984,False
Ridge (α=10)*,25,0.042538796434115185,52.162246759399544,False
Ridge (α=10)*,26,-0.004249666979271966,56.97617301519151,False
Ridge (α=10)*,27,0.013347865070714008,48.90028516527108,False
Ridge (α=10)*,28,0.0886393070329724,40.10021695450027,False
Ridge (α=10)*,29,0.12199724477635228,48.73113458947005,False
Ridge (α=10)*,30,0.09373277810622758,50.60491311946437,False
Ridge (α=10)*,31,0.09817580474667431,53.20129977348184,False
Ridge (α=10)*,32,0.15460343360070616,45.760070023199276,False
Ridge (α=10)*,33,0.2113402671380256,38.64492491714772,False
Ridge (α=10)*,34,0.2589259001547344,44.8645602937641,False
Ridge (α=10)*,35,0.31211861960775966,39.46114288213416,False
Ridge (α=10)*,36,0.25684428726350006,49.668215107008805,False
Ridge (α=10)*,37,0.25606057090728535,43.84763437722752,False
Ridge (α=10)*,38,0.1991163235065798,35.4175352786915,False
Ridge (α=10)*,39,0.2426935907976441,42.37467263322529,False
Ridge (α=10)*,40,0.2575134526277903,36.1987499525967,False
Ridge (α=10)*,41,0.13507304806240056,32.92726316475608,False
Ridge (α=10)*,42,0.13438061319176353,41.55530286247549,False
Ridge (α=10)*,43,0.08389283168569998,34.480370210621,False
Ridge (α=10)*,44,0.21860386100435997,39.569460880849505,False
Ridge (α=10)*,45,0.12875667070783622,32.33706298760439,False
Ridge (α=10)*,46,0.16598428735822757,31.02328183041355,False
Ridge (α=10)*,47,0.11555983163914325,16.980407947537223,False
Ridge (α=10)*,48,-0.027297099148544276,30.448633003555937,False
BayesianRidge,0,0.02085057654079479,1446.4268869687946,False
BayesianRidge,1,0.0455015829397767,1436.5690886465152,False
BayesianRidge,2,0.09914980118919962,1492.02924381123,False
BayesianRidge,3,0.13891386156970542,1668.4628437734057,False
BayesianRidge,4,0.15914424245651324,1739.676176519199,False
BayesianRidge,5,0.11404146475455955,1774.0517813534138,False
BayesianRidge,6,-0.13561015663419618,1776.512100156192,False
BayesianRidge,7,-0.13127519278163363,1781.0574882087947,False
BayesianRidge,8,-0.10827015696247791,1825.7882133825308,False
BayesianRidge,9,-0.10861614111777335,1812.555127999117,False
BayesianRidge,10,-0.1480846121305001,1861.8105319639292,False
BayesianRidge,11,-0.04623731481335886,1720.3980942810003,False
BayesianRidge,12,-0.15118504267406455,1874.625701809096,False
BayesianRidge,13,-0.1895028966277462,1878.2871693946106,False
