dyad,h,f_stat,ar_lo,ar_hi
CHN-IDN,6,8.298207005499066,0.03759398496240607,0.08771929824561386
CHN-IDN,36,8.298207005499066,0.06265664160400952,0.162907268170426
CHN-PAK,6,7.878618918503949,-0.889724310776943,-0.162907268170426
CHN-PAK,36,7.878618918503949,-1.6917293233082709,-0.5137844611528823
CHN-VNM,6,7.9875868953455775,0.012531328320801727,0.06265664160400952
CHN-VNM,36,7.9875868953455775,0.03759398496240607,0.1127819548872182
CHN-CAN,6,8.371795602108902,0.012531328320801727,0.06265664160400952
CHN-CAN,36,8.371795602108902,0.03759398496240607,0.08771929824561386
