dyad,mean,std,count
CHN-AUS,-0.022695726932178768,0.15360833118417186,375
CHN-DEU,-0.025116341018531788,0.15842292306579767,375
CHN-FRA,-0.028567339329781286,0.16034965238612328,375
CHN-GBR,-0.018236101598225814,0.15306483892407025,375
CHN-IND,-0.014899932971411938,0.14953705402537215,375
CHN-JPN,-0.011093063982958812,0.14571437979884472,376
CHN-RUS,-0.033884010903628935,0.16161768961903458,375
CHN-USA,-0.013664609542615992,0.1482484764691423,376
