date,usa_d2pri_share
1990-01-01,1.0
1990-02-01,1.0
1990-03-01,0.5102733308482021
1990-04-01,0.6757843374689027
1990-05-01,0.0
1990-06-01,0.0
1990-07-01,0.0
1990-08-01,0.0
1990-09-01,0.0
1990-10-01,0.0
1990-11-01,0.36220389735394204
1990-12-01,0.0
1991-01-01,0.6232231605790362
1991-02-01,0.0
1991-03-01,0.0
1991-04-01,0.0
1991-05-01,0.0
1991-06-01,0.4028482797535252
1991-07-01,0.8352982550011919
1991-08-01,0.0
1991-09-01,0.0
1991-10-01,0.0
1991-11-01,0.0
1991-12-01,0.0
1992-01-01,0.3850396954468655
1992-02-01,0.6213160351678391
1992-03-01,0.30134765931375335
1992-04-01,0.2662525554091607
1992-05-01,0.0
1992-06-01,0.0
1992-07-01,0.8266107613287746
1992-08-01,0.29490304873036466
1992-09-01,0.554917579593808
1992-10-01,0.5092361358304058
1992-11-01,0.0
1992-12-01,0.43641536210396864
1993-01-01,0.4334462790765505
1993-02-01,0.0
1993-03-01,0.0
1993-04-01,0.0
1993-05-01,0.0
1993-06-01,0.0
1993-07-01,0.0
1993-08-01,0.6472414216902599
1993-09-01,7.984342346168051e-16
1993-10-01,0.9278436514283385
1993-11-01,0.6537178373615641
1993-12-01,0.6768448021671015
1994-01-01,0.8378807015493595
1994-02-01,0.3456528741746628
1994-03-01,0.5075525795083082
1994-04-01,0.476323060780681
1994-05-01,0.3206933954804415
1994-06-01,0.3816929882682386
1994-07-01,0.0
1994-08-01,0.20403688281838975
1994-09-01,0.22891037612889428
1994-10-01,0.8969381280920136
1994-11-01,0.371480195372772
1994-12-01,0.8928298375688335
1995-01-01,0.0
1995-02-01,0.8231974841108903
1995-03-01,0.9310422720734653
1995-04-01,0.5390467195540608
1995-05-01,0.9253554690970058
1995-06-01,0.9511132838372538
1995-07-01,0.4524574288071374
1995-08-01,0.9365022065528962
1995-09-01,0.0
1995-10-01,0.6458613757095355
1995-11-01,0.0
1995-12-01,0.7305816925367817
1996-01-01,0.0
1996-02-01,0.0
1996-03-01,0.8730937119885646
1996-04-01,0.9102465191670698
1996-05-01,0.45892024681915505
1996-06-01,0.7225195009478463
1996-07-01,0.4732292285699988
1996-08-01,0.29831046161099684
1996-09-01,0.0
1996-10-01,0.0
1996-11-01,0.7022159961482209
1996-12-01,0.885464385897364
1997-01-01,0.9274877252296735
1997-02-01,0.5980054394642835
1997-03-01,0.3174958495740055
1997-04-01,0.6325391183023009
1997-05-01,0.4624028370888595
1997-06-01,0.8862934545203466
1997-07-01,0.0
1997-08-01,0.2641221914231883
1997-09-01,0.0
1997-10-01,0.7967332183875426
1997-11-01,0.8348734828357725
1997-12-01,0.8301908698119052
1998-01-01,0.3950679997643785
1998-02-01,0.0
1998-03-01,0.7868130413014439
1998-04-01,0.19342050869024582
1998-05-01,0.3799211411676713
1998-06-01,0.7380359723947968
1998-07-01,0.986268913971872
1998-08-01,0.8056276933266846
1998-09-01,0.0
1998-10-01,0.23053466716560428
1998-11-01,0.1298014724370246
1998-12-01,0.3142053057433896
1999-01-01,0.559036230918911
1999-02-01,0.9550771340397386
1999-03-01,0.7081502854578328
1999-04-01,0.7555982686619184
1999-05-01,0.9937537453684079
1999-06-01,0.9048464393885551
1999-07-01,0.24581077564977247
1999-08-01,0.7915562134800451
1999-09-01,0.9201136031985516
