,CHN-USA,CHN-JPN,CHN-AUS,CHN-FRA,CHN-DEU,CHN-GBR,CHN-RUS,CHN-IND,CHN-IDN,CHN-PAK,CHN-VNM,CHN-CAN
1992-01-01,-1.362876534461975,-1.362876296043396,-1.362876296043396,-1.362876534461975,-1.362876296043396,-1.362876534461975,-1.362876296043396,-1.362876534461975,-1.362876534461975,-1.362876534461975,-1.362876534461975,-1.362876534461975
1992-02-01,-1.3392739295959473,-1.3392739295959473,-1.3392739295959473,-1.3392739295959473,-1.3392739295959473,-1.3392739295959473,-1.3392739295959473,-1.3392739295959473,-1.3392739295959473,-1.3392739295959473,-1.3392739295959473,-1.3392739295959473
1992-03-01,-1.310495138168335,-1.310495138168335,-1.3104952573776245,-1.310495138168335,-1.3104952573776245,-1.3104952573776245,-1.310495138168335,-1.3104952573776245,-1.3104952573776245,-1.310495138168335,-1.3104952573776245,-1.3104952573776245
1992-04-01,-1.274904727935791,-1.274904727935791,-1.274904727935791,-1.274904727935791,-1.274904727935791,-1.274904727935791,-1.274904727935791,-1.274904727935791,-1.274904727935791,-1.274904727935791,-1.274904727935791,-1.274904727935791
1992-05-01,-1.2819328308105469,-1.2819328308105469,-1.2819328308105469,-1.2819328308105469,-1.2819328308105469,-1.2819328308105469,-1.2819328308105469,-1.2819328308105469,-1.2819328308105469,-1.2819328308105469,-1.2819328308105469,-1.2819328308105469
1992-06-01,-1.2759995460510254,-1.2759995460510254,-1.2759995460510254,-1.2759995460510254,-1.2759995460510254,-1.2759995460510254,-1.2759995460510254,-1.2759995460510254,-1.2759995460510254,-1.2759995460510254,-1.2759995460510254,-1.2759995460510254
1992-07-01,-1.2614998817443848,-1.2614998817443848,-1.2614998817443848,-1.2614998817443848,-1.2614998817443848,-1.2614998817443848,-1.2614998817443848,-1.2614998817443848,-1.2614998817443848,-1.2614998817443848,-1.2614998817443848,-1.2614998817443848
1992-08-01,-1.2279845476150513,-1.2279845476150513,-1.2279845476150513,-1.2279845476150513,-1.2279845476150513,-1.2279845476150513,-1.2279845476150513,-1.2279845476150513,-1.2279845476150513,-1.2279845476150513,-1.2279845476150513,-1.2279845476150513
1992-09-01,-1.2282600402832031,-1.2282600402832031,-1.2282600402832031,-1.2282600402832031,-1.2282600402832031,-1.2282600402832031,-1.2282600402832031,-1.2282600402832031,-1.2282600402832031,-1.2282600402832031,-1.2282600402832031,-1.2282600402832031
1992-10-01,-1.2232822179794312,-1.2232822179794312,-1.2232822179794312,-1.2232822179794312,-1.2232822179794312,-1.2232822179794312,-1.2232822179794312,-1.2232822179794312,-1.2232822179794312,-1.2232822179794312,-1.2232822179794312,-1.2232822179794312
1992-11-01,-1.2410935163497925,-1.2410935163497925,-1.2410935163497925,-1.2410935163497925,-1.2410935163497925,-1.2410935163497925,-1.2410935163497925,-1.2410935163497925,-1.2410935163497925,-1.2410935163497925,-1.2410935163497925,-1.2410935163497925
1992-12-01,-1.1909034252166748,-1.1909034252166748,-1.1909034252166748,-1.1909034252166748,-1.1909034252166748,-1.1909034252166748,-1.1909034252166748,-1.1909034252166748,-1.1909034252166748,-1.1909034252166748,-1.1909034252166748,-1.1909034252166748
1993-01-01,-1.1532251834869385,-1.1532254219055176,-1.1532254219055176,-1.1532254219055176,-1.1532254219055176,-1.1532254219055176,-1.1532254219055176,-1.1532254219055176,-1.1532254219055176,-1.1532254219055176,-1.1532254219055176,-1.1532254219055176
1993-02-01,-1.172757625579834,-1.172757625579834,-1.172757625579834,-1.172757625579834,-1.172757625579834,-1.172757625579834,-1.172757625579834,-1.172757625579834,-1.172757625579834,-1.172757625579834,-1.172757625579834,-1.172757625579834
1993-03-01,-1.2221200466156006,-1.2221200466156006,-1.2221200466156006,-1.2221200466156006,-1.2221200466156006,-1.2221200466156006,-1.2221200466156006,-1.2221200466156006,-1.2221200466156006,-1.2221200466156006,-1.2221200466156006,-1.2221200466156006
1993-04-01,-1.2240736484527588,-1.2240736484527588,-1.2240736484527588,-1.2240736484527588,-1.2240736484527588,-1.2240736484527588,-1.2240736484527588,-1.2240736484527588,-1.2240736484527588,-1.2240736484527588,-1.2240736484527588,-1.2240736484527588
1993-05-01,-1.1764512062072754,-1.1764512062072754,-1.1764512062072754,-1.1764512062072754,-1.1764512062072754,-1.1764512062072754,-1.1764512062072754,-1.1764512062072754,-1.1764512062072754,-1.1764512062072754,-1.1764512062072754,-1.1764512062072754
1993-06-01,-1.1924452781677246,-1.1924452781677246,-1.1924452781677246,-1.1924452781677246,-1.1924452781677246,-1.1924452781677246,-1.1924452781677246,-1.1924452781677246,-1.1924452781677246,-1.1924452781677246,-1.1924452781677246,-1.1924452781677246
1993-07-01,-1.1920371055603027,-1.1920371055603027,-1.1920371055603027,-1.1920371055603027,-1.1920371055603027,-1.1920371055603027,-1.1920371055603027,-1.1920371055603027,-1.1920371055603027,-1.1920371055603027,-1.1920371055603027,-1.1920371055603027
1993-08-01,-1.188738465309143,-1.188738465309143,-1.188738465309143,-1.188738465309143,-1.188738465309143,-1.188738465309143,-1.188738465309143,-1.188738465309143,-1.188738465309143,-1.188738465309143,-1.188738465309143,-1.188738465309143
1993-09-01,-1.1095653772354126,-1.1095653772354126,-1.1095653772354126,-1.1095653772354126,-1.1095653772354126,-1.1095653772354126,-1.1095653772354126,-1.1095653772354126,-1.1095653772354126,-1.1095653772354126,-1.1095653772354126,-1.1095653772354126
1993-10-01,-1.122835397720337,-1.122835397720337,-1.122835397720337,-1.122835397720337,-1.122835397720337,-1.122835397720337,-1.122835397720337,-1.122835397720337,-1.122835397720337,-1.122835397720337,-1.122835397720337,-1.122835397720337
1993-11-01,-1.055440902709961,-1.055440902709961,-1.055440902709961,-1.055440902709961,-1.055440902709961,-1.055440902709961,-1.055440902709961,-1.055440902709961,-1.055440902709961,-1.055440902709961,-1.055440902709961,-1.055440902709961
1993-12-01,-0.9882616996765137,-0.9882616996765137,-0.9882616996765137,-0.9882616996765137,-0.9882616996765137,-0.9882616996765137,-0.9882616996765137,-0.9882616996765137,-0.9882616996765137,-0.9882616996765137,-0.9882616996765137,-0.9882616996765137
1994-01-01,-0.9760338068008423,-0.9760338068008423,-0.9760338068008423,-0.9760338068008423,-0.9760338068008423,-0.9760338068008423,-0.9760338068008423,-0.9760338068008423,-0.9760338068008423,-0.9760338068008423,-0.9760338068008423,-0.9760338068008423
1994-02-01,-0.939411997795105,-0.939411997795105,-0.939411997795105,-0.9394119381904602,-0.9394119381904602,-0.9394119381904602,-0.9394119381904602,-0.939411997795105,-0.9394119381904602,-0.9394119381904602,-0.9394119381904602,-0.9394119381904602
1994-03-01,-0.9525461196899414,-0.9525461196899414,-0.952546238899231,-0.952546238899231,-0.9525461196899414,-0.952546238899231,-0.9525461196899414,-0.952546238899231,-0.9525461196899414,-0.9525461196899414,-0.952546238899231,-0.9525461196899414
1994-04-01,-0.9006989598274231,-0.9006989598274231,-0.9006989598274231,-0.9006989598274231,-0.9006989598274231,-0.9006989598274231,-0.9006989598274231,-0.9006989598274231,-0.9006989598274231,-0.9006989598274231,-0.9006989598274231,-0.9006989598274231
1994-05-01,-0.8912880420684814,-0.8912880420684814,-0.8912880420684814,-0.8912880420684814,-0.8912880420684814,-0.8912880420684814,-0.8912880420684814,-0.8912880420684814,-0.8912880420684814,-0.8912880420684814,-0.8912880420684814,-0.8912880420684814
1994-06-01,-0.8987164497375488,-0.898716390132904,-0.898716390132904,-0.898716390132904,-0.898716390132904,-0.898716390132904,-0.898716390132904,-0.898716390132904,-0.898716390132904,-0.898716390132904,-0.898716390132904,-0.898716390132904
1994-07-01,-0.863423764705658,-0.863423764705658,-0.863423764705658,-0.863423764705658,-0.863423764705658,-0.863423764705658,-0.863423764705658,-0.863423764705658,-0.863423764705658,-0.863423764705658,-0.863423764705658,-0.863423764705658
1994-08-01,-0.8346236944198608,-0.8346236944198608,-0.8346236944198608,-0.8346236944198608,-0.8346236944198608,-0.8346236944198608,-0.8346236944198608,-0.8346236944198608,-0.8346236944198608,-0.8346236944198608,-0.8346236944198608,-0.8346236944198608
1994-09-01,-0.8057281374931335,-0.8057281374931335,-0.8057281374931335,-0.8057281374931335,-0.8057281374931335,-0.8057281374931335,-0.8057281374931335,-0.8057281374931335,-0.8057281374931335,-0.8057281374931335,-0.8057281374931335,-0.8057281374931335
1994-10-01,-0.7905219197273254,-0.7905218601226807,-0.7905219197273254,-0.7905218601226807,-0.7905219197273254,-0.7905218601226807,-0.7905219197273254,-0.7905218601226807,-0.7905219197273254,-0.7905219197273254,-0.7905219197273254,-0.7905218601226807
1994-11-01,-0.6613702774047852,-0.6613702774047852,-0.6613702774047852,-0.6613702774047852,-0.6613702774047852,-0.6613702774047852,-0.6613702774047852,-0.6613702774047852,-0.6613702774047852,-0.6613702774047852,-0.6613702774047852,-0.6613702774047852
1994-12-01,-0.6886336207389832,-0.6886336207389832,-0.6886336207389832,-0.6886336207389832,-0.6886336207389832,-0.6886336207389832,-0.6886336207389832,-0.6886336207389832,-0.6886336207389832,-0.6886336207389832,-0.6886336207389832,-0.6886336207389832
1995-01-01,-0.6865254640579224,-0.6865254640579224,-0.6865254640579224,-0.6865254640579224,-0.6865254640579224,-0.6865254640579224,-0.6865254640579224,-0.6865254640579224,-0.6865254640579224,-0.6865254640579224,-0.6865254640579224,-0.6865254640579224
1995-02-01,-0.7005211710929871,-0.7005211710929871,-0.7005212306976318,-0.7005211710929871,-0.7005212306976318,-0.7005211710929871,-0.7005212306976318,-0.7005212306976318,-0.7005212306976318,-0.7005212306976318,-0.7005212306976318,-0.7005212306976318
1995-03-01,-0.6983433961868286,-0.6983433961868286,-0.6983433961868286,-0.6983433961868286,-0.6983433961868286,-0.6983433961868286,-0.6983433961868286,-0.6983433961868286,-0.6983433961868286,-0.6983433961868286,-0.6983433961868286,-0.6983433961868286
1995-04-01,-0.6430132389068604,-0.6430132389068604,-0.6430132389068604,-0.6430132389068604,-0.6430132389068604,-0.6430132389068604,-0.6430132389068604,-0.6430132389068604,-0.6430132389068604,-0.6430132389068604,-0.6430132389068604,-0.6430132389068604
1995-05-01,-0.6912716031074524,-0.6912716031074524,-0.6912716031074524,-0.6912716031074524,-0.6912716031074524,-0.6912716031074524,-0.6912716031074524,-0.6912716031074524,-0.6912716031074524,-0.6912716031074524,-0.6912716031074524,-0.6912716031074524
1995-06-01,-0.6836808323860168,-0.6836808323860168,-0.6836808323860168,-0.6836808323860168,-0.6836808323860168,-0.6836808323860168,-0.6836808323860168,-0.6836808323860168,-0.6836808323860168,-0.6836808323860168,-0.6836808323860168,-0.6836808323860168
1995-07-01,-0.673179030418396,-0.673179030418396,-0.673179030418396,-0.673179030418396,-0.673179030418396,-0.673179030418396,-0.673179030418396,-0.673179030418396,-0.673179030418396,-0.673179030418396,-0.673179030418396,-0.673179030418396
1995-08-01,-0.6681134700775146,-0.6681134700775146,-0.6681134700775146,-0.6681134104728699,-0.6681134700775146,-0.6681134104728699,-0.6681134700775146,-0.6681134104728699,-0.6681134700775146,-0.6681134104728699,-0.6681134104728699,-0.6681134104728699
1995-09-01,-0.66140216588974,-0.66140216588974,-0.66140216588974,-0.66140216588974,-0.66140216588974,-0.66140216588974,-0.66140216588974,-0.66140216588974,-0.66140216588974,-0.66140216588974,-0.66140216588974,-0.66140216588974
1995-10-01,-0.6465491056442261,-0.6465491056442261,-0.6465491652488708,-0.6465491652488708,-0.6465491652488708,-0.6465491652488708,-0.6465491652488708,-0.6465491652488708,-0.6465491652488708,-0.6465491652488708,-0.6465491652488708,-0.6465491652488708
1995-11-01,-0.5853701829910278,-0.5853701829910278,-0.5853701829910278,-0.5853701829910278,-0.5853701829910278,-0.5853701829910278,-0.5853701829910278,-0.5853701829910278,-0.5853701829910278,-0.5853701829910278,-0.5853701829910278,-0.5853701829910278
1995-12-01,-0.5873358249664307,-0.5873358845710754,-0.5873358845710754,-0.5873358845710754,-0.5873358845710754,-0.5873358845710754,-0.5873358845710754,-0.5873358845710754,-0.5873358845710754,-0.5873358845710754,-0.5873358845710754,-0.5873358845710754
1996-01-01,-0.576579749584198,-0.576579749584198,-0.576579749584198,-0.576579749584198,-0.576579749584198,-0.576579749584198,-0.576579749584198,-0.576579749584198,-0.576579749584198,-0.576579749584198,-0.576579749584198,-0.576579749584198
1996-02-01,-0.567767858505249,-0.567767858505249,-0.567767858505249,-0.567767858505249,-0.567767858505249,-0.567767858505249,-0.567767858505249,-0.567767858505249,-0.567767858505249,-0.567767858505249,-0.567767858505249,-0.567767858505249
1996-03-01,-0.6065410375595093,-0.6065410375595093,-0.6065410375595093,-0.6065410375595093,-0.6065410375595093,-0.6065410375595093,-0.6065410375595093,-0.6065410375595093,-0.6065410375595093,-0.6065410375595093,-0.6065410375595093,-0.6065410375595093
1996-04-01,-0.5862632989883423,-0.5862632989883423,-0.5862632989883423,-0.5862632989883423,-0.5862632989883423,-0.5862632989883423,-0.5862632989883423,-0.5862632989883423,-0.5862632989883423,-0.5862632989883423,-0.5862632989883423,-0.5862632989883423
1996-05-01,-0.5851345062255859,-0.5851345062255859,-0.5851345062255859,-0.5851345062255859,-0.5851345062255859,-0.5851345062255859,-0.5851345062255859,-0.5851345062255859,-0.5851345062255859,-0.5851345062255859,-0.5851345062255859,-0.5851345062255859
1996-06-01,-0.599744439125061,-0.599744439125061,-0.599744439125061,-0.599744439125061,-0.599744439125061,-0.599744439125061,-0.599744439125061,-0.599744439125061,-0.599744439125061,-0.599744439125061,-0.599744439125061,-0.599744439125061
1996-07-01,-0.6152428388595581,-0.6152428388595581,-0.6152428388595581,-0.6152428388595581,-0.6152428388595581,-0.6152428388595581,-0.6152428388595581,-0.6152428388595581,-0.6152428388595581,-0.6152428388595581,-0.6152428388595581,-0.6152428388595581
1996-08-01,-0.6087431907653809,-0.6087431907653809,-0.6087431907653809,-0.6087431907653809,-0.6087431907653809,-0.6087431907653809,-0.6087431907653809,-0.6087431907653809,-0.6087431907653809,-0.6087431907653809,-0.6087431907653809,-0.6087431907653809
1996-09-01,-0.6067094802856445,-0.6067094802856445,-0.6067094802856445,-0.6067094802856445,-0.6067094802856445,-0.6067094802856445,-0.6067094802856445,-0.6067094802856445,-0.6067094802856445,-0.6067094802856445,-0.6067094802856445,-0.6067094802856445
1996-10-01,-0.6006284356117249,-0.6006284356117249,-0.6006284356117249,-0.6006284356117249,-0.6006284356117249,-0.6006284356117249,-0.6006284356117249,-0.6006284356117249,-0.6006284356117249,-0.6006284356117249,-0.6006284356117249,-0.6006284356117249
1996-11-01,-0.39085185527801514,-0.39085185527801514,-0.39085185527801514,-0.39085185527801514,-0.39085185527801514,-0.39085185527801514,-0.39085185527801514,-0.39085185527801514,-0.39085185527801514,-0.39085185527801514,-0.39085185527801514,-0.39085185527801514
1996-12-01,-0.4499948024749756,-0.4499947428703308,-0.4499947428703308,-0.4499947428703308,-0.4499947428703308,-0.4499947428703308,-0.4499947428703308,-0.4499948024749756,-0.4499947428703308,-0.4499947428703308,-0.4499948024749756,-0.4499947428703308
1997-01-01,-0.45040494203567505,-0.45040494203567505,-0.45040494203567505,-0.45040491223335266,-0.45040491223335266,-0.45040494203567505,-0.45040494203567505,-0.45040491223335266,-0.45040494203567505,-0.45040494203567505,-0.45040494203567505,-0.45040491223335266
1997-02-01,-0.41647547483444214,-0.41647547483444214,-0.41647547483444214,-0.41647547483444214,-0.41647547483444214,-0.41647547483444214,-0.41647547483444214,-0.41647547483444214,-0.41647547483444214,-0.41647547483444214,-0.41647547483444214,-0.41647547483444214
1997-03-01,-0.39562851190567017,-0.39562851190567017,-0.39562851190567017,-0.39562851190567017,-0.39562851190567017,-0.39562851190567017,-0.39562851190567017,-0.39562851190567017,-0.39562851190567017,-0.39562851190567017,-0.39562851190567017,-0.39562851190567017
1997-04-01,-0.3416520059108734,-0.3416520059108734,-0.3416520059108734,-0.3416520059108734,-0.3416520059108734,-0.3416520059108734,-0.3416520059108734,-0.3416520059108734,-0.3416520059108734,-0.3416520059108734,-0.3416520059108734,-0.3416520059108734
1997-05-01,-0.3402346670627594,-0.3402346670627594,-0.3402346670627594,-0.3402346670627594,-0.3402346670627594,-0.3402346670627594,-0.3402346670627594,-0.3402346670627594,-0.3402346670627594,-0.3402346670627594,-0.3402346670627594,-0.3402346670627594
1997-06-01,-0.3288925588130951,-0.3288925588130951,-0.3288925588130951,-0.3288925588130951,-0.3288925588130951,-0.3288925588130951,-0.3288925588130951,-0.3288925588130951,-0.3288925588130951,-0.3288925588130951,-0.3288925588130951,-0.3288925588130951
1997-07-01,-0.30187612771987915,-0.30187612771987915,-0.30187612771987915,-0.30187612771987915,-0.30187612771987915,-0.30187612771987915,-0.30187612771987915,-0.30187612771987915,-0.30187612771987915,-0.30187612771987915,-0.30187612771987915,-0.30187612771987915
1997-08-01,-0.24722625315189362,-0.24722625315189362,-0.24722625315189362,-0.24722625315189362,-0.24722625315189362,-0.24722625315189362,-0.24722625315189362,-0.24722625315189362,-0.24722625315189362,-0.24722625315189362,-0.24722625315189362,-0.24722625315189362
1997-09-01,-0.2433501034975052,-0.2433501034975052,-0.243350088596344,-0.243350088596344,-0.243350088596344,-0.243350088596344,-0.243350088596344,-0.2433501034975052,-0.243350088596344,-0.243350088596344,-0.2433501034975052,-0.2433501034975052
1997-10-01,-0.14540669322013855,-0.14540669322013855,-0.14540669322013855,-0.14540669322013855,-0.14540669322013855,-0.14540669322013855,-0.14540669322013855,-0.14540669322013855,-0.14540669322013855,-0.14540669322013855,-0.14540669322013855,-0.14540669322013855
1997-11-01,-0.17366895079612732,-0.17366895079612732,-0.17366895079612732,-0.17366895079612732,-0.17366895079612732,-0.17366895079612732,-0.17366895079612732,-0.17366895079612732,-0.17366895079612732,-0.17366895079612732,-0.17366895079612732,-0.17366895079612732
1997-12-01,-0.16057130694389343,-0.16057130694389343,-0.16057130694389343,-0.16057130694389343,-0.16057130694389343,-0.16057130694389343,-0.16057130694389343,-0.16057130694389343,-0.16057130694389343,-0.16057130694389343,-0.16057130694389343,-0.16057130694389343
1998-01-01,-0.1563871204853058,-0.1563871204853058,-0.1563871204853058,-0.1563871204853058,-0.1563871204853058,-0.1563871204853058,-0.1563871204853058,-0.1563871204853058,-0.1563871204853058,-0.1563871204853058,-0.1563871204853058,-0.1563871204853058
1998-02-01,-0.14926356077194214,-0.14926356077194214,-0.14926356077194214,-0.14926356077194214,-0.14926356077194214,-0.14926356077194214,-0.14926356077194214,-0.14926356077194214,-0.14926356077194214,-0.14926356077194214,-0.14926356077194214,-0.14926356077194214
1998-03-01,-0.13007552921772003,-0.13007552921772003,-0.13007552921772003,-0.13007552921772003,-0.13007552921772003,-0.13007552921772003,-0.13007552921772003,-0.13007552921772003,-0.13007552921772003,-0.13007552921772003,-0.13007552921772003,-0.13007552921772003
1998-04-01,-0.1296824812889099,-0.1296824961900711,-0.1296824961900711,-0.1296824812889099,-0.1296824812889099,-0.1296824812889099,-0.1296824812889099,-0.1296824812889099,-0.1296824961900711,-0.1296824812889099,-0.1296824961900711,-0.1296824961900711
1998-05-01,-0.12103202193975449,-0.12103202193975449,-0.12103202193975449,-0.12103202193975449,-0.12103202193975449,-0.12103202193975449,-0.12103202193975449,-0.12103202193975449,-0.12103202193975449,-0.12103202193975449,-0.12103202193975449,-0.12103202193975449
1998-06-01,-0.15704968571662903,-0.15704968571662903,-0.15704968571662903,-0.15704968571662903,-0.15704968571662903,-0.15704968571662903,-0.15704968571662903,-0.15704968571662903,-0.15704968571662903,-0.15704968571662903,-0.15704968571662903,-0.15704968571662903
1998-07-01,-0.16422417759895325,-0.16422417759895325,-0.16422417759895325,-0.16422417759895325,-0.16422417759895325,-0.16422417759895325,-0.16422417759895325,-0.16422417759895325,-0.16422417759895325,-0.16422417759895325,-0.16422417759895325,-0.16422417759895325
1998-08-01,-0.13993164896965027,-0.13993164896965027,-0.13993164896965027,-0.13993164896965027,-0.13993164896965027,-0.13993164896965027,-0.13993164896965027,-0.13993164896965027,-0.13993164896965027,-0.13993164896965027,-0.13993164896965027,-0.13993164896965027
1998-09-01,-0.13576382398605347,-0.13576382398605347,-0.13576382398605347,-0.13576382398605347,-0.13576382398605347,-0.13576382398605347,-0.13576382398605347,-0.13576382398605347,-0.13576382398605347,-0.13576382398605347,-0.13576382398605347,-0.13576382398605347
1998-10-01,-0.07256321609020233,-0.07256321609020233,-0.07256321609020233,-0.07256321609020233,-0.07256321609020233,-0.07256321609020233,-0.07256321609020233,-0.07256321609020233,-0.07256321609020233,-0.07256321609020233,-0.07256321609020233,-0.07256321609020233
1998-11-01,-0.06034604087471962,-0.06034604087471962,-0.06034604087471962,-0.06034604087471962,-0.06034604087471962,-0.06034604087471962,-0.06034604087471962,-0.06034604087471962,-0.06034604087471962,-0.06034604087471962,-0.06034604087471962,-0.06034604087471962
1998-12-01,-0.07975733280181885,-0.07975733280181885,-0.07975733280181885,-0.07975733280181885,-0.07975733280181885,-0.07975733280181885,-0.07975733280181885,-0.07975733280181885,-0.07975733280181885,-0.07975733280181885,-0.07975733280181885,-0.07975733280181885
1999-01-01,-0.08224883675575256,-0.08224883675575256,-0.08224883675575256,-0.08224883675575256,-0.08224883675575256,-0.08224883675575256,-0.08224883675575256,-0.08224883675575256,-0.08224883675575256,-0.08224883675575256,-0.08224883675575256,-0.08224883675575256
1999-02-01,-0.07780835032463074,-0.07780835032463074,-0.07780835032463074,-0.07780835032463074,-0.07780835032463074,-0.07780835032463074,-0.07780835032463074,-0.07780835032463074,-0.07780835032463074,-0.07780835032463074,-0.07780835032463074,-0.07780835032463074
