month,china_eigenvec,china_degree
1995-01-01,0.7071067811865476,22.0
1995-02-01,0.7071067811865476,27.0
1995-03-01,0.7071067811865475,18.0
1995-04-01,0.7071067811865476,27.0
1995-05-01,0.7071067811865476,183.0
1995-06-01,0.7071067811865475,285.0
1995-07-01,0.7071067811865476,426.0
1995-08-01,0.7071067811865475,519.0
1995-09-01,0.7071067811865476,422.0
1995-10-01,0.7071067811865477,433.0
1995-11-01,0.7071067811865477,322.0
1995-12-01,0.7071067811865475,173.0
1996-01-01,0.7071067811865476,264.0
1996-02-01,0.7071067811865476,289.0
1996-03-01,0.7071067811865476,461.0
1996-04-01,0.7071067811865475,857.0
1996-05-01,0.7071067811865476,359.0
1996-06-01,0.7071067811865476,322.0
1996-07-01,0.7071067811865476,381.0
1996-08-01,0.7071067811865475,243.0
1996-09-01,0.7071067811865476,554.0
1996-10-01,0.7071067811865477,386.0
1996-11-01,0.7071067811865474,971.0
1996-12-01,0.7071067811865476,443.0
1997-01-01,0.7071067811865476,286.0
1997-02-01,0.7071067811865476,617.0
1997-03-01,0.7071067811865476,772.0
1997-04-01,0.7071067811865475,820.0
1997-05-01,0.7071067811865476,478.0
1997-06-01,0.7071067811865475,491.0
1997-07-01,0.7071067811865476,371.0
1997-08-01,0.7071067811865476,395.0
1997-09-01,0.7071067811865476,617.0
1997-10-01,0.7071067811865475,1033.0
1997-11-01,0.7071067811865478,1104.0
1997-12-01,0.7071067811865475,295.0
1998-01-01,0.7071067811865476,432.0
1998-02-01,0.7071067811865475,634.0
1998-03-01,0.7071067811865476,396.0
1998-04-01,0.7071067811865477,1281.0
1998-05-01,0.7071067811865477,872.0
1998-06-01,0.7071067811865477,1855.0
1998-07-01,0.7071067811865474,1381.0
1998-08-01,0.7071067811865475,470.0
1998-09-01,0.7071067811865475,610.0
1998-10-01,0.7071067811865477,1265.0
1998-11-01,0.7071067811865476,1655.0
1998-12-01,0.7071067811865476,692.0
1999-01-01,0.7071067811865475,530.0
1999-02-01,0.7071067811865475,959.0
1999-03-01,0.7071067811865476,1561.0
1999-04-01,0.7071067811865476,1814.0
1999-05-01,0.7071067811865474,1684.0
1999-06-01,0.7071067811865477,1508.0
1999-07-01,0.7071067811865475,1498.0
1999-08-01,0.7071067811865476,727.0
1999-09-01,0.7071067811865475,1397.0
1999-10-01,0.7071067811865475,1037.0
1999-11-01,0.7071067811865475,1176.0
1999-12-01,0.7071067811865476,1419.0
2000-01-01,0.7071067811865477,1155.0
2000-02-01,0.7071067811865476,734.0
2000-03-01,0.7071067811865476,958.0
2000-04-01,0.7071067811865476,774.0
2000-05-01,0.7071067811865476,1288.0
2000-06-01,0.7071067811865477,1276.0
2000-07-01,0.7071067811865477,2297.0
2000-08-01,0.7071067811865475,847.0
2000-09-01,0.7071067811865477,1583.0
2000-10-01,0.7071067811865477,1333.0
2000-11-01,0.7071067811865476,1156.0
2000-12-01,0.7071067811865476,828.0
2001-01-01,0.7071067811865476,1137.0
2001-02-01,0.7071067811865476,757.0
2001-03-01,0.7071067811865478,1383.0
2001-04-01,0.7071067811865476,2518.0
2001-05-01,0.7071067811865474,1790.0
2001-06-01,0.7071067811865476,1064.0
2001-07-01,0.7071067811865478,2574.0
2001-08-01,0.7071067811865475,1039.0
2001-09-01,0.7071067811865476,1695.0
2001-10-01,0.7071067811865476,2591.0
2001-11-01,0.7071067811865477,1295.0
2001-12-01,0.7071067811865475,1395.0
2002-01-01,0.7071067811865477,1412.0
2002-02-01,0.7071067811865476,1749.0
2002-03-01,0.7071067811865476,1342.0
2002-04-01,0.7071067811865476,2247.0
2002-05-01,0.7071067811865477,2078.0
2002-06-01,0.7071067811865477,1135.0
2002-07-01,0.7071067811865476,954.0
2002-08-01,0.7071067811865476,1333.0
2002-09-01,0.7071067811865475,1740.0
2002-10-01,0.7071067811865476,1844.0
2002-11-01,0.7071067811865476,1308.0
2002-12-01,0.7071067811865476,1617.0
2003-01-01,0.7071067811865476,965.0
2003-02-01,0.7071067811865476,1450.0
2003-03-01,0.7071067811865476,997.0
2003-04-01,0.7071067811865476,2096.0
2003-05-01,0.7071067811865476,1659.0
2003-06-01,0.7071067811865476,2047.0
2003-07-01,0.7071067811865476,1572.0
2003-08-01,0.7071067811865476,2455.0
