horizon,q25_cf,q50_cf,q75_cf
0,0.22599709511268884,0.23657970865315292,-0.23381184512618347
1,1.236598805131507,0.4631074066965084,-0.1376184802793432
2,1.5338038971240167,0.9152556579301745,0.391293919103191
3,1.6928352100221673,1.189633212343324,0.48569565048092045
4,2.2199929440685082,1.6427479780286376,-0.08604152663610876
5,2.7057404591614613,1.778660999116255,0.898147041167249
6,2.5065083180670626,2.052213615272194,0.9666824881060165
7,2.5700812623399543,1.9041487664312626,0.951668765519571
8,2.828302821406396,1.631342639317154,0.23366370404255576
9,1.9588381317444146,1.0388568865528214,0.6861224995227531
10,1.5445314338430762,1.2253548454318661,0.0729637531330809
11,1.7343379640551575,1.4941695612142212,0.3386350099899573
12,0.14768611805629916,1.4006159100681543,0.8323845275226631
13,0.24744293287221808,1.2954045974547626,0.6464512323291274
14,0.5345726709065275,1.2187541869243432,0.7090593970970076
15,0.1173149909300264,1.6361913359432947,0.710190428468195
16,-0.5438187478284817,1.2822721286247543,0.2733122577992617
17,-0.18270587304141372,0.15891315549379215,0.5971581428166246
18,-1.5662927707890049,0.5357601726427674,-0.3103295478504151
19,-2.356205674655939,-0.38719204207882285,-0.292668919370044
20,-2.6196746239438653,-0.524436863270239,-0.8008472192595946
21,-2.653090092499042,-0.49781881480885204,-0.5184780816780403
22,-0.9898609334777575,-0.15725546422618208,0.2545895154471509
23,-0.9466836711071664,0.04957115277647972,0.3627711428271141
24,-1.6689906653482467,0.376440666615963,-0.4538837997097289
25,-0.779229707117338,0.02213107749412302,0.5195094096125104
26,-1.475884363586374,0.252142854667909,1.014542074957717
27,-0.9510770738124847,-0.035185864893719554,0.9556803888990544
28,-0.14657288542366587,-0.03998352913185954,0.7272738458850654
29,-0.3955294040424633,0.10357964241120499,0.018824470695108175
30,-0.560483444671263,-0.01848866487853229,-0.15299832451273687
31,-0.8035855505077052,-0.19500079978752183,-0.06904918578220531
32,-0.5499023738375399,0.12038632087387668,0.4699024362853379
33,0.14415878081854316,0.04796047973650275,0.05343138679745607
34,-0.23814779100939631,0.7084832338878186,0.15484262502286583
35,-0.1678727739581518,0.4519087817752734,-0.2699785678778426
36,-0.09918134941835888,0.6237778978320421,-1.3019995043287054
37,0.46588745422195643,0.41956126873992616,-0.18904852491687052
38,0.15966115756964427,0.8062903159298003,-0.37940342651563697
39,0.618511452616076,0.47024410864833044,-0.7789365700591588
40,0.6699969901237637,0.35979529219548567,-0.5219862787754437
41,0.15460841558524407,1.0934142409387277,-0.5728950607008301
42,0.6970595787424827,1.2254648958187317,-0.6110765805460687
43,-0.18343333566735964,1.083552101823443,-0.4095001856221643
44,-0.005211326671997085,1.45676628354704,-0.32274310560660524
45,0.5168159702734556,1.32429327419959,-0.23727326783409808
46,1.266324535223248,0.985112368267437,0.053041266924083175
47,0.28388486203039065,0.3378034792258404,-0.07673109565257619
48,0.10780305485241115,0.09250102192163467,0.14104056371434126
