horizon,dml_beta,dml_se,q25_beta,q25_lo,q25_hi,q50_beta,q50_lo,q50_hi,q75_beta,q75_lo,q75_hi
0,0.020850576540794773,0.038879364213217374,0.22599709511268884,-0.18182676775140863,0.7590034521392223,0.23657970865315292,-0.11185269013512879,0.6157499262410392,-0.23381184512618347,-1.213360581620691,-0.1412898332801888
1,0.04550158293977676,0.0624885532138823,1.236598805131507,1.067008818469185,2.715675603664203,0.4631074066965084,-0.21833750787609457,1.1206792347139525,-0.1376184802793432,-1.7543975124010103,0.045490594827605875
2,0.0991498011891997,0.0861644686859721,1.5338038971240167,1.2251079318888514,3.402081370664018,0.9152556579301745,0.12909320207763816,1.8245016933538865,0.391293919103191,-1.1968209341022884,0.5435652395408397
3,0.1389138615697053,0.11534947954847942,1.6928352100221673,1.0383194267880753,3.5172327138894617,1.189633212343324,0.07190681977676833,2.2006932237101853,0.48569565048092045,-1.2847306578325515,0.8470150546017976
4,0.15914424245651354,0.14853462209395696,2.2199929440685082,1.9564224138331183,4.837892412259679,1.6427479780286376,1.0084673797959567,2.447595111907139,-0.08604152663610876,-2.1271702933021515,-0.07926027329867827
5,0.1140414647545597,0.14024872187306836,2.7057404591614613,2.566727612624163,5.380418536488468,1.778660999116255,0.8014399877640245,2.8066434120126353,0.898147041167249,-0.63484792556319,1.1702114469888325
6,-0.13561015663419612,0.08474283491264396,2.5065083180670626,2.117178846250499,5.772234800880686,2.052213615272194,1.1304771192662884,3.061925061703914,0.9666824881060165,-0.7766410102568443,0.9581069687030307
7,-0.13127519278163377,0.09523732391194008,2.5700812623399543,2.1044503065360916,5.883928786412797,1.9041487664312626,0.8101834981849606,2.959966947607972,0.951668765519571,-0.7462846584609906,1.0003890465748535
8,-0.10827015696247796,0.10447201578606494,2.828302821406396,2.7124344527270297,6.121633647331131,1.631342639317154,0.7074356843120768,2.502453253665771,0.23366370404255576,-1.8934426157850794,0.12686048362729704
9,-0.1086161411177733,0.10529892371732821,1.9588381317444146,1.3969925334323308,4.546120595410866,1.0388568865528214,0.0812609941163828,1.9282188862940517,0.6861224995227531,-1.1088114183196012,0.914681359785572
10,-0.14808461213050017,0.10184788535664513,1.5445314338430762,0.38566234378085956,3.8896694058879797,1.2253548454318661,0.13601012992003236,2.3012712601619567,0.0729637531330809,-1.823952954799097,0.12468065063603591
11,-0.046237314813358854,0.11160407051315623,1.7343379640551575,-0.5735435599504853,3.4674796332824362,1.4941695612142212,0.3012082712320763,2.8475235686763876,0.3386350099899573,-1.431752778965165,0.5115620468757698
12,-0.1511850426740645,0.10313056003539103,0.14768611805629916,-2.303890480118105,0.7772261319513653,1.4006159100681543,-0.31369328403216057,2.8355370314059876,0.8323845275226631,-0.6351929670716344,1.2636121740928499
13,-0.18950289662774622,0.1109969303677524,0.24744293287221808,-2.5909594841148644,0.8426258813646761,1.2954045974547626,-0.4674235488543672,2.9740688985511268,0.6464512323291274,-0.9606608097399203,1.235738470385877
14,-0.257848788081308,0.11245264579034484,0.5345726709065275,-2.0820913977676354,1.5722844315042037,1.2187541869243432,-0.6367154479823511,2.7900248192210695,0.7090593970970076,-0.5463150066793787,1.681593861661531
15,-0.2877951779002425,0.11550230642598577,0.1173149909300264,-2.7993310000279052,0.9053951671587127,1.6361913359432947,0.11202947862193488,3.1093167717173387,0.710190428468195,-0.6120595258293179,1.6059694328716412
16,-0.3558573555808935,0.11692425055027807,-0.5438187478284817,-3.2800228213964773,-0.06060645653869928,1.2822721286247543,-0.17256528529560447,2.7072694195647267,0.2733122577992617,-1.1082780353932322,1.2875870007158932
17,-0.384543160704748,0.11049902628578118,-0.18270587304141372,-3.0086078514314067,0.7277069344592737,0.15891315549379215,-1.1989501309146362,1.6754095722818416,0.5971581428166246,-0.6563497020372778,2.116734230798828
18,-0.34787980765260856,0.1091615083167364,-1.5662927707890049,-3.636510546699128,-1.6507788934406566,0.5357601726427674,-1.0034136868624046,1.9455636365835738,-0.3103295478504151,-1.7501068974255758,0.7452344414737119
19,-0.31747236105588733,0.11658150224683989,-2.356205674655939,-4.386580337594296,-2.660094218122413,-0.38719204207882285,-1.3950379393392722,0.6010885587084882,-0.292668919370044,-1.399371368627726,0.7930299624010326
20,-0.28817925497641783,0.11847932574007289,-2.6196746239438653,-4.869670079469415,-3.066995805074112,-0.524436863270239,-1.5885403776097518,0.5639764418650878,-0.8008472192595946,-1.608888612346891,0.4196889198334247
21,-0.27664067832166506,0.13036624821467346,-2.653090092499042,-4.661727373111352,-3.1210103608611472,-0.49781881480885204,-1.4444306175867494,0.43168386193210606,-0.5184780816780403,-1.213281606981232,0.6853469972522361
