date,coef,se
1995-05-31,-0.03423347376966081,0.1035390371154997
1995-06-30,-0.008888478275277225,0.09018165979388901
1995-07-31,0.007232158202424741,0.08703887333344157
1995-08-31,0.041540498915176464,0.08630458895387748
1995-09-30,0.08018896461451684,0.08723532288623893
1995-10-31,0.0992881595484295,0.08497756468412526
1995-11-30,0.08432801996914532,0.08674515770690394
1995-12-31,0.08206922877168034,0.08875517537143159
1996-01-31,0.02668056711017156,0.09415861795110146
1996-02-29,-0.0382757441217207,0.09840208675505865
1996-03-31,-0.04746868638257787,0.1007743433287769
1996-04-30,0.04097126702697356,0.07651862406224122
1996-05-31,0.06139483792882204,0.07238794088697537
1996-06-30,0.09856955638432784,0.06391751761036449
1996-07-31,0.06508516206410571,0.07082434257461993
1996-08-31,0.08212999964299723,0.07378889587896834
1996-09-30,0.12909762480697734,0.07916491369124107
1996-10-31,0.1402199963111137,0.08349294858753459
1996-11-30,0.13874903670071875,0.08261133768127334
1996-12-31,0.12390698417464947,0.08997706415807889
1997-01-31,0.056282633203251844,0.08988889286422945
1997-02-28,0.06375481492774467,0.07452323053494142
1997-03-31,0.060768097339128316,0.07054698326654416
1997-04-30,0.10850647781986165,0.06063896483940753
1997-05-31,0.13161237737022843,0.06281151735054734
1997-06-30,0.1351053148727119,0.0623183601168972
1997-07-31,0.13794377996582746,0.06465327170948029
1997-08-31,0.13237877663611497,0.07044517673949569
1997-09-30,0.15018438391493394,0.07545567321435923
1997-10-31,0.17856755567908195,0.08621974462326994
1997-11-30,0.16675446809155414,0.07477475206033148
1997-12-31,0.13321327350300563,0.08148183448486522
1998-01-31,0.12836434867550756,0.08295881856810401
1998-02-28,0.1296477905608262,0.0811165295724703
1998-03-31,0.12153545480543826,0.07770456347941378
1998-04-30,0.11904932928127417,0.08129820934276649
1998-05-31,0.15269192932307257,0.08330079339279432
1998-06-30,0.13698903472862559,0.0882144057923691
1998-07-31,0.11888751537984364,0.09038988787410507
1998-08-31,0.12039087982358272,0.09048556105805665
1998-09-30,0.11753127909780092,0.09086265894664167
1998-10-31,0.12659829379173304,0.09387142196465097
1998-11-30,0.1324944053741766,0.0919894521629264
1998-12-31,0.1281054352663856,0.0952148277189611
1999-01-31,0.14579105686981914,0.08843677925858885
1999-02-28,0.14788370842696744,0.08335507661275246
1999-03-31,0.1473214981368007,0.08328491894934748
1999-04-30,0.1866272585009666,0.07346653871269293
1999-05-31,0.18636927305528958,0.07138817548513099
1999-06-30,0.07940146013378403,0.0782245787168642
1999-07-31,0.10319043535149165,0.07941649652775835
1999-08-31,0.14549438136444046,0.07238550078621235
1999-09-30,0.11805233826670593,0.07518673080340463
1999-10-31,0.09544869230545149,0.08070469283703052
1999-11-30,0.05679049799267915,0.08582097731474286
1999-12-31,0.02182466032905404,0.09320516573288906
2000-01-31,0.010720714721471224,0.09477117657195584
2000-02-29,-0.025242881087067084,0.09570928387102993
2000-03-31,-0.01809475219509507,0.0961579626514059
2000-04-30,-0.013345389278010085,0.09272281520855903
2000-05-31,-0.01000425047294787,0.09543536645906701
2000-06-30,-0.00851381940382685,0.0917193727343529
2000-07-31,0.0020123057787979626,0.0938583669177123
2000-08-31,-0.0003020402579366617,0.09298128874067574
2000-09-30,-0.007639048070325693,0.09344863085531967
2000-10-31,-0.022305295659898052,0.08817525639050439
2000-11-30,-0.02919920061185277,0.08267865031393698
2000-12-31,-0.0326592679729012,0.07907789043816617
2001-01-31,-0.035946806809692866,0.077403683687071
2001-02-28,-0.04451562734059249,0.07649805007656804
2001-03-31,-0.05263958296509684,0.07702351204718975
2001-04-30,-0.06376381350480606,0.08291358830431719
2001-05-31,-0.06564468739457052,0.08300138102477922
2001-06-30,-0.06605634465128926,0.08091392652348017
2001-07-31,-0.02629261371543777,0.06934890116186503
2001-08-31,0.02291885867540184,0.0540373701965722
2001-09-30,0.043567640351712844,0.05156661584442893
2001-10-31,0.050972339205660036,0.05157934369219785
2001-11-30,0.06082429019734044,0.04924680960912033
2001-12-31,0.060849513142597414,0.04897214526556761
2002-01-31,0.061853170199891,0.0467852823525338
2002-02-28,0.05724242486498421,0.04456517454611384
2002-03-31,0.06353512844423738,0.039104834754803114
2002-04-30,0.06649892083440986,0.035709779348598696
2002-05-31,0.0634676129142526,0.037336057358876185
2002-06-30,0.06309597497013807,0.03856233879461025
2002-07-31,0.055336595188265086,0.039954721034530544
2002-08-31,0.04175368414926261,0.04392262532692912
2002-09-30,0.03781482952252442,0.04568493031300096
2002-10-31,0.05315591699678225,0.04352120150852422
2002-11-30,0.07733553059937315,0.04159985393897234
2002-12-31,0.06934653747905507,0.04089865799066893
2003-01-31,0.07219982416820368,0.04010951929260239
2003-02-28,0.062427254755096306,0.04044982409908716
2003-03-31,0.057227121481075414,0.04135607843440094
2003-04-30,0.0637302794307598,0.04217921000238994
2003-05-31,0.0632663422123675,0.04259698082042026
2003-06-30,0.06358143492499592,0.04111784351451521
2003-07-31,0.055281222235763185,0.041977492528127366
2003-08-31,0.0589676270618955,0.04190208301167513
2003-09-30,0.048088793216719904,0.04353471596994655
2003-10-31,0.033853639528677905,0.04332020957731698
2003-11-30,0.029893392208083923,0.04121372637591944
2003-12-31,0.019456831883837816,0.04428276094991544
2004-01-31,0.034007183450477894,0.04585845167853761
