h,coef,se,n_obs,F_stat,lo90,hi90,lo95,hi95
0,-0.030886628003748202,0.04074664051747457,143,109.98276956744238,-0.09791485165499386,0.036141595647497464,-0.11075004341799835,0.04897678741050195
1,-0.04939967124202616,0.05174357654160408,142,109.87977338819947,-0.13451785465296487,0.03571851216891255,-0.15081708126357016,0.05201773877951784
2,-0.08184658703992578,0.0668837269772658,141,112.86947580741982,-0.191870317917528,0.028177143837676458,-0.21293869191536674,0.049245517835515173
3,-0.10174881748330268,0.06661200337192781,140,204.165858951359,-0.21132556303012393,0.007827928063518563,-0.23230834409228118,0.028810709125675835
4,-0.10986268932520596,0.07232806765966843,140,204.165858951359,-0.2288423606253605,0.009116981974948604,-0.25162570193815603,0.03190032328774414
5,-0.08523473075379948,0.10185420751993263,139,202.24819542346944,-0.25278490212408866,0.08231544061648971,-0.28486897749286744,0.11439951598526846
6,-0.1045623201038744,0.10637315306941851,138,206.09060028114712,-0.27954615690306783,0.07042151669531907,-0.31305370011993466,0.10392905991218587
7,-0.018946155967965707,0.10309830308442709,138,206.09060028114712,-0.18854286454184827,0.15065055260591687,-0.2210188300134428,0.1831265180775114
8,0.05161799265627771,0.11999195523503493,138,206.09060028114712,-0.14576877370535476,0.24900475901791017,-0.18356623960439075,0.2868022249169462
9,0.06926789688873275,0.1087497369038089,137,205.98300211522346,-0.1096254203180329,0.2481612140954984,-0.1438815874427327,0.2824173812201982
10,0.033820621380204,0.10052505059560686,136,207.66137524640044,-0.13154308684956928,0.19918432960997728,-0.16320847778718545,0.23084972054759345
11,0.03581305447969346,0.10290012205800443,136,207.66137524640044,-0.13345764630572382,0.20508375526511075,-0.16587118475399523,0.23749729371338216
12,-0.024611059625520286,0.09716144203272105,136,207.66137524640044,-0.18444163176934641,0.13521951251830583,-0.21504748600965354,0.16582536675861295
13,-0.02644327125599952,0.0866597618178509,135,202.8200756676031,-0.16899857944636426,0.11611203693436523,-0.19629640441898727,0.14340986190698823
14,-0.03257924378790444,0.09310389168346038,135,202.8200756676031,-0.18573514560719678,0.1205766580313879,-0.2150628714874868,0.1499043839116779
15,-0.03971443105568854,0.09473594643324772,134,205.2249545594336,-0.19555506293838104,0.11612620082700398,-0.22539688606485406,0.145968023953477
16,-0.06341978743272242,0.10596470963517794,133,204.86739573053603,-0.23773173478259013,0.1108921599171453,-0.2711106183176712,0.14427104345222636
17,-0.07272344414179271,0.09994920769681868,132,203.0255078071356,-0.23713989080305944,0.09169300251947402,-0.26862389122755737,0.12317700294397191
18,0.010219498910710697,0.10569599622871363,131,202.81873299533845,-0.16365041488552323,0.18408941270694462,-0.19694465369756803,0.21738365151898942
19,0.13809370510158203,0.1089280015690122,131,202.81873299533845,-0.041092857479443023,0.3172802676826071,-0.07540517797368188,0.3515925881768459
20,0.0972807202323491,0.10856410516326967,131,202.81873299533845,-0.0813072327612295,0.2758686732259277,-0.11550492588765945,0.3100663663523576
21,0.06924341195823629,0.11124095390393744,131,202.81873299533845,-0.1137479572137408,0.25223478113021336,-0.1487888576934811,0.28727568160995365
22,0.006963157496408357,0.11832797844475593,131,202.81873299533845,-0.18768636704521516,0.20161268203803187,-0.22495968025531327,0.23888599524812998
23,-0.03404504781470777,0.13455781545766696,130,199.88817776757676,-0.2553926542425699,0.18730255861315437,-0.297778366111735,0.22968827048231946
24,0.024290190892885845,0.1074759198697268,129,198.92254598982237,-0.15250769729281474,0.20108807907858642,-0.18636261205177868,0.23494299383755035
