h,diff,W,p
0,0.026512506221353208,1.3847275547394242,0.2392975113303104
1,0.052525092086382716,2.1295013679049903,0.14448775145464277
2,0.07350457062229612,2.663592144172414,0.10266863464787124
3,0.09660930309884017,3.5697804656006835,0.05884008970154375
4,0.10980966996930085,4.5547954369711805,0.032826684979560206
5,0.12550786915698642,5.728710823116715,0.016689730365658573
6,0.13198020716992592,5.87999710625413,0.01531384688187687
7,0.12645874861366996,4.609277634138257,0.03179942582031681
8,0.11266340840188725,2.9303834136176143,0.08692684601770428
9,0.10618019923420544,2.484562032987353,0.11496834794811006
10,0.10746581305036758,2.5325477325771337,0.11152002438525566
11,0.09449865065759352,2.041524233815977,0.15305621291750493
12,0.10536083751538498,2.5515991134023177,0.11018268404495868
13,0.12300276085920452,3.0774743387147985,0.07938371158169466
14,0.14642304114144852,4.146522609879523,0.04172011860656433
15,0.14114085482992228,3.6946880333349563,0.05458598923415159
16,0.14600046126105337,3.9236366776800757,0.04761178010788514
17,0.13693532417769153,3.7551349213932483,0.05264554679887479
18,0.11579277811024079,2.7339791714779196,0.098234254836158
19,0.09197386922913275,1.7228185899415795,0.1893306344987341
20,0.08145221794764834,1.286266998154745,0.2567370367313071
21,0.0704487892443228,0.9061564820619792,0.34113627805124724
22,0.024121877142722806,0.09223853866236932,0.7613503759142622
23,0.018404746041853416,0.04405586697953389,0.8337497066249947
24,0.011591576121523436,0.018191492835303906,0.8927100400523269
25,-0.020487026471025974,0.05695260580680648,0.811378967518468
26,-0.02315597691595059,0.10111777839066123,0.7504923574276496
27,-0.06139448649384179,0.7695504476842348,0.38035616086152135
28,-0.10475511618891942,2.1873342033158862,0.13914996464433238
29,-0.12235985055820381,2.6120909685718052,0.10605184584764438
30,-0.11599242273815137,2.359684833559252,0.124507341335785
31,-0.14708253407818178,3.6182141019027156,0.05715019105478569
32,-0.16920547823256438,5.830100611453697,0.0157542224660544
33,-0.17047263633849744,5.714456036840803,0.016825777039296885
34,-0.18201181989624518,6.07023862552294,0.013747838621578246
35,-0.18548705935043977,5.871585178026492,0.015387190287354247
36,-0.16757932253598762,4.479971325964584,0.03429429640229431
37,-0.17598957896639048,5.149273926232091,0.0232560954736013
38,-0.1548418953556747,3.978759724455212,0.046077479596626114
39,-0.15029202544675752,3.198444966963742,0.0737083228640032
40,-0.12856409338895278,1.7878307600572951,0.18119068674965666
41,-0.11336227776323374,1.1253490575962413,0.2887695720172635
42,-0.14468915146851638,1.8702111835158057,0.17145089436085847
43,-0.12803525104516736,1.8811715238587225,0.17020105613938996
44,-0.1201837607879642,1.828694476382557,0.1762818252749
45,-0.11379388024695229,1.8269009892413888,0.1764940241487566
46,-0.11495258009969841,2.0373766991815514,0.15347412283219508
47,-0.13004036820621134,2.372182274649203,0.12351428101054096
48,-0.11142581390638831,1.5270529249415605,0.2165552875721961
