h,coef,se,F,n,lo90,hi90,sig90
0,-0.1021419861955912,0.13878072186513923,2.590470889724264e+28,381,-0.3304362736637453,0.12615230127256286,False
1,0.06721071646420027,0.21873179645769733,2.163530084462519e+28,380,-0.2926030887087119,0.42702452163711235,False
2,-0.09995899696717121,0.25896329446615446,4.490591874227974e+28,379,-0.5259536163639953,0.3260356224296529,False
3,-0.17737498315742795,0.2656612446014801,6.181090198180963e+27,378,-0.6143877305268628,0.25963776421200685,False
4,-0.08698721266842527,0.2779979808531749,6.593040315183273e+27,377,-0.544293891171898,0.3703194658350475,False
5,0.06256897572701803,0.2370855592310116,8.049115123959704e+26,376,-0.3274367692079961,0.45257472066203214,False
6,0.18183280835319726,0.20180084040218285,4.874666600924801e+28,375,-0.15012957410839356,0.5137951908147881,False
7,0.2617935226657267,0.19600075996194716,6.316409942784846e+27,374,-0.060627727471676385,0.5842147728031297,False
8,0.21952836467031525,0.22746158825363008,4.110273564817262e+28,373,-0.15464594800690626,0.5937026773475368,False
9,0.18930963849028595,0.27434869118313937,1.4501849578615946e+27,372,-0.2619939585059783,0.6406132354865502,False
10,0.1802014201937331,0.30535269707327317,5.830469914794247e+26,371,-0.3221037664918013,0.6825066068792675,False
11,0.15213130165966907,0.3230340602710773,1.17716122490852e+28,370,-0.37925972748625314,0.6835223308055912,False
12,0.11399962176141809,0.3221864681746396,4.12742404140254e+27,369,-0.41599711838586406,0.6439963619087002,False
13,0.2161066100832627,0.39215221406260947,1.1910240724086514e+27,368,-0.42898378204972987,0.8611970022162553,False
14,0.10008146238970335,0.4066393139617542,4.503712739395657e+28,367,-0.5688402090773822,0.769003133856789,False
15,0.11716468605031251,0.38958655836273937,4.9246356324781254e+27,366,-0.5237052024563937,0.7580345745570187,False
16,0.22138353965080085,0.42136525605229364,7.320204462918551e+26,365,-0.4717623065552222,0.9145293858568239,False
17,0.1971195830134774,0.3497996667219135,1.3880261340704278e+27,364,-0.3783008687440702,0.7725400347710251,False
18,0.0033696239950192497,0.354160007337061,2.498392897007021e+27,363,-0.5792235880744461,0.5859628360644846,False
19,-0.0013457066420494558,0.411809831193158,4.115520173295711e+27,362,-0.6787728789547944,0.6760814656706955,False
20,-0.0991137337017208,0.49064080589648223,2.342146262566386e+28,361,-0.9062178594014341,0.7079903919979924,False
21,-0.06816910492658462,0.438246457342908,5.200943058864784e+27,360,-0.7890845272556684,0.652746317402499,False
22,-0.14342310209053077,0.46943056299229,1.1988647840241729e+27,359,-0.9156363782128478,0.6287901740317863,False
23,0.09574580228589695,0.3798432125149192,8.020645851299483e+27,358,-0.5290962823011451,0.720587886872939,False
24,0.2561350963557443,0.3581577739088613,5.452074749465997e+27,357,-0.3330344417243325,0.845304634435821,False
25,0.4200260727813438,0.37655889594102476,3.1622551605563627e+28,356,-0.1994133110416419,1.0394654566043295,False
26,0.32671064471211386,0.39572358852876627,1.5046141472955544e+28,355,-0.3242546584177066,0.9776759478419343,False
27,0.47796321882223275,0.4062395272400233,1.3727772940657223e+27,354,-0.19030080348760564,1.146227241132071,False
28,0.6582803044880562,0.44033000494853264,2.1424122743754082e+27,353,-0.06606255365227998,1.3826231626283922,False
29,0.5493302125622528,0.3879640849474185,1.3668063843631668e+27,352,-0.08887070717625067,1.1875311323007562,False
30,0.4911479275909724,0.3934482794022565,2.9690612070838863e+27,351,-0.1560744920257396,1.1383703472076845,False
31,0.7202612022843345,0.3694589675928685,1.1184103369018431e+28,350,0.11250120059406588,1.328021203974603,True
32,0.6386558486393009,0.4012123216541835,9.480224019334577e+27,349,-0.02133842048183099,1.2986501177604328,False
33,0.6520583226975307,0.4708319732886725,1.5368975309479637e+27,348,-0.12246027336233556,1.4265769187573971,False
34,0.6445670960303196,0.5036274883989773,7.641338561467373e+26,347,-0.18390012238599807,1.4730343144466373,False
35,0.5640204852697424,0.49487470072675777,3.881531464585225e+28,346,-0.2500483974257742,1.3780893679652588,False
36,0.6794840188235098,0.558869776491332,2.689980038664654e+28,345,-0.23985676350473129,1.598824801151751,False
37,0.6879481252038548,0.5562234658101387,3.2913587375799973e+28,344,-0.22703947605382335,1.6029357264615332,False
38,0.7158719207577933,0.4258449140745158,5.010307185330971e+27,343,0.015357037105214744,1.4163868044103718,True
39,0.5745151387803412,0.42492240707781453,8.994014166524002e+26,342,-0.1244822208626637,1.2735124984233461,False
40,0.4948575138917621,0.44754638952747017,1.8012164291510743e+27,341,-0.24135629688092636,1.2310713246644505,False
41,0.5237061950875511,0.48393710269568063,3.136901361318078e+27,340,-0.2723703388468436,1.319782729021946,False
42,0.5656861061310149,0.41936873399109104,2.553412181240835e+27,339,-0.12417546128432988,1.2555476735463595,False
43,0.7111665859806414,0.43133272796552713,2.611937065310117e+27,338,0.0016242484773493215,1.4207089234839336,True
44,0.5514546569180104,0.4459437583255561,6.171480633292583e+27,337,-0.18212282552752934,1.2850321393635502,False
45,0.4564586404240487,0.4649924508832125,2.7278781771677224e+28,336,-0.30845394127883585,1.2213712221269333,False
46,0.4256702172168841,0.5790095769758503,1.3934787414029292e+27,335,-0.5268005369083897,1.378140971342158,False
47,0.4978491237782169,0.5850191385539857,6.488279499291583e+26,334,-0.4645073591430896,1.4602056066995233,False
48,0.3070809125815281,0.5506507526610145,3.366777588067722e+27,333,-0.5987395755458407,1.212901400708897,False
