code,name,lpri_col,F_d2,F_dl,F_L1,F_L2,best_instr,best_F,exog_p,valid
us,US-China,lpri,0.05388420710704068,8.105163485759423,9.31014256661461,10.962543824306994,L2dlpri,10.962543824306994,0.47824292115119604,True
jp,Japan-China,lpri_jp,0.3417652703401275,4.196455805327717,9.182406676864868,9.779369698309415,L2dlpri,9.779369698309415,0.24218918610924822,False
aus,Australia-Ch.,lpri_aus,0.03235170939067513,53.25871879798573,63.18569277604115,71.04074279774495,L2dlpri,71.04074279774495,0.12891042038581163,True
cds,S.Korea-China,lpri_cds,0.061190296998398654,0.00013406758351592807,0.04492336483090257,0.012471761244845024,d2pri,0.061190296998398654,0.7829389165912749,False
fra,France-China,lpri_fra,0.011663495839911709,2.188600399764005,2.2201130824489548,2.2230098555667093,L2dlpri,2.2230098555667093,0.5630341277133267,False
ger,Germany-China,lpri_ger,0.006636394094176571,13.823149137897088,15.974333451296129,13.264310841688735,L1dlpri,15.974333451296129,0.6385405080542879,True
india,India-China,lpri_india,0.023085337460308487,0.8842006496837067,1.1372529026633662,1.7800374277914208,L2dlpri,1.7800374277914208,0.6138154929652152,False
indo,Indonesia-Ch.,lpri_indo,0.07304493828954137,7.2395151536584175,7.686947849690512,9.395233138833426,L2dlpri,9.395233138833426,0.07268028362536971,False
pak,Pakistan-Ch.,lpri_pak,0.022209001374656454,3.345189620726462,2.7406784080785123,2.7847461774452285,dlpri,3.345189620726462,0.3234435094711666,False
rus,Russia-China,lpri_rus,0.03085905068088983,23.461398957266336,31.470625146158177,35.125275011172626,L2dlpri,35.125275011172626,0.24333208124852437,True
vn,Vietnam-China,lpri_vn,0.005368993162293596,1.3538945134509932,1.3250018504114216,1.5248780555171757,L2dlpri,1.5248780555171757,0.04486110265609946,False
uk,UK-China,lpri_uk,0.041102513986649575,50.415694433791835,50.78611431133467,54.36810486014847,L2dlpri,54.36810486014847,0.038612269818732156,False
