US_q10,US_q25,US_q50,US_q75,US_q90
0.17075985371627128,0.18033645873414172,0.07535111020468836,0.06604875393167478,0.009527450718564638
0.12819300029569158,0.08233738452542563,0.14548116171601339,0.11275560156707706,-0.019617602777578392
0.1305841511175107,0.05166497395126964,0.18767057791263878,0.08225498870675138,0.022646480036387744
0.10246300762001315,0.06442629527126896,0.20710728945381074,0.1010280211797977,0.04395923203128151
0.09694929054997883,0.10087114834964689,0.12977443261856833,0.025535848059443072,0.0058901366612568035
0.018400086938523897,0.03012203217699328,0.006256568711627596,0.0672850365053779,0.04085164267520973
-0.020819811089173523,0.013649927116566856,0.02677366759362678,0.07040030527863345,0.11988295931670442
0.02353443994037148,0.03265428705853031,0.050661444157038736,0.025247281273969528,0.07957015681710039
0.05743996173897606,0.02375274072034499,0.01866305790710012,-0.01963640262028278,0.002094160981708338
-0.009705587814823672,0.006744629866073382,0.04451211041159476,-0.021699590616563246,0.0183151348760355
-0.0019719026338989314,-0.001204861681534138,0.005567770255943788,-0.001264586712381574,0.00044317398202413843
-0.004474473787656025,-0.024549928564725706,-0.0033307175990297984,-0.009209587731548126,-0.022981996424375335
-0.041805759252955606,0.008684736197645622,-0.004516431068760036,-0.003000667231375421,0.015618595217526746
-0.05376183818711092,-0.014478418075559017,0.0014113498993701009,0.04188245202527618,0.028616908930023475
-0.10468565590629045,-0.03651032706366123,0.0466801575378047,-0.0016781489962515049,0.008979235543854734
-0.06714586088493087,-0.04715437595551545,0.0071958016832469425,0.030534815207852988,0.03261691865629177
-0.06959615567224048,-0.012905306878503832,0.016370758858070895,0.005032646343582228,-0.015721184710765827
-0.11247579762807422,-0.08379846067848842,0.013905871532261962,0.02043714019550324,-0.002284572359485268
-0.09483087943065446,-0.0673447341950183,0.00561230829323957,0.01888268523878368,0.03946595225967487
-0.09265984325519777,-0.023509207737877517,-0.0017337267997624317,0.0012984238520084915,0.03449896453316477
-0.01713231123125302,-0.015073580336304652,0.0072780033191745756,0.0020153885340125463,-0.00023377451386673106
-0.0257329797511787,-0.022232157616368164,0.01280432370265436,-0.004001157488155841,0.0048717410540585135
-0.04207016095282528,-0.02401015626777234,0.01643465028193416,0.0066788208397599615,0.02986181302819024
-0.028446140283936234,0.005974183110021676,-0.013124898680159607,0.0188846211334352,0.027267797206603783
-0.004012414251240234,0.013280111402796228,-0.006448203641597712,0.0025242643919896205,0.015498554502163798
0.0479397125473256,0.03670641689366987,0.009415694923878002,-0.0033508576082390443,0.05529159638858819
0.10090908651843307,0.03109453871126166,0.03052158933883948,-0.0633496016943124,0.003770478097370569
0.0019604059413360947,0.0026725788220474133,0.06907601626647521,-0.03712983805342875,0.012384966073058497
0.04821368158870169,0.025864500054420758,0.011095084938608366,-0.047598118180304405,0.000332543970048959
0.0356748860071845,0.041052223545534186,0.0461979159422486,-0.006524334043067887,-0.0012185672990408932
0.03284115959005443,0.04655227205858601,0.08455666586656922,0.011901318995443852,0.02488537968292245
0.040127591094435165,0.06650188237147643,0.08903510786347077,0.06510354112583885,-0.0052230557649561304
-0.02755117191038195,0.06169864071796709,0.09102697186547032,0.041092272836397804,0.06648447942956269
0.11328424107992793,0.06266951333511225,0.06203309330725854,0.04016440610809209,0.08803700351997569
0.21037698384773926,0.08762902846339855,0.08086643408817856,0.0787881314265548,0.028807947786315822
0.16494107723639775,0.10024240838208971,0.10556217216737404,0.03032057075837295,-0.01883065260283141
0.08295881621936749,0.06200275992234684,0.06288949314259408,-0.021860938183223134,-0.027565097178078927
0.16659083182418286,0.06122239166245527,0.1307354659003999,-0.0025422050593063364,-0.008021428016635598
0.11921947396190553,0.08948925109228324,0.09917870921654073,-0.0055068932987822165,0.06188228676917714
0.05275466225987946,0.11689617742904346,0.12003530519469482,0.04225175172991668,0.06263976477287063
0.16952742717555633,0.13154682270131565,0.15229292829440175,0.08242341910393484,0.10496603238577308
0.3522662975839979,0.10918124302639833,0.23842982961146744,0.03181699868232583,0.13809172563298058
0.45803501888835685,0.20025816065700927,0.2799683018657144,0.05142924833152476,0.1152107157925383
0.3700733221044298,0.2152438754685183,0.26180373095365866,0.10170296226384218,0.12446335189314284
0.4841710746491874,0.28834926615753176,0.12179116003475621,0.07966892766281673,0.1460793436559343
0.6126932417665455,0.15460278936846664,0.18109689929132142,0.08864269341769156,0.12740830597567668
0.5862016844827979,0.2337332583373124,0.15116451290105537,0.01861450625122883,0.11340639325676236
0.41223389910607083,0.21532981214183744,0.23045694050570814,0.07633855881067379,0.13943851929536144
0.09883723997989546,0.1384605079904663,0.17396878871844415,0.08750066933046456,0.15510110480871334
