h,coef
0,-0.022906394227561577
1,-0.0368402003191477
2,-0.12052789677136388
3,-0.17050437197769952
4,-0.20708788157321578
5,-0.23341396382784296
6,-0.23125317980884574
7,-0.24609503186911752
8,-0.18192225909433546
9,-0.03434726239584052
10,-0.08105736947345576
11,-0.10048371985863014
12,-0.0804952061844233
13,-0.051616393205051736
14,-0.05551300075467225
15,-0.017719510410643124
16,-0.04483841958472112
17,-0.035187646199744904
18,-0.006282218918371996
19,0.02278735368912521
20,0.009932256307365606
21,0.004000475765678857
22,0.0644664390813432
23,0.08638003469462774
24,0.06763772226751996
25,0.11822933195469432
26,0.1372233275446888
27,0.1870459104272868
28,0.19145831329296925
29,0.1580830634136703
30,0.186413071893071
31,0.22695289569469423
32,0.23798708027455007
33,0.2559149501566367
34,0.27984840574227476
35,0.41503787084170085
36,0.332528276906487
37,0.22579778694421293
38,0.18385768665496016
39,0.18107209507957123
40,0.08124356908683694
41,0.02720212451322368
42,0.09562126552737027
43,0.16334231127757448
44,0.11991113459271219
45,0.06312139426597696
46,0.06604693896770186
47,0.12488060336738727
48,-0.02837894333561053
