h,coef,se,lo90,hi90,lo95,hi95
0,-0.02695628670844208,0.029051470915048686,-0.07474595636369716,0.020833382946813007,-0.0838971697019375,0.029984596285053344
1,-0.08198435344265498,0.04379224601139615,-0.15402259813140162,-0.00994610875390832,-0.16781715562499144,0.003848448739681473
2,-0.12938283823610242,0.050982407091721374,-0.2132488979019841,-0.04551677857022075,-0.2293083561358763,-0.02945732033632853
3,-0.1397071107526866,0.05825479224095415,-0.2355362439890562,-0.043877977516317015,-0.25388650354495673,-0.02552771796041646
4,-0.13597313752775442,0.06344222574165967,-0.24033559887278458,-0.03161067618272426,-0.26031989998140737,-0.01162637507410147
5,-0.14165190198755795,0.06821045700334599,-0.2538581037580621,-0.029445700217053797,-0.2753443977141161,-0.007959406260999807
6,-0.16540511333204044,0.07068043519963091,-0.2816744292354333,-0.0491357974286476,-0.303938766323317,-0.026871460340763875
7,-0.12894804392047376,0.07838612582446178,-0.2578932209017134,-2.866939234152932e-06,-0.28258485053641885,0.024688762695471322
8,-0.06774652443602491,0.09293728083783186,-0.22062835141425832,0.0851353025422085,-0.24990359487817534,0.11441054600612552
9,-0.04693199171283524,0.09581203147190319,-0.20454278348411598,0.11067880005844549,-0.23472357339776548,0.140859589972095
10,-0.04361668417129749,0.0973217573732992,-0.2037109750503747,0.11647760670777971,-0.23436732862296394,0.14713396028036896
11,0.010669299971066692,0.09152936805322111,-0.13989651047648202,0.1612351104186154,-0.16872826141324668,0.19006686135538006
12,-0.016471250276588023,0.0924495143906896,-0.16855070144927242,0.13560820089609638,-0.19767229848233964,0.1647297979291636
13,-0.029633097117695684,0.10194282505775695,-0.19732904433770587,0.1380628501023145,-0.22944103423089932,0.17017483999550795
14,-0.06381234028208027,0.10556632304444329,-0.23746894169018948,0.10984426112602894,-0.2707223334491891,0.14309765288502857
15,-0.03290190855159025,0.10403566995159981,-0.20404058562197194,0.13823676851879144,-0.23681182165672587,0.17100800455354537
16,-0.0634762749473623,0.10348090992762056,-0.2337023717782981,0.10674982188357351,-0.2662988584054986,0.13934630851077398
17,-0.04508051623314557,0.09408673439603317,-0.19985319431462015,0.109692161848329,-0.2294905156493706,0.13932948318307944
18,0.03607671950278046,0.08907796562960574,-0.11045653395792099,0.18260997296348191,-0.13851609313124677,0.2106695321368077
19,0.10563039462430268,0.0871463670041493,-0.03772537909752291,0.24898616834612827,-0.06517648470382995,0.27643727395243534
20,0.12071563222961501,0.09297013974613895,-0.03222024765278356,0.27365151211201355,-0.061505841672817335,0.3029371061320474
21,0.12088822936463117,0.09668993587147139,-0.03816671514393927,0.2799431738732016,-0.06862404494345273,0.3104005036727151
22,0.09387326449526512,0.09837283083801061,-0.06795004223326234,0.2556965712237926,-0.09893748394723567,0.2866840129377659
23,0.08869034285115873,0.10398118448845652,-0.08235870563235223,0.2597393913346697,-0.11511277874621603,0.2924934644485335
24,0.1556336149805162,0.1017953811681372,-0.011819787041069507,0.3230870170021019,-0.043885332109032726,0.3551525620700651
25,0.2124977367429821,0.11565018543628612,0.022253181700291447,0.4027422917856728,-0.014176626712138679,0.43917210019810293
26,0.18567371314081527,0.09357247390393672,0.031746993568839366,0.33960043271279117,0.0022716642890993066,0.3690757619925312
27,0.2307551160714425,0.0918787089675223,0.0796146398198683,0.38189559232301673,0.05067284649509879,0.4108373856477862
28,0.24121679368261084,0.09563843261609246,0.08389157202913874,0.3985420153360829,0.0537654657550696,0.4286681216101521
29,0.23736032930074202,0.1002629314032667,0.0724278071423683,0.40229285145911575,0.04084498375033929,0.43387567485114475
30,0.21064272033311937,0.10374070494762197,0.039989260694281215,0.3812961799719575,0.007310938635780306,0.41397450203045844
31,0.2086538561553013,0.11258835817910211,0.023446006950678333,0.39386170535992426,-0.01201932587573884,0.42932703818634144
32,0.2669455351235115,0.09771571652229344,0.1062031814443388,0.42768788880268416,0.07542273073981634,0.45846833950720667
33,0.2975396292656427,0.09721274746909518,0.13762465967898113,0.4574545988523043,0.10700264422621614,0.48807661430506927
34,0.3159915610588371,0.10544918066577186,0.14252765886364238,0.4894554632540318,0.10931116695392423,0.52267195516375
35,0.2956552449661274,0.10880865399228959,0.116665009148811,0.47464548078344376,0.0823902831412398,0.508920206791015
36,0.21322028336458487,0.1007499163309232,0.047486671000216196,0.37895389572895355,0.015750447355975417,0.41069011937319433
37,0.2263153787979988,0.09741228020891943,0.06607217785432634,0.38655857974167124,0.03538730958851671,0.41724344800748087
38,0.19352210968421701,0.09990103332522395,0.029184909864223618,0.3578593095042104,-0.002283915633221917,0.389328135001656
39,0.19780111377872345,0.10801567264187104,0.020115332282845594,0.37548689527460133,-0.013909604599343789,0.40951183215679066
40,0.15453948822938912,0.1088673514867557,-0.024547304966324013,0.33362628142510226,-0.058840520684652065,0.3679194971434303
41,0.09681424211743916,0.10555443994957239,-0.07682281159960741,0.27045129583448574,-0.11007246018372271,0.30370094441860107
42,0.12403166022398437,0.10261673928663997,-0.044772875902538395,0.29283619635050717,-0.07709714877782997,0.3251604692257987
43,0.12188426752095438,0.09962091479871776,-0.04199213732293633,0.2857606723648451,-0.07337272548453244,0.3171412605264412
44,0.12947078686251245,0.10100551641089313,-0.03668328763340675,0.2956248613584317,-0.06850002530283808,0.32744159902786296
45,0.10360815273218549,0.10336762649240916,-0.06643159284782757,0.27364789831219855,-0.09899239519293646,0.30620870065730743
46,0.08508096648693453,0.09753662859880628,-0.0753667875581018,0.24552872053197086,-0.10609082556672578,0.27625275854059483
47,0.10471161214541524,0.09848256818829176,-0.057292212524324704,0.2667154368151552,-0.0883142215036366,0.2977374457944671
48,0.06835974807757594,0.1063843154480581,-0.10664245083447962,0.2433619469896315,-0.14015351020061792,0.27687300635576984
