h,diff,se_diff,W,p_value
0,-0.06865748024944157,0.07565634798227175,0.8235405235267467,0.36414702948326294
1,-0.07227234798032182,0.10683539763307373,0.4576294732308477,0.4987339307901022
2,-0.024253382659380554,0.1405510533945828,0.029776690583570836,0.862997894603943
3,-0.0005657988516679091,0.15371103171148917,1.3549212316705809e-05,0.9970630530301325
4,0.06684617034183937,0.1492411029342342,0.20062089463606728,0.6542201438619638
5,0.00010283735749111456,0.16367948683772784,3.9474197292468735e-07,0.9994987011750652
6,0.002883255975750454,0.1811863334537041,0.000253230217789544,0.9873036321514034
7,0.07388797040993271,0.18600627944559392,0.1577946457417287,0.6911951023049738
8,0.24835395764197146,0.20645962953611227,1.4470111670376424,0.22900814214866316
9,0.2632208327112438,0.21454380048835495,1.5052498003216783,0.21986535797877527
10,0.20567970821647721,0.20678801630648308,0.9893094576091103,0.3199112076631685
11,0.17945260363288495,0.21445726457298894,0.7001933844304465,0.4027187219084285
12,0.08644494747277627,0.22070607732662811,0.1534089316573116,0.6952987170126066
13,0.14638693096584535,0.22686159108442294,0.41637310033781344,0.5187523671629019
14,0.09487570783275932,0.2204527131292143,0.18521628194436124,0.6669282509524733
15,0.1645068960477623,0.21646677286142738,0.5775448703743581,0.4472762655911483
16,0.0817834099339074,0.2217687834633937,0.13599708526062088,0.7122933335249932
17,-0.03119886176888062,0.22450151444316,0.019312520144360898,0.8894742556947044
18,0.047001013915951684,0.20191845151914686,0.05418292414969857,0.815938256058827
19,0.09261554967446203,0.19010173477865425,0.2373535092616543,0.6261241180634566
20,0.1205322313318708,0.19292879414622366,0.39031235000026837,0.532135263036118
21,0.04998589459459446,0.20338573694195716,0.0604023661053178,0.8058611110762766
22,-0.09769611199123787,0.22693356840770115,0.18533484384717971,0.6668280863931018
23,-0.2579308770600375,0.27156951215341174,0.9020791512269191,0.34222482541867016
24,-0.011331334099034127,0.2271903265962035,0.0024876107085873445,0.960221240006784
25,0.031457567817146787,0.2597213741801782,0.014670161637783894,0.9035956374530502
26,0.010223789707408018,0.21609563555156497,0.002238369732768549,0.9622650325779482
27,0.13101242454987772,0.21452624799352576,0.37296157784300843,0.5413943635951961
28,0.08311579314854145,0.23010266194317272,0.1304739532925923,0.7179411332340785
29,-0.0351624079167534,0.2466885084168175,0.02031699050216664,0.8866553180803967
30,-0.08146503478647821,0.2514472481239568,0.10496601764056677,0.745949697342167
31,-0.06411011295968816,0.2837431473478496,0.051050772796874734,0.8212448349569028
32,0.024270031198242295,0.22605682667161714,0.011526711293066117,0.9145013851168181
33,0.1581037188423719,0.19932489951380658,0.629159940956174,0.42766362056035967
34,0.3225763815009642,0.2196065854829259,2.1576172863778695,0.1418645246508038
35,0.23924538186401678,0.22581960924855868,1.122441779437125,0.28939328259419983
36,0.11995110406877699,0.21274478550987677,0.3179000902664842,0.5728723550027259
37,0.16879366241090002,0.19183482228280768,0.7742075187119261,0.37891856182089545
38,0.2100159568434012,0.18270618591217885,1.3212898034756178,0.25036070243801145
39,0.27049610707003724,0.21199994948697823,1.6279854665239895,0.20198191339502847
40,0.22620891458593467,0.19948310064749158,1.2859000456352778,0.2568048970456477
41,0.16130195697819005,0.21389683232057877,0.568683420487941,0.4507825647857019
42,0.1619933836695971,0.18634365813899031,0.7557276636188993,0.38466885532683126
43,0.16911559579421345,0.17242735191969033,0.9619555461820255,0.326694670651166
44,0.22869451914292308,0.15658590443578013,2.133075280063594,0.14415129442392138
45,0.2209077833916494,0.14937563744063376,2.1870690394593004,0.139173927313199
46,0.12614511328373093,0.1568773447710725,0.6465772236748111,0.4213390760446667
47,0.12015076928654898,0.1791676145821584,0.4497115983368423,0.5024719435280822
48,0.11675320448623881,0.19725311084337416,0.35034013778914386,0.5539206494571483
