,mean_abs_shap
llwip,0.27722928
gs10,0.06314042
vix,0.026612556
L2_lwti,0.02405734
L1_lwti,0.023474246
L2_lpri,0.017950682
gpr_usa_l1,0.016046267
gpr_chn_l1,0.014931017
gold,0.013546049
lpri,0.013261302
dl2lgop,0.011625888
indpro,0.009347474
L3_lwti,0.00924355
cny_usd,0.008123723
L1_lpri,0.0069648023
bdi,0.005560794
brent,0.005495313
dllgop,0.005126659
d2pri,0.0018379526
