h,tau,beta_boot
3,0.1,-0.018987341772151778
3,0.1,-0.09493670886075956
3,0.1,0.24683544303797467
3,0.1,-0.3227848101265822
3,0.1,-0.13291139240506333
3,0.1,0.05696202531645578
3,0.1,-0.43670886075949356
3,0.1,-0.09493670886075956
3,0.1,-0.8544303797468354
3,0.1,0.05696202531645578
3,0.1,-0.3227848101265822
3,0.1,0.7025316455696204
3,0.1,-0.8164556962025317
3,0.1,-0.3227848101265822
3,0.1,0.2088607594936709
3,0.1,0.09493670886075956
3,0.1,-0.018987341772151778
3,0.1,-0.018987341772151778
3,0.1,0.3227848101265822
3,0.1,0.28481012658227844
3,0.1,0.7025316455696204
3,0.1,-0.056962025316455556
3,0.1,0.47468354430379756
3,0.1,-0.056962025316455556
3,0.1,-0.056962025316455556
3,0.1,-0.360759493670886
3,0.1,-1.3481012658227849
3,0.1,0.2088607594936709
3,0.1,0.09493670886075956
3,0.1,-0.6645569620253164
3,0.1,0.7025316455696204
3,0.1,0.2088607594936709
3,0.1,-0.056962025316455556
3,0.1,-0.8164556962025317
3,0.1,0.24683544303797467
3,0.1,0.018987341772152
3,0.1,-0.018987341772151778
3,0.1,-0.09493670886075956
3,0.1,-0.056962025316455556
3,0.1,-0.09493670886075956
3,0.1,-0.056962025316455556
3,0.1,0.3227848101265822
3,0.1,0.28481012658227844
3,0.1,-0.056962025316455556
3,0.1,-0.018987341772151778
3,0.1,-0.360759493670886
3,0.1,0.13291139240506333
3,0.1,1.1582278481012658
3,0.1,-0.360759493670886
3,0.1,-0.360759493670886
3,0.1,-0.3987341772151898
3,0.1,-0.8924050632911392
3,0.1,0.09493670886075956
3,0.1,-1.3860759493670887
3,0.1,-0.018987341772151778
3,0.1,0.1708860759493671
3,0.1,-0.28481012658227844
3,0.1,0.1708860759493671
3,0.1,0.3607594936708862
3,0.1,-0.24683544303797467
3,0.1,0.13291139240506333
3,0.1,-0.056962025316455556
3,0.1,0.018987341772152
3,0.1,-0.6645569620253164
3,0.1,-0.13291139240506333
