h,coef,se
0,-0.011366730863869634,0.03392819360724441
1,-0.09358724217166525,0.04854434304185818
2,-0.030859173220960656,0.05221198085523652
3,-0.031186896394501673,0.06823171224951075
4,-0.011394882044100996,0.06938823822901823
5,-0.03087425388957854,0.07183731685207821
6,-0.07546375557012652,0.07821419486769207
7,-0.05599313625702962,0.0892016881723999
8,-0.006435572473719731,0.10610232188385654
9,-0.02279956475013023,0.10762750510974692
10,-0.028944040713895447,0.08629558677703175
11,0.023530043470827877,0.10413499256913492
12,0.045552197194524524,0.09070769453050836
13,-0.00382288859327673,0.10499728717982867
14,-0.013347705648470765,0.12610277735373748
15,-0.0705201734340335,0.1492310084027715
16,-0.06652179684010662,0.14443918802270073
17,-0.03324881020603243,0.15243042472696183
18,-0.004608104976568939,0.1565651865395368
19,0.17271539012972426,0.12742588509828962
20,0.0937476158451318,0.14196217971785052
21,0.06913896515197848,0.12665532651126846
22,0.09323702832807612,0.11308732516374685
23,0.13313553487955687,0.13666789242871738
24,0.23140575378056383,0.15147280679151134
25,0.20507006777847891,0.1580273402334856
26,0.200155008744332,0.15590865779581142
27,0.16694906263592202,0.16128984893762774
28,0.3380665127538123,0.18467692783142073
29,0.2674552268849766,0.1522338103210072
30,0.2997097571278573,0.15109004368224196
31,0.37291962784001953,0.17896961613564538
32,0.3341754754219437,0.19017309253632134
33,0.29300015478088426,0.16420184767938956
34,0.2886770219356549,0.16256420696969873
35,0.22424738603513106,0.19592986520757813
36,0.226227016733219,0.16950337427531667
37,0.2082926233915714,0.1557076539218472
38,0.20272291863511782,0.16017591823670632
39,0.20409588696111314,0.16211819135824454
40,0.2366076401870032,0.17007403150503253
41,0.13651049283362227,0.17801307903957944
42,0.14869553320022533,0.18400333870827124
43,0.13661405251968972,0.1849523196724922
44,0.1338751004259393,0.1925726249462117
45,0.11150108587821705,0.17453231734684566
46,0.04286583018028978,0.17615936709511001
47,-0.00029084958441671915,0.18713136755888926
48,-0.05382608223942498,0.1908196512663332
