h,coef,se,lo95,hi95
0,0.008703669110428882,0.019278343721532674,-0.02908188458377516,0.046489222804632926
1,0.030592200361999108,0.03529800284876108,-0.0385918852215726,0.09977628594557082
2,0.01856957226017654,0.03626544437940107,-0.052510698723449545,0.08964984324380262
3,0.006440186385753444,0.03795290328973714,-0.06794750406213135,0.08082787683363823
4,0.0012040120611975132,0.04619305963346128,-0.0893343848203866,0.09174240894278161
5,-0.001652091794067563,0.05077440253039311,-0.10116992075363807,0.09786573716550293
6,-0.002015401201917772,0.0572088414904791,-0.1141447305232568,0.11011392811942125
7,-0.018042399873570036,0.05611641818351143,-0.12803057951325242,0.09194577976611236
8,-0.04135354355248728,0.057074928344885346,-0.15322040310846255,0.07051331600348801
9,-0.03873385647845168,0.060116808758454515,-0.1565628016450225,0.07909508868811917
10,-0.02239438150162565,0.06333479875873069,-0.14653058706873778,0.1017418240654865
11,-0.020988777443708972,0.0664154420806867,-0.1511630439218549,0.10918548903443695
12,-0.013407332356425687,0.06667887135688444,-0.1440979202159192,0.11728325550306781
13,0.023329533834770246,0.06332918556623497,-0.10079566987505029,0.1474547375445908
14,0.018643496560804506,0.06631278832157121,-0.11132956854947505,0.14861656167108406
15,0.005175843529418134,0.0708701975700987,-0.13372974370797533,0.1440814307668116
16,-0.02228831796240962,0.06847024136631044,-0.15648999104037808,0.11191335511555883
17,-0.027477926053340637,0.06862721056111819,-0.1619872587531323,0.10703140664645101
18,-0.07101021901640804,0.0666232499494286,-0.20159178891728807,0.059571350884472005
19,-0.07966444727248295,0.06352485707915684,-0.20417316714763034,0.04484427260266445
20,-0.04066714641266466,0.06117493818617138,-0.16057002525756056,0.07923573243223125
21,0.0002689061000293487,0.05771945353193108,-0.11286122282255556,0.11339903502261425
22,0.0025276477914887,0.0627844892461143,-0.12052995113089532,0.12558524671387272
23,-0.020055896772593618,0.06257607877037581,-0.1427050111625302,0.10259321761734297
24,-0.05579746714676253,0.06501972726985206,-0.18323613259567256,0.07164119830214749
25,-0.05534536966038381,0.07301208585425291,-0.1984490579347195,0.08775831861395189
26,-0.027090206909528524,0.06968161849845045,-0.1636661791664914,0.10948576534743436
27,-0.00751824142864338,0.07357823850159477,-0.15173158889176913,0.13669510603448237
28,-0.01929811307506877,0.065304032012296,-0.1472940158191689,0.10869778966903137
29,0.0011673461279918043,0.06747842724484568,-0.13109037127190573,0.13342506352788933
30,0.002540421811133021,0.06936657167556977,-0.13341805867298373,0.13849890229524975
31,-0.0025092881609682927,0.06616899022906418,-0.13220050900993408,0.1271819326879975
32,-0.034320027165478516,0.06790897640904776,-0.16742162092721213,0.09878156659625509
33,-0.05544533181646398,0.07733813770449599,-0.2070280817172761,0.09613741808434816
34,-0.01708031566224713,0.07031913757663863,-0.15490582531245883,0.12074519398796457
35,0.017996329690869728,0.06614469521809262,-0.1116472729365918,0.14763993231833125
36,0.042375211170597116,0.06703506978828006,-0.0890135256144318,0.17376394795562602
37,0.04304200165286136,0.06883172501394254,-0.09186817937446602,0.17795218268018875
38,0.005978289755448876,0.0661716117244269,-0.12371806922442784,0.1356746487353256
39,0.021509275552714258,0.062045337482991285,-0.10009958591394866,0.14311813701937717
40,0.014637556841350596,0.06238153794496427,-0.10763025753077937,0.13690537121348056
41,0.032004617220409246,0.06487800658295267,-0.09515627568217801,0.1591655101229965
42,0.02751490035210929,0.06936984930865518,-0.10845000429285487,0.16347980499707346
43,-0.014438318664463323,0.06670339165317624,-0.14517696630468874,0.11630032897576209
44,-0.003498820938308028,0.06218647889704659,-0.12538431957651935,0.1183866776999033
45,0.008277488495725755,0.0613200955457381,-0.11190989877392092,0.12846487576537244
46,0.02063936504915988,0.06215480655655927,-0.10118405580169629,0.14246278590001604
47,0.01648282717720284,0.06446999387716934,-0.10987836082204908,0.14284401517645476
48,0.0202125418624218,0.06335680429177876,-0.10396679454946456,0.14439187827430816
