h,coef_0.1,se_0.1,n,coef_0.25,se_0.25,coef_0.5,se_0.5,coef_0.75,se_0.75,coef_0.9,se_0.9
0,-0.012574286805829615,0.10928550522530635,333,0.02861684163508471,0.07534971041196235,-0.1366723918599746,0.05575343372907119,-0.04801207993295975,0.05537455553288737,-0.06095329141408001,0.08010452055902176
1,0.13312149625744496,0.16066091815972178,333,-0.008545459771994501,0.08548796788422613,-0.04702655317669269,0.07369480577797968,-0.14963327314399066,0.08079018880601388,-0.19972542626055656,0.105092746054979
2,0.0429989381445921,0.1745902663190456,333,0.053371880887425505,0.1047781832203621,-0.0714824409551511,0.08097360877463582,-0.13177288624956418,0.09286481247890838,-0.09932939131977037,0.1327334466918468
3,-0.2562159716071619,0.20365643876943607,333,-0.3066091949094698,0.1383861451146033,-0.18153382589662215,0.10303852888551726,-0.10687240023980848,0.10273610959226731,-0.030180693753209198,0.1413029279034385
4,-0.3215499237703625,0.16693589180673996,333,-0.2775319140719148,0.1327220020419484,-0.1548892086084379,0.12145363901937811,-0.10248799045439227,0.11278191070468237,-0.13429104711394757,0.11126265910940625
5,-0.14214970730245113,0.2176322892337664,332,-0.3261934505881072,0.14731098113103513,-0.08904718323901761,0.11620899583414848,0.08947089388129825,0.1158146318469351,0.12364923207496759,0.10270994667145672
6,-0.19325891812513873,0.2278983407657232,331,-0.5127847750845831,0.1483668967792984,-0.46710825210175244,0.10940782951342118,-0.038239241686824244,0.12543164708871393,0.11664859781694759,0.14702191996675693
7,-0.3130430250384961,0.25502491256744864,330,-0.47518262772609887,0.1595326071343576,-0.47918072824268165,0.12327495769891997,-0.14347420255217003,0.13383190484832005,-0.02243073796853423,0.15106666407822486
8,-0.2114668994472595,0.244394543725003,329,-0.33706594209797913,0.17287127479803693,-0.3869606136413495,0.1419769825716086,-0.2307054301527387,0.1560140097964084,-0.00869745048112236,0.16435708638284546
9,-0.264183690516802,0.24597259737988206,328,-0.17306081266133333,0.18171061753031975,-0.1368749581361044,0.15524326418391896,-0.24109437607694417,0.17142675876046826,-0.25821338879177347,0.19428446310764047
10,-0.26861817069584504,0.18781378460058198,327,-0.3269015174519154,0.18251702543984338,-0.2267698573450616,0.15838206387182927,0.003224977041099919,0.15730088694891142,-0.029436612800054718,0.1969790312503624
11,-0.186135772470152,0.1437028682802068,326,-0.24262444629857782,0.18797540513770408,-0.23231659425073303,0.15097335948616444,-0.0015305993038055021,0.178787604540661,0.17940500031909323,0.20171808195453486
12,-0.06070403287594672,0.29646803242974296,325,0.053583559580147266,0.19029687324335923,-0.342917583403505,0.15839459042900986,-0.06126718382074614,0.16361905964305953,-0.05492265468456026,0.21789635779090472
13,0.3748595181677956,0.2870169373203597,324,-0.1398857593012508,0.19209593619821436,-0.06725070584798232,0.16013504280304824,-0.2304238108276877,0.1858210569048793,-0.12122599111171439,0.09732032395389503
14,-0.27288100832447526,0.2518772322622553,323,0.008406893188293907,0.17992907533137878,0.03809912419092143,0.1448014126204953,-0.009037831878231373,0.16745580489626463,0.1674671694636345,0.17700352416775794
15,-0.24079232650365157,0.2799045853480551,322,-0.03866056149126962,0.1859095544106395,0.12042217304406222,0.1524477796297154,0.01078272153972648,0.18458718780609684,-0.07363112337043276,0.13032888860700204
16,-0.1893868589613703,0.25655739510364817,321,-0.3261406872770749,0.1870386713957144,-0.17806432716270137,0.1463747921554214,-0.04246510590382968,0.17326553204107134,-0.09013718797541515,0.2149090385576511
17,-0.1941458800520195,0.2356479764603436,320,-0.14726897463697242,0.17235824187286589,-0.17312471643526806,0.1676527450148189,0.06004438054878847,0.18554388851547698,-0.028139946389273973,0.28960850028641283
18,-0.32919982238672674,0.21303666531216567,319,0.1741214166249847,0.1579969132770806,-0.09147808598936535,0.13705532669934692,0.08895564460544847,0.16714205141426772,0.16772862063953653,0.2290532154332702
19,0.040782010517432354,0.18477094100849156,318,0.1574062016152311,0.1629073489717908,-0.0911047284353117,0.1295350866554504,0.22665089626889312,0.18032719685948317,0.2613226644716633,0.23251062222708424
20,-0.05662748359463876,0.17517909618604913,317,0.11469731871375188,0.17708991633137858,0.08046945794603744,0.13730716785744596,0.25687888191532693,0.16236272703481372,0.2711272449232638,0.22065494880869657
21,0.11437215271871537,0.22059676456476324,316,-0.008140520363667747,0.15914473126200102,-0.056151571710870485,0.14407064597967956,0.12620418085862184,0.1461168773212773,0.18874154987133807,0.11599549694165777
22,-0.061290996693969646,0.23236717684710767,315,-0.1469038730738248,0.18950460153726675,-0.09397986934709479,0.15439539888859882,0.10065372146527807,0.16534885131350144,0.07572835013161239,0.18230804335015946
23,-0.4686957591402461,0.24770021135546022,314,-0.04207548784324899,0.15482684387809573,-0.07657335513067665,0.15879238110141583,0.04052472565854259,0.1632040177485503,0.11085999033093685,0.23869313891365232
24,-0.46471967923571356,0.33715724213774845,313,-0.015555755313471309,0.18564219267613238,-0.054584248431638116,0.17421129367513233,0.01861463062959956,0.17894960931412426,0.01057515461161529,0.1767264005496183
25,-0.0191543910150358,0.18036332321360463,312,-0.14150394294119906,0.17319237723626218,0.003433014577240101,0.17041910644749456,0.0333462613998563,0.18249557652957055,0.06387232115957886,0.18695843155977554
26,-0.10456706860895792,0.19923909307209461,311,0.03185455054335762,0.16272106313608561,-0.1043137826873135,0.1319441390858596,-0.06177574898174498,0.1534559026802395,-0.06652189515443752,0.20539471754763675
27,-0.037881027474213624,0.1618117916458517,310,0.10868068511990714,0.14640293470041507,-0.001157211113422818,0.15712735497397062,-0.001716874468002061,0.15562663298245352,0.025486441432803986,0.19319254494075208
28,0.3026402115028759,0.1947292865470843,309,-0.032831401791554526,0.155544932139514,-0.017515576764708385,0.15295965299085307,0.04476532660191879,0.16383181770187938,-0.09494544193876209,0.2020016301139202
29,0.15072420105934725,0.20913969178690353,308,-0.00636141914583277,0.15103054035715544,0.06299463236700831,0.14928992492378249,0.22375968283449765,0.13119799919134228,0.02857416041661054,0.16509182806688832
30,0.06751063407864422,0.17529749026422392,307,0.056488423819700984,0.17555882743643667,0.10681338305585086,0.14200971071085886,0.026649754028767347,0.11983549541603808,0.009366684542328585,0.15864918719647986
31,0.033320488383651536,0.19426935231569606,306,0.05094265158641065,0.17749853330085402,-0.07427001737596584,0.14310773440437896,0.06716760329436511,0.153263435409281,-0.14441707692458294,0.1719679683456261
32,0.20173399259510916,0.24517155358907838,305,0.059138802274901536,0.15252316611588562,-0.08872826193874062,0.12633100055744856,0.059603617996799585,0.1271028382614765,-0.07120875571126817,0.1617885076612269
33,0.11477260285028024,0.15372402741241464,304,0.07428601118408551,0.14830586053270545,-0.04277231395508352,0.12525869438892964,0.037478363199625164,0.15272944277398745,-0.17937609020327727,0.19104973150129248
34,0.22195980907417834,0.1800494015443209,303,0.13681620739225764,0.13604249329874557,0.0031102103839657502,0.14343768330472825,0.006771523749193875,0.14423094924141558,-0.04966625945598935,0.15958491843598824
35,0.39866393886040896,0.2091313313000722,302,0.28158844667632366,0.1223550251774534,0.0383535155269783,0.12109003437359762,0.06378629985556472,0.14939633209394243,0.06287826225161552,0.1775614510243139
36,0.10274010628927499,0.2063375639629092,301,0.015720080031314865,0.14758925170597847,-0.031814001937163994,0.1470223177766081,0.01097406597546069,0.15951802175494284,-0.01620775930769014,0.2155258012154504
37,0.014969816624216037,0.24467532647864712,300,0.35377086664084345,0.16142320536315485,0.19998329026111605,0.15128075656605972,0.054128672411025036,0.14914325078448595,0.09693742342642508,0.14757855527431954
38,-0.20310790802614065,0.1715620272648893,299,0.14206981046299916,0.17578064998418189,-0.02381556911768712,0.15486068034012346,-0.0396106550397235,0.13740093166266898,-0.26912459258164745,0.1648277512412439
39,-0.03368820343348489,0.22948071216514568,298,0.011622700651059859,0.1780109602204571,0.007523522945120931,0.15533843385667975,0.06543201631211559,0.12696605345279802,-0.14346744440263137,0.16658654670508533
40,-0.2052242899162593,0.20378247209007516,297,-0.15643413815269014,0.17977571663383968,0.01833258401643434,0.15693652978756473,-0.17150251065504563,0.13970589611023226,-0.10663126179861138,0.20184532324137985
41,-0.1260477937757969,0.2389132619840188,296,-0.09594852011650801,0.20694475538423768,0.05551291037227202,0.14840381520527973,-0.2486268733337056,0.14038913804541076,-0.419294900202658,0.18159024115658734
42,-0.055336595280095935,0.35445488479176845,295,0.13390604230153258,0.2576693400691159,0.044933314238733146,0.1689425422583839,-0.3304462311134557,0.18289758158943187,-0.4095387731504161,0.2427673155699558
43,-0.11568202699709218,0.27951483207902655,294,-0.027967026396709116,0.2464099159716999,0.0827633420985876,0.1811623590972267,-0.34063335709652165,0.18585999435546968,-0.6763163508148864,0.11504141072022728
44,0.02533817564835772,0.21317613713787362,293,-0.10020894245099043,0.21908650472041968,0.07163348122412572,0.2251940730920591,-0.49078934013596154,0.22070390137568924,-0.49222833500243723,0.26730826656957163
45,-0.16075029483181424,0.28093542647219,292,0.1179584062192589,0.2626380903575764,0.12091240173322149,0.26646240003105914,-0.10950891991524259,0.20776059398301078,-0.5866823915566783,0.24980916545303017
46,-0.016218216536799446,0.25959045133703434,291,-0.05791429610690102,0.1990675791493262,-0.10646689412305932,0.18965561941822567,-0.1558222296880558,0.17820659394097624,-0.16087089572101831,0.18233980804587005
47,0.07775124869112915,0.2726888770665979,290,-0.046410577015194576,0.19869743768319192,0.12315794959431514,0.1827011065398749,-0.28552174359356286,0.14815047925000155,0.08616881957277656,0.2112226990161579
48,0.10021818276436534,0.35658835088921337,289,0.35025715568917803,0.26521953421455535,-0.29450076950888615,0.22256883423866247,-0.48299367398885806,0.2168157298613765,-0.5534489636775106,0.2969241199436307
