h,coef
0,-0.006046076323400484
1,-0.08776385396319597
2,-0.008115643573944453
3,-0.007911703170066176
4,-0.02115380578931081
5,-0.028275505526721645
6,-0.06317049989854695
7,-0.06712207539203519
8,-0.014227764674842547
9,-0.04299644721368168
10,-0.03582244494043607
11,0.026638974728939502
12,0.0417114733594417
13,-0.010771431663783915
14,0.02278424644777033
15,0.018269529314579813
16,-0.02342926271739998
17,0.02201691729783306
18,0.03207145311171189
19,0.15034661204731492
20,0.10896517109654269
21,0.11476337339331621
22,0.12463852571090683
23,0.14568006642571163
24,0.1960156946488496
25,0.18647952487708608
26,0.16696885663282046
27,0.14762690581144966
28,0.25331534809323486
29,0.29214724140194903
30,0.29970047027018154
31,0.3708562904625978
32,0.3697442266263806
33,0.3413936041915804
34,0.29746102546164366
35,0.26763541568652727
36,0.2080587840912358
37,0.2516170310700545
38,0.31059123298268787
39,0.2582765792427608
40,0.205796398986422
41,0.1321865149830046
42,0.1941682677143035
43,0.1336544171147125
44,0.16121589597878483
45,0.11892907549099618
46,0.049105763602028674
47,0.023158952439644054
48,-0.00031565997068128127
