delta,power,test
0.05,0.15615094295337817,regime_wald
0.1,0.22987579312705975,regime_wald
0.15,0.31985362318939947,regime_wald
0.2,0.42192928145647246,regime_wald
0.25,0.5295693836549542,regime_wald
0.3,0.6350788260903922,regime_wald
0.4,0.8126303252848919,regime_wald
0.5,0.9236309370516113,regime_wald
