max_depth,coef,se,lo90,hi90
2,0.02279972851576531,0.07004981112920741,-0.09243221079178088,0.1380316678233115
3,0.010335718478078482,0.06302033381180072,-0.0933327306423337,0.11400416759849068
4,0.012825650252761434,0.061956790761851434,-0.08909327055048417,0.11474457105600704
