dyad,h,coef,se,lo90,hi90
US,0,-0.023976323860097182,0.028007749901235824,-0.07004907244763012,0.022096424727435747
US,1,-0.07657168783953239,0.04378803308114617,-0.14860300225801784,-0.004540373421046934
US,2,-0.12316886705366414,0.05045323450225411,-0.20616443780987215,-0.040173296297456126
US,3,-0.12821484876121758,0.056212817432631304,-0.22068493343789608,-0.03574476408453908
US,4,-0.13242890800802343,0.06164928776728345,-0.2338419863852047,-0.03101582963084215
US,5,-0.14242709129166542,0.06763446949601563,-0.2536857936126111,-0.031168388970719704
US,6,-0.17395882027358311,0.07056006971450479,-0.2900301349539435,-0.05788750559322273
US,7,-0.1373092487951908,0.07731053618393065,-0.2644850808177567,-0.010133416772624887
US,8,-0.07840380638981514,0.09196619301655189,-0.229688193902043,0.07288058112241272
US,9,-0.061386983270494966,0.0943642211694802,-0.2166161270942899,0.09384216055329997
US,10,-0.0487830162969658,0.09572335233645077,-0.2062479308904273,0.10868189829649572
US,11,0.007105819790467649,0.09089898145771108,-0.14242300470746708,0.15663464428840237
US,12,-0.01803264822547135,0.09181203971754406,-0.16906345356083133,0.13299815710988863
US,13,-0.03594644088525456,0.10046845416742037,-0.20121704799066106,0.12932416622015194
US,14,-0.07310200610663742,0.10511121577596831,-0.2460099560581053,0.09980594384483046
US,15,-0.04273585619239384,0.10370386904511805,-0.21332872077161305,0.12785700838682537
US,16,-0.0740585286721398,0.10205931285607381,-0.24194609832038122,0.09382904097610162
US,17,-0.05474740398994982,0.09271286574902118,-0.20726006814708967,0.09776526016719003
US,18,0.028437429321002128,0.08861963078607143,-0.11734186332208538,0.17421672196408963
US,19,0.09366319007767743,0.085890897460034,-0.0476273362440785,0.23495371639943335
US,20,0.11011419658484556,0.092474667619018,-0.04200663164843904,0.26223502481813016
US,21,0.10771807236210407,0.0963018695638954,-0.05069850307050386,0.26613464779471196
US,22,0.08234872808134241,0.09806455541301898,-0.0789674655730738,0.24366492173575863
US,23,0.08423915500043222,0.10325494692709271,-0.08561523269463528,0.2540935426954997
US,24,0.15107349562640593,0.10204911285497413,-0.016797295020026526,0.3189442862728384
US,25,0.20707676785696094,0.11600088697767354,0.01625530877868797,0.3978982269352339
US,26,0.17964385027698881,0.09355561661663729,0.025744860942620462,0.33354283961135717
US,27,0.22431480663044567,0.09352732434597703,0.07046235808131346,0.3781672551795779
US,28,0.2330559506604004,0.09707031516879336,0.07337528220773534,0.39273661911306545
US,29,0.2292854848060415,0.09919876729616667,0.06610351260384734,0.39246745700823565
US,30,0.1999841320566702,0.10145435550740808,0.0330917172469839,0.3668765468663565
US,31,0.19732236328582076,0.11018296444732399,0.0160713867699728,0.37857333980166874
US,32,0.25457574829488294,0.09639568245076359,0.09600485066337683,0.41314664592638906
US,33,0.28609807044540503,0.09695252000002148,0.1266111750453697,0.4455849658454404
US,34,0.30533585628381843,0.10525022854376997,0.13219923032931682,0.47847248223832006
US,35,0.2848623950071669,0.1079844873294635,0.10722791335019946,0.4624968766641344
US,36,0.20195927417171333,0.10023549421759889,0.03707188618376314,0.36684666215966355
US,37,0.2134942092775418,0.09626613635231157,0.05513641497798927,0.37185200357709436
US,38,0.17770519860914646,0.09860646582136434,0.015497562333002118,0.3399128348852908
US,39,0.18034801644898835,0.10719638492035974,0.004009963254996585,0.3566860696429801
US,40,0.13568976108717834,0.10879285982965912,-0.043274493332610936,0.3146540155069676
US,41,0.07936799922345017,0.10626285832098133,-0.0954344027145641,0.25417040116146444
US,42,0.11139559867478965,0.10384722650835307,-0.059433088931451133,0.28222428628103047
US,43,0.11258150529238264,0.10165869770080835,-0.054647052425447096,0.2798100630102124
US,44,0.12553557914861813,0.10301848555708781,-0.04392982959279132,0.2950009878900276
US,45,0.10224667155489442,0.10661187421652249,-0.07312986153128509,0.27762320464107393
US,46,0.08604723328880937,0.10059982045867674,-0.07943947136571389,0.2515339379433326
US,47,0.09955501398781053,0.10003702278889501,-0.06500588849992175,0.2641159164755428
US,48,0.055519152160741214,0.10762609681710113,-0.12152577710339013,0.23256408142487256
Japan,0,0.03068302072420437,0.044836877934320105,-0.04307364347775221,0.10443968492616094
Japan,1,0.0013317888039665604,0.0625067455253036,-0.10149180758515786,0.10415538519309098
Japan,2,-0.040809890501698476,0.09482731093203839,-0.19680081698490162,0.11518103598150467
Japan,3,-0.07115086416308714,0.11895380602296692,-0.26682987507086775,0.12452814674469345
Japan,4,-0.09923475093086154,0.1282863419001885,-0.31026578335667165,0.11179628149494855
Japan,5,-0.17041946112742323,0.13924351178395394,-0.39947503801202744,0.058636115757181
Japan,6,-0.14021871493650906,0.1389661496776981,-0.36881803115632245,0.08838060128330433
Japan,7,-0.14994167597124886,0.15717607314735152,-0.4084963162986421,0.10861296435614437
Japan,8,-0.22242222306671522,0.1864263414250859,-0.5290935547109815,0.08424910857755108
Japan,9,-0.2257656004737716,0.17958612074162553,-0.5211847690937456,0.06965356814620238
Japan,10,-0.21979952333554453,0.17542708195695414,-0.5083770731547341,0.068778026483645
Japan,11,-0.25548003698626687,0.1638890563555999,-0.5250775346912286,0.014117460718694963
Japan,12,-0.2463536165722644,0.16511080780623325,-0.5179608954135181,0.025253662268989285
Japan,13,-0.27905621972581685,0.18070819398044585,-0.5763211988236503,0.018208759372016603
Japan,14,-0.2835616140449133,0.19406686334681247,-0.6028016042504198,0.03567837616059322
Japan,15,-0.28944152181448146,0.21452225540865563,-0.6423306319617199,0.06344758833275704
Japan,16,-0.2478637670248105,0.19771925936063198,-0.57311194867305,0.0773844146234291
Japan,17,-0.20840294384021263,0.19749099858789826,-0.5332756365173053,0.11646974883688
Japan,18,-0.2752623137899093,0.19997715930583362,-0.6042247408480056,0.05370011326818702
Japan,19,-0.2846120219800383,0.201377287262895,-0.6158776595275006,0.04665361556742398
Japan,20,-0.26660035114501035,0.18422456483731578,-0.5696497603023949,0.036449058012374136
Japan,21,-0.2211242252299117,0.17029182996859568,-0.5012542855282516,0.059005835068428214
Japan,22,-0.11399688212225101,0.1607719183999441,-0.378466687890159,0.150472923645657
Japan,23,-0.10160959794961855,0.19363554166404712,-0.42014006398697606,0.21692086808773897
Japan,24,-0.17347363090368617,0.22301737728433585,-0.5403372165364186,0.1933899547290463
Japan,25,-0.16723184216493792,0.19207949918665682,-0.4832026183269884,0.14873893399711258
Japan,26,-0.11587779847286583,0.1809660185299804,-0.41356689895468357,0.1818113020089519
Japan,27,-0.04352968216539921,0.17631598351720174,-0.33356947505119605,0.24651011072039763
Japan,28,0.05126456673087887,0.19616108242121616,-0.2714204138520217,0.37394954731377944
Japan,29,0.114593761245942,0.24212363952115729,-0.2836996257663617,0.5128871482582458
Japan,30,0.08768440680341882,0.23200878845042383,-0.29397005019752837,0.469338863804366
Japan,31,0.1422762223890004,0.2298541318270853,-0.23583382446655493,0.5203862692445558
Japan,32,0.11118317303407821,0.20745074051343193,-0.23007329511051733,0.45243964117867375
Japan,33,0.07156757878829012,0.19857972868260595,-0.2550960748945967,0.3982312324711769
Japan,34,0.03884248687018044,0.19696250155306552,-0.28516082818461236,0.36284580192497323
Japan,35,0.11310694629560203,0.21380901976942338,-0.23860889122509943,0.4648227838163035
Japan,36,0.16346107680919886,0.2562214649568057,-0.2580232330447465,0.5849453866631442
Japan,37,0.1640260489505181,0.25032572547324505,-0.24775976945297,0.5758118673540062
Japan,38,0.13806055762438518,0.2536569950581302,-0.27920519924623904,0.5553263144950094
Japan,39,0.11977861516197663,0.27540322368179776,-0.3332596877945807,0.572816918118534
Japan,40,0.1315732648622543,0.29911812375536995,-0.3604760487153293,0.6236225784398379
Japan,41,0.25364131812762025,0.29626508615749647,-0.23371474860146146,0.740997384856702
Japan,42,0.3480425852758344,0.2743413067692036,-0.10324886435950548,0.7993340349111744
Japan,43,0.3524550929707857,0.22319493373470498,-0.014700573022803975,0.7196107589643754
Japan,44,0.3131333964740861,0.20831337068139832,-0.029542098296814145,0.6558088912449864
Japan,45,0.3003886831450018,0.17539329082947172,0.01186671973052078,0.5889106465594828
Japan,46,0.28300703831996543,0.16508659929520736,0.011439582479349342,0.5545744941605815
Japan,47,0.40258349359885415,0.1664669240880869,0.1287454034739512,0.676421583723757
Japan,48,0.4153861346690064,0.18688113600442305,0.10796666594173049,0.7228056033962824
Australia,0,0.2485311440541409,0.26862244862259016,-0.19335278393001992,0.6904150720383018
Australia,1,-0.4263648365940753,0.4878337087562238,-1.2288512874980635,0.37612161430991287
Australia,2,-0.345359539389392,0.6368831782600658,-1.3930323676272003,0.7023132888484163
Australia,3,-0.791070596251302,0.7052674544457856,-1.9512355588146195,0.3690943663120154
Australia,4,-1.0086289044484147,0.7218105006786432,-2.1960071780647827,0.17874936916795336
Australia,5,-1.2548644795115251,0.876930959800133,-2.697415908382744,0.18768694935969377
Australia,6,-1.497793689071841,0.888637943469923,-2.9596031060798644,-0.03598427206381771
Australia,7,-2.232424433053893,0.9269413317754485,-3.757242923824506,-0.7076059422832803
Australia,8,-2.4327717420583213,1.0624640016784137,-4.180525024819312,-0.6850184592973307
Australia,9,-2.4458497419127525,1.17043403670894,-4.371213732298959,-0.520485751526546
Australia,10,-2.6203354055087402,1.2287914982190224,-4.641697420079032,-0.5989733909384483
Australia,11,-2.443901421256669,1.2337740514857252,-4.473459735950687,-0.4143431065626513
Australia,12,-2.063528424001561,1.257516780215761,-4.1321435274564875,0.005086679453365939
Australia,13,-2.2911457313457504,1.2632520658296669,-4.369195379635553,-0.21309608305594852
Australia,14,-2.1805115900497185,1.3385384146093116,-4.382407282082037,0.021384101982599102
Australia,15,-2.7482759510221513,1.2986412315566844,-4.884540776932897,-0.6120111251114055
Australia,16,-2.1851498449432256,1.2829333741486997,-4.295575245417837,-0.07472444446861459
Australia,17,-2.476063262889511,1.3744168144119078,-4.7369789225971,-0.2151476031819226
Australia,18,-1.6579465891918517,1.101511805724037,-3.4699335096078925,0.15404033122418914
Australia,19,-1.628437117269641,1.078673381001331,-3.4028548290168303,0.1459805944775483
Australia,20,-1.7217828066713992,1.314253786059855,-3.883730284739861,0.4401646713970626
Australia,21,-2.046579926267441,1.541559760224983,-4.582445731837538,0.4892858793026562
Australia,22,-1.1207652312223217,1.4849970531955194,-3.563585383728951,1.3220549212843076
Australia,23,-0.2629796871660801,1.475343760178558,-2.689920172659808,2.163960798327648
Australia,24,-0.06424866754605318,1.4159178992476213,-2.3934336118083905,2.264936276716284
Australia,25,0.11011151539787534,1.4008489761392378,-2.1942850503511706,2.4145080811469213
Australia,26,0.12723690779967,1.611809588825164,-2.524189865817725,2.778663681417065
Australia,27,0.2868460617173696,1.8541965847385427,-2.763307320177533,3.3369994436122723
Australia,28,0.19028871966293082,2.0171221877402497,-3.12787727916978,3.5084547184956416
Australia,29,0.76032016984027,1.9131215442764615,-2.3867647704945094,3.9074051101750493
Australia,30,0.47399252537070424,1.5933029781365322,-2.146990873663891,3.0949759244052997
Australia,31,0.2617744672388653,1.5086057517738616,-2.219881994429137,2.7434309289068675
Australia,32,0.39102787160663866,1.6092902546870538,-2.256254597353565,3.0383103405668423
Australia,33,0.5243867783538008,1.8179659433768394,-2.4661671985011,3.5149407552087015
Australia,34,0.577594701317139,1.8068403173047194,-2.3946576206491246,3.5498470232834025
Australia,35,1.1495177647157107,1.5777467611585894,-1.445875657390169,3.7449111868215903
Australia,36,1.2075226438173559,1.4533348610087593,-1.1832132025420532,3.598258490176765
Australia,37,1.0184251871396555,1.2869369429130337,-1.0985860839522852,3.135436458231596
Australia,38,0.33673695525794756,1.2560687236414931,-1.7294960951323088,2.402970005648204
Australia,39,0.6155379544070456,1.2966304982458243,-1.5174192152073354,2.7484951240214266
Australia,40,0.646032568958617,1.2750296468977922,-1.451391200188251,2.743456338105485
Australia,41,0.6639017183661053,1.248056048139154,-1.3891504808228032,2.716953917555014
Australia,42,0.6433224811044056,1.2362956804161864,-1.3903839131802211,2.6770288753890323
Australia,43,0.18221187577364617,1.3813844108826738,-2.0901654801283525,2.454589231675645
Australia,44,0.7272326064012304,1.5744483190619742,-1.8627348784557172,3.317200091258178
Australia,45,1.286182919611747,1.9543845579353407,-1.9287796781918884,4.501145517415383
Australia,46,0.8931190529001469,1.5170965086371817,-1.602504703808017,3.3887428096083108
Australia,47,0.34830450120352907,1.3583112900380188,-1.8861175709090117,2.58272657331607
Australia,48,-0.546979365790321,1.3785904118445356,-2.814760593274582,1.72080186169394
South Korea,0,0.07129647602050682,0.07201619858333509,-0.04717017064907941,0.18976312269009304
South Korea,1,0.08946814726641605,0.09415993674672807,-0.06542494868195162,0.24436124321478372
South Korea,2,0.0976843587050098,0.130107877132295,-0.11634309917761546,0.311711816587635
South Korea,3,-0.11419510975338198,0.16994218975249015,-0.39375001189622827,0.1653597923894643
