horizon,baseline_irf,baseline_lo,baseline_hi,dml_irf,dml_lo,dml_hi
0,-0.02397632382599113,-0.04344524583650965,-0.004507401815472621,0.14343244133203373,0.008203010263519162,0.2786618724005483
1,-0.0765716878540843,-0.12988082083968033,-0.02326255486848828,0.10725515340829918,-0.04330033929365097,0.25781064611024934
2,-0.12316886667031213,-0.1796253631995458,-0.06671237014107846,0.08224399321416231,-0.08768616173266094,0.2521741481609856
3,-0.12821484867254185,-0.1579250424462197,-0.09850465489886404,0.05666652379847895,-0.12284497786960402,0.2361780254665619
4,-0.13242890809488017,-0.1650941050815582,-0.09976371110820217,0.042603431080231687,-0.15990298730716304,0.2451098494676264
5,-0.1424270913403234,-0.1765137704164413,-0.10834041226420547,0.005424840606445807,-0.19640831896395014,0.20725800017684173
6,-0.17395882011169306,-0.21261998687815925,-0.13529765334522686,-0.05973937372907001,-0.28299249339016297,0.16351374593202297
7,-0.1373092485819143,-0.1900260707512543,-0.0845924264125743,-0.08258498212368083,-0.3382891095369822,0.17311914528962058
8,-0.07840380631387234,-0.1832012137401456,0.026393601112400897,-0.05265366837533295,-0.32758832030347096,0.22228098355280504
9,-0.06138698330232728,-0.16830232788370458,0.04552836127904998,-0.03651244863081483,-0.3175445020960514,0.24451960483442176
10,-0.048783016241031874,-0.1619019380280675,0.0643359055460037,-0.09818088633525415,-0.364596935242377,0.16823516257186868
11,0.0071058197845559334,-0.10271132696939299,0.11692296653850481,-0.02922260593771525,-0.29136325586178047,0.23291804398634997
12,-0.01803264822001438,-0.1130761599971684,0.0770108635571396,-0.03247928001189381,-0.3255101351851023,0.26055157516131466
13,-0.035946440832958615,-0.126799077657378,0.05490619599146074,-0.053965631653762974,-0.3752733190203287,0.2673420557128027
14,-0.07310200612846529,-0.166696156472307,0.020492144215376387,-0.12187469232525498,-0.4456043182959832,0.2018549336454732
15,-0.04273585622649989,-0.1480901355692869,0.06261842311628707,-0.09252355482989419,-0.4268156717483065,0.24176856208851813
16,-0.07405852865622364,-0.17670688927897907,0.02858983196653174,-0.18385315315042283,-0.5052695321316574,0.1375632258308117
17,-0.054747404009049205,-0.1431394113902108,0.033644603372112364,-0.22620986828385978,-0.5619502063415021,0.10953046977378253
18,0.028437429339192022,-0.08622723586704228,0.14310209454542627,-0.18499864489705609,-0.48005151861840795,0.11005422882429577
19,0.09366319010132429,-0.029655391997042077,0.21698177219969061,-0.11587778399771757,-0.40707420136102357,0.1753186333655884
20,0.11011419686792578,-0.03344110192686048,0.253669495662712,-0.08016304030744312,-0.36335278964824125,0.20302670903335504
21,0.10771807229139085,0.0034236871596327323,0.21201245742314895,-0.07157883601494507,-0.3548038676143046,0.21164619558441444
22,0.08234872796811032,0.010413728849760606,0.15428372708646002,-0.06422840400062473,-0.3616280955711298,0.23317128756988031
23,0.0842391550127104,0.02717382556885215,0.14130448445656862,-0.08769701140191453,-0.39790912831915864,0.22251510551532955
24,0.15107349555091787,0.07227557887173892,0.22987141223009677,-0.039376220381052804,-0.3194611760235333,0.24070873526142766
25,0.20707676813435683,0.10034002274785443,0.3138135135208592,0.04253879643411523,-0.26940305763191885,0.3544806505001493
26,0.17964385020331974,0.12416917429320895,0.2351185261134305,-0.004249666979271948,-0.2795412807333853,0.27104194677484145
27,0.2243148066499998,0.14386225143146908,0.3047673618685305,0.013347865070714072,-0.28624943751788956,0.3129451676593177
28,0.23305595059900952,0.18153243419619353,0.2845794670018255,0.08863930703297242,-0.25373600228257176,0.43101461634851657
29,0.22928548469917587,0.1789147152555896,0.27965625414276213,0.12199724477635242,-0.17206216334065327,0.41605665289335814
30,0.19998413208213606,0.13195004356105747,0.2680182206032146,0.09373277810622758,-0.23416656374611866,0.42163211995857386
31,0.1973223632767258,0.11773940377181517,0.27690532278163643,0.09817580474667423,-0.2330990205448137,0.4294506300381622
32,0.25457574827305507,0.18980163281431903,0.3193498637317911,0.1546034336007062,-0.1922286535098708,0.5014355207112832
33,0.2860980704326721,0.23890517099827008,0.33329096986707407,0.21134026713802542,-0.1429208464417058,0.5656013807177567
34,0.30533585629382287,0.25585961883140645,0.35481209375623923,0.2589259001547344,-0.09474074773535845,0.6125925480448272
35,0.28486239509402367,0.2347081283095849,0.3350166618784624,0.3121186196077597,-0.09420708331999111,0.7184443225355106
36,0.20195927399527136,0.12925516189130298,0.2746633860992397,0.2568442872634998,-0.17836881577707425,0.6920573903040739
37,0.21349420916430972,0.1550503269253369,0.2719380914032825,0.2560605709072854,-0.18309503398893523,0.695216175803506
38,0.1777051986564402,0.13965875147584114,0.2157516458370392,0.1991163235065799,-0.26659246729899466,0.6648251143121545
39,0.18034801656358468,0.11794692105762905,0.24274911206954028,0.24269359079764416,-0.19364444303965192,0.6790316246349403
40,0.13568976115038822,0.07221984708388808,0.19915967521688832,0.2575134526277903,-0.22884240805713374,0.7438693133127143
41,0.07936799916842574,0.02640449600876972,0.13233150232808175,0.13507304806240078,-0.3013433166469013,0.5714894127717028
42,0.11139559875755367,0.051993593606951875,0.17079760390815543,0.13438061319176348,-0.3923525596217811,0.661113786005308
43,0.11258150531830324,0.060636293281667746,0.16452671735493873,0.0838928316857,-0.5018764849585138,0.6696621483299139
44,0.12553557942919724,0.0390761630896313,0.21199499576876316,0.21860386100435975,-0.33561003704142384,0.7728177590501433
45,0.10224667159400269,0.002417290952929557,0.2020760522350758,0.1287566707078359,-0.47453060352795196,0.7320439449436238
46,0.08604723315329466,0.012569053883972281,0.159525412422617,0.16598428735822793,-0.36336347459023677,0.6953320493066926
47,0.09955501399053901,0.03767415594127097,0.16143587203980703,0.11555983163914336,-0.45332488726471426,0.684444550543001
48,0.055519152155284246,-0.03465592139679527,0.14569422570736373,-0.027297099148544186,-0.7156759359261298,0.6610817376290414
