learner,h,coef,se,n
RandomForest,0,-0.008337186531514423,0.18609558615285862,284
RandomForest,6,-0.5323121460797704,0.8342385129853307,282
RandomForest,12,-0.3173279648299703,0.7173235538268724,276
RandomForest,24,-0.9338667736933906,21.934232819557174,264
GradientBoost,0,-0.6313941828829827,1.1730323857336533,284
GradientBoost,6,-1.4021108549567003,20.99658252265437,282
GradientBoost,12,-0.06633870485926469,0.4203775413851363,276
GradientBoost,24,-0.1715789377795988,0.18142567369929463,264
Lasso,0,0.21953468200907167,1.543500165997785,284
Lasso,6,-1.141422860667196,6.048866468750289,282
Lasso,12,3.033695238496601,36.74542536210718,276
Lasso,24,0.3038923149416759,4.393345817282809,264
