Period_dt,corr_d2pri_wti_h6
1993-05-31,0.054086025074224595
1993-06-30,0.05086500929132727
1993-07-31,0.04864011096125336
1993-08-31,0.07600746641197888
1993-09-30,0.07238531530052761
1993-10-31,0.050544928694041404
1993-11-30,0.02326513783675478
1993-12-31,0.03960701126841499
1994-01-31,0.026346665799608197
1994-02-28,0.04690858636850072
1994-03-31,0.005973914367668881
1994-04-30,0.018273628416917893
1994-05-31,0.028686191661505784
1994-06-30,0.04157873742409182
1994-07-31,0.041314370448581376
1994-08-31,0.03258684692892323
1994-09-30,0.04067746572719181
1994-10-31,0.02165211790419189
1994-11-30,0.0263532507744861
1994-12-31,0.049493928299951286
1995-01-31,0.0490473543921226
1995-02-28,0.10926572794569613
1995-03-31,0.04837989065129086
1995-04-30,0.03588700345155277
1995-05-31,0.0789098095220773
1995-06-30,0.06641116392939257
1995-07-31,0.06343126584203129
1995-08-31,0.059141485638687256
1995-09-30,0.059474319627553306
1995-10-31,0.069460434813661
1995-11-30,0.057989872239032285
1995-12-31,0.05825854556266003
1996-01-31,0.07315647027939699
1996-02-29,0.074573806423876
1996-03-31,-0.03673002198978706
1996-04-30,0.07293253427621216
1996-05-31,0.05809954452448495
1996-06-30,0.09560563962260551
1996-07-31,0.08578018921930128
1996-08-31,0.08205352661620506
1996-09-30,0.08214575096031772
1996-10-31,0.08262991169679854
1996-11-30,0.08389455010360504
1996-12-31,0.09414771843482189
1997-01-31,0.09088229208355553
1997-02-28,0.09828925504225645
1997-03-31,0.08816330018601481
1997-04-30,0.09412186167625645
1997-05-31,0.09424291600868753
1997-06-30,0.1000451144848827
1997-07-31,0.10100018182074391
1997-08-31,0.06702514368759019
1997-09-30,0.11141289118833216
1997-10-31,-0.0929118365146555
1997-11-30,0.09880296448717886
1997-12-31,0.06423632615441797
1998-01-31,0.07262956324727571
1998-02-28,0.06849479759682182
1998-03-31,0.05884388083194708
1998-04-30,0.06577047000719156
1998-05-31,0.040112353136499454
