h,beta_high,beta_low,diff,p,sig
0,0.20283874253982503,-0.04734220920721022,0.25018095174703525,0.3639335620891997,
1,0.33185777460528243,-0.11195090897107196,0.4438086835763544,0.40932175975716256,
2,0.4474519237519985,-0.17372576071742252,0.621177684469421,0.30174584680652794,
3,0.0034327660388271397,-0.17961471596728096,0.1830474820061081,0.683667517512589,
4,-0.011826367572950858,-0.17310064501914546,0.1612742774461946,0.6680238129184533,
5,-0.09628714686624562,-0.18204594697093235,0.08575880010468673,0.8259316078013408,
6,-0.29293382994308104,-0.16003764731890158,-0.13289618262417946,0.7964919477490335,
7,-0.3643870858471132,-0.14343693112138922,-0.220950154725724,0.7202521153157118,
8,-0.5727759665558096,-0.1313678099883404,-0.44140815656746923,0.64992111637418,
9,-0.5536480263735939,-0.08179617762053581,-0.4718518487530581,0.5630469329955858,
10,-0.5667271447765074,-0.058188176638186206,-0.5085389681383212,0.4995686446799561,
11,-0.4224956838149865,-0.00039954165638889094,-0.4220961421585976,0.3935746461039531,
12,-0.32763717192102604,0.011794730679405063,-0.3394319026004311,0.49812328492260205,
13,-0.7483370997019847,0.022672626315582534,-0.7710097260175672,0.5155965469883026,
14,-0.2482796623428385,0.08806207362757235,-0.33634173597041084,0.5585058200338813,
15,0.1829642050662983,0.1234447694309253,0.059519435635372986,0.8671246644349495,
16,0.025062576500431533,0.11265185428220548,-0.08758927778177394,0.8123827262018299,
17,-0.025760785777606543,0.14804189924752365,-0.1738026850251302,0.669305847232808,
18,-0.6140229196339533,0.18868000462595802,-0.8027029242599113,0.32243262637568515,
19,-0.4727241829722857,0.18619770511134703,-0.6589218880836327,0.29650487150997273,
20,-1.0097025239813888,0.10610776607546057,-1.1158102900568494,0.36847918468483964,
21,-0.7911260236350017,0.06192713952052742,-0.8530531631555291,0.372644764923622,
22,-0.6283770721310589,0.08560766655116225,-0.7139847386822211,0.353624996300967,
23,-0.4103728758570355,0.14797273355654283,-0.5583456094135784,0.23887061711829172,
24,-0.3879456385544131,0.15229550829933203,-0.5402411468537451,0.3357038415253295,
25,-0.7344150785424404,0.1640397277673884,-0.8984548063098288,0.356608743212639,
26,-0.08991615889215154,0.2108507959825232,-0.30076695487467475,0.4648160308161877,
27,-0.07479031229939892,0.19165449546636637,-0.2664448077657653,0.41227621520354707,
28,-0.3189563079358493,0.18777742390380325,-0.5067337318396525,0.2955735298627937,
29,-0.29491475791098765,0.10643630884575117,-0.4013510667567388,0.20341919151443832,
30,-0.10747388414978332,0.13449255127041937,-0.24196643542020269,0.2991170192569297,
31,0.0008559528858711474,0.09964395649409141,-0.09878800360822027,0.8438229981136423,
32,-0.11578882050815764,0.17195670644768768,-0.2877455269558453,0.3532777764940407,
33,0.167991970431018,0.15761299388360328,0.010378976547414709,0.9858457927004316,
34,-0.0012056646355063094,0.12122159220603379,-0.1224272568415401,0.7263275753681508,
35,0.385771704826368,0.1323189865074781,0.25345271831888994,0.8044381215152383,
36,0.33264419770000586,0.06922553330078784,0.263418664399218,0.7943241212406964,
37,-0.3758101314739406,0.11300696460389759,-0.4888170960778382,0.21737601732944967,
38,-0.6682787983351659,0.12891547327120634,-0.7971942716063722,0.24451669349866956,
39,0.028673430099530606,0.042828016572656225,-0.014154586473125619,0.9609361844476365,
40,-0.05884500521545988,0.07070796317074723,-0.1295529683862071,0.4922797716908076,
41,-0.09362362827249626,0.06485792926480372,-0.15848155753729998,0.5753726087093178,
42,-0.364257714455988,0.08175021151319584,-0.4460079259691838,0.28350932924948413,
43,-0.3198374497767418,0.057469679892022896,-0.3773071296687647,0.45972041466022096,
44,-0.3251130756951284,-0.009032469619867811,-0.31608060607526056,0.5612710852669229,
45,-0.01997719668243292,0.01570924737414714,-0.03568644405658006,0.8974674681813668,
46,0.1138710613949172,-0.00844101978636047,0.12231208118127768,0.5916901277265241,
47,0.21418868164820992,0.07151545964768502,0.1426732220005249,0.5194957607467185,
48,0.45230045120709406,0.06239467787237629,0.38990577333471776,0.0857425816280557,✓
