h,depth,coef,se,t
24,2,-0.03468093584034486,0.0988130966147978,-0.35097509367145163
24,3,-0.010985815014523805,0.06662317011663331,-0.16489481054851604
24,4,-0.03962731637040418,0.06460715124190784,-0.6133580510619956
36,2,0.007714107327981907,0.08519119023112129,0.09055052884052625
36,3,-0.017090479511308904,0.0738828594925136,-0.23131859850444267
36,4,-0.022079803976217668,0.07918167552895249,-0.27884992113035384
