h,coef
0,-0.01987959985603993
1,-0.05752746607322479
2,-0.09466363897149677
3,-0.16004206805337162
4,-0.22282570451602624
5,-0.2255554785015761
6,-0.2528753863712154
7,-0.29154306741861546
8,-0.2278305393924711
9,-0.08974280862821615
10,-0.08350134922511643
11,-0.11824621015330194
12,-0.07671076933547738
13,-0.07228648834239948
14,-0.12629578320229484
15,-0.033340804273336744
16,-0.06831047526429757
17,-0.0792618934319762
18,-0.05607513571067102
19,0.012819916704756906
20,0.07797784478994174
21,0.008805992206418978
22,0.0012529076725513733
23,0.011223602885252149
24,0.05395989265593926
25,0.13110266736532594
26,0.1351249814075004
27,0.21116147586690204
28,0.1921564232163746
29,0.18181059192647808
30,0.1382755161582736
31,0.22741263437771408
32,0.24510803101316725
33,0.23247330306958247
34,0.27935949260665893
35,0.4136620622902569
36,0.33132349498100666
37,0.26783188820263604
38,0.17815877685870873
39,0.1832773764904232
40,0.10615483197511821
41,0.06461937277708785
42,0.07370947555273233
43,0.19553343247264365
44,0.14018737629476163
45,0.07839540318673244
46,0.06736575595277827
47,0.14814866546657868
48,0.00627754472907327
