horizon,dml_irf,dml_lo90,dml_hi90,dml_fstat,baseline_irf,baseline_lo90,baseline_hi90
0,0.001388099473316373,-0.02279057523192849,0.025566774178561236,0.00891883231360526,-0.023976323860097182,-0.07004907244763012,0.022096424727435747
1,-0.02812512876065206,-0.05959260881347149,0.003342351292167367,2.1617074146936495,-0.07657168783953239,-0.14860300225801784,-0.004540373421046934
2,-0.03575132575192643,-0.07061680700391984,-0.0008858444999330292,2.8452784763937404,-0.12316886705366414,-0.20616443780987215,-0.040173296297456126
3,-0.0979314169099448,-0.13476682965166487,-0.06109600416822471,19.12690935805376,-0.12821484876121758,-0.22068493343789608,-0.03574476408453908
4,-0.12076260932481966,-0.15951693288872476,-0.08200828576091457,26.275830962584966,-0.13242890800802343,-0.2338419863852047,-0.03101582963084215
5,-0.12452480118435824,-0.1653969701537948,-0.0836526322149217,25.118178848484742,-0.14242709129166542,-0.2536857936126111,-0.031168388970719704
6,-0.14298260643106875,-0.18494802277209493,-0.10101719009004256,31.41341497529655,-0.17395882027358311,-0.2900301349539435,-0.05788750559322273
7,-0.1147805989196424,-0.15646852671481798,-0.07309267112446682,20.51389658278688,-0.1373092487951908,-0.2644850808177567,-0.010133416772624887
8,-0.0639009277956713,-0.10737153901647425,-0.020430316574868344,5.847290073834816,-0.07840380638981514,-0.229688193902043,0.07288058112241272
9,-0.03736493400778791,-0.08420419688398692,0.009474328868411097,1.7220277275131832,-0.061386983270494966,-0.2166161270942899,0.09384216055329997
10,-0.023454914420747507,-0.0699754975467389,0.02306566870524388,0.687874500067315,-0.0487830162969658,-0.2062479308904273,0.10868189829649572
11,-0.01923389440686197,-0.06533089099044571,0.026863102176721776,0.4711085640730499,0.007105819790467649,-0.14242300470746708,0.15663464428840237
12,-0.017246734585928087,-0.06697679518724067,0.032483326015384506,0.325467469686303,-0.01803264822547135,-0.16906345356083133,0.13299815710988863
13,0.008683167824953014,-0.039529091634307706,0.056895427284213734,0.0877754822759189,-0.03594644088525456,-0.20121704799066106,0.12932416622015194
14,0.0023922361057056346,-0.04844208552454897,0.053226557735960245,0.0059927453207620105,-0.07310200610663742,-0.2460099560581053,0.09980594384483046
15,-0.008835268945422062,-0.05821697537271408,0.04054643748186996,0.0866241858668104,-0.04273585619239384,-0.21332872077161305,0.12785700838682537
16,0.01845037555226293,-0.027416172740617268,0.06431692384514313,0.4378749582803082,-0.0740585286721398,-0.24194609832038122,0.09382904097610162
17,0.06044661361305899,0.013032070771681517,0.10786115645443646,4.397973624076143,-0.05474740398994982,-0.20726006814708967,0.09776526016719003
18,0.04759724076317508,-0.001417600525441376,0.09661208205179153,2.55176195126025,0.028437429321002128,-0.11734186332208538,0.17421672196408963
19,0.01024155592367334,-0.03609336779488861,0.056576479642235285,0.13220466542166306,0.09366319007767743,-0.0476273362440785,0.23495371639943335
