h,coef,se,n,lo90,hi90
0,0.009931919745163869,0.00955995890808944,3056,-0.005794212658643261,0.025658052148971
1,0.006806710482951812,0.012243501962280665,3048,-0.013333850244999883,0.026947271210903505
2,0.009518030676027993,0.011880033944356513,3040,-0.010024625162438473,0.029060686514494456
3,0.0039281760443480055,0.012674757066364107,3032,-0.01692179932982095,0.024778151418516962
4,0.017032844258211985,0.011909361137382557,3024,-0.002558054812782321,0.03662374332920629
5,0.012123231566089241,0.011667580500023672,3016,-0.007069938356449699,0.03131640148862818
6,0.009614259824139137,0.012901148511974835,3008,-0.011608129478059467,0.03083664912633774
7,0.0028325908302444516,0.01316245436908503,3000,-0.01881964660690042,0.024484828267389326
8,0.009849517736184147,0.011316029648029156,2992,-0.008765351034823815,0.02846438650719211
9,0.007563414515201174,0.010683345267498581,2984,-0.010010688449833993,0.025137517480236342
10,0.005459753307854325,0.011179355782396136,2976,-0.01293028695418732,0.023849793569895972
11,0.01205250939148269,0.011967488169003107,2968,-0.007634008646527423,0.031739027429492805
12,0.0067587946298911785,0.014203644164931162,2960,-0.016606200021420582,0.03012378928120294
13,0.00396192749219032,0.012448079338908083,2952,-0.016515163020313476,0.024439018004694116
14,-0.009602672427819762,0.013147621725829523,2944,-0.031230510166809326,0.012025165311169803
15,0.005029748809918447,0.012112035993721815,2936,-0.01489455039975394,0.024954048019590835
16,-0.001846401082453375,0.01335107276437854,2928,-0.023808915779856072,0.020116113614949322
17,-0.002428618181203939,0.013836536516204567,2920,-0.02518972075036045,0.020332484387952574
18,0.0016347824829119457,0.012511410193423892,2912,-0.018946487285270357,0.022216052251094246
19,0.006811989209454281,0.012196700106246613,2904,-0.013251582465321397,0.02687556088422996
20,0.007074200045566594,0.013196781500322986,2896,-0.014634505522464716,0.028782905613597906
21,0.0004918743750723752,0.011300763015714402,2888,-0.018097880785777815,0.019081629535922566
22,0.0012364677625441294,0.013465179666205545,2880,-0.02091375278836399,0.02338668831345225
23,-0.0036211541166513393,0.014930246245631452,2872,-0.028181409190715077,0.020939100957412398
24,-0.009518781402640352,0.013330252732483776,2864,-0.031447047147576165,0.012409484342295458
25,0.0039163574003362464,0.014751803270291136,2856,-0.020350358979292674,0.028183073779965165
26,-0.010070358635242405,0.013513778001451005,2848,-0.032300523447629306,0.0121598061771445
27,-0.0006955892610461765,0.015310788717442337,2840,-0.025881836701238822,0.024490658179146467
28,-0.008217457155600072,0.02065143292495791,2832,-0.042189064317155835,0.02575415000595569
29,0.0013851585910296305,0.020078505611508722,2824,-0.031643983139902215,0.03441430032196148
30,0.0017087905840915496,0.01599507582118278,2816,-0.02460310914175412,0.028020690309937223
31,-0.0029554269700820773,0.01645034982845655,2808,-0.0300162524378931,0.024105398497728945
32,0.012632891655421054,0.014800299456380532,2800,-0.01171360095032492,0.03697938426116703
33,0.023568411488901774,0.014682187970603968,2792,-0.0005837877227417541,0.0477206107005453
34,0.01808444207884488,0.0155749137608149,2784,-0.00753629105769563,0.04370517521538539
35,0.006948408806995982,0.012961522342348457,2776,-0.014373295446167228,0.02827011306015919
36,0.006720175012337426,0.0138480693140756,2768,-0.01605989900931694,0.029500249033991788
37,-0.005809957509701252,0.012362662980870211,2760,-0.02614653811323275,0.014526623093830248
38,0.00048469477621369573,0.010215610841828045,2752,-0.016319985058593438,0.017289374611020827
39,-0.012351344471607626,0.013516094053173673,2744,-0.03458531918907832,0.009882630245863068
40,-0.019433956746791565,0.017857328913314815,2736,-0.04880926280919444,0.009941349315611307
41,-0.0176412589825717,0.018742262234788476,2728,-0.04847228035879875,0.013189762393655342
42,-0.010375816227293909,0.018724159329196233,2720,-0.04117705832382171,0.020425425869233894
43,-0.005282068149895688,0.013945405024549782,2712,-0.028222259415280077,0.017658123115488703
44,-0.002109078643673428,0.010074135628418985,2704,-0.018681031752422656,0.014462874465075801
45,-0.005238237030057483,0.010963252316951133,2696,-0.0232727870914421,0.012796313031327132
46,-0.008767473215641475,0.010459119524656535,2688,-0.025972724833701475,0.008437778402418526
47,0.0009781570445001363,0.012777960162891136,2680,-0.020041587423455784,0.021997901512456057
48,-0.0017395448811743002,0.011620188642484694,2672,-0.020854755198061622,0.017375665435713023
