Period_dt,d2pri,lwti,lpri,d2pri_abs,lwti_h6,lwti_h1,wti_chg_h6,wti_chg_h1,episode
1999-05-31,-2.2,2.369567913552973,-0.2956730475634153,2.2,2.6965031884715467,2.377424295152176,0.3269352749185739,0.00785638159920321,Belgrade embassy bombing / Kosovo
1999-06-30,2.2,2.377424295152176,-0.2956730475634153,2.2,2.737624340884687,2.48820055903959,0.36020004573251097,0.11077626388741413,Belgrade embassy bombing / Kosovo
1997-11-30,-1.6,2.5236237713711507,1.4874828366412745,1.6,2.2125500281639945,2.426802540609684,-0.3110737432071562,-0.09682123076146665,
1997-10-31,1.3,2.577492416239182,1.529660495090407,1.3,2.2533015889034087,2.5236237713711507,-0.3241908273357734,-0.053868644868031446,
1996-03-31,-1.0,2.6200444684607964,-0.8813735870195379,1.0,2.722112768870702,2.7146480754147446,0.10206830040990544,0.0946036069539482,Taiwan Strait crisis
1996-04-30,1.0,2.7146480754147446,-0.8813735870195379,1.0,2.7561779341252,2.6091102532473065,0.041529858710455336,-0.10553782216743812,Taiwan Strait crisis
2018-03-31,-0.9,3.2248998311090324,-1.8184464592320655,0.9,3.326481490343873,3.2773167477858727,0.10158165923484042,0.05241691667684023,Trade war tariff escalation
2018-05-31,0.9,3.329362026283697,-1.9092740140163365,0.9,3.115466825945108,3.296610408075359,-0.21389520033858922,-0.03275161820833805,Trade war tariff escalation
2011-01-31,0.8,3.699506059216371,1.4436354751788134,0.8,3.763983592929994,3.698084449938265,0.06447753371362319,-0.001421609278105862,
2011-02-28,-0.8,3.698084449938265,1.4436354751788134,0.8,3.642343432373135,3.831938451998062,-0.05574101756513006,0.13385400205979714,
