horizon,q25_linear,q50_linear,q75_linear,q25_mlrf,q50_mlrf,q75_mlrf
0,-0.019879599978139595,-0.030983357264631195,-0.01136671305539494,-0.003875604242654481,-0.003628711376334573,-0.00020995825842124314
1,-0.05752746138750808,-0.06177672896137665,-0.09358724219617898,-0.0015482372726470916,-0.018303116410212733,-0.0048680518354921685
2,-0.09466363891806395,-0.12232371857112412,-0.030859173217322677,-0.012553705162185638,-0.00374926845815644,0.0005231210907844494
3,-0.16004206989464365,-0.125278454637737,-0.031186900940156193,-0.011074935078075148,-0.0017828993357009422,-0.015745746329370636
4,-0.22282570446554928,-0.12255918557730183,-0.011394877374414136,-0.0070796345886874334,-0.0029451114998173193,-0.0021317881583553053
5,-0.22555547818592458,-0.0962877550694543,-0.030874253919591865,-0.005352247300879928,0.0002670497859699095,0.0063354116050654994
6,-0.25287538633983786,-0.07245124972678241,-0.07546375548236028,-0.009317787489428339,0.005920346613857826,0.005341599958200905
7,-0.29154306717168765,-0.15996993284079508,-0.05599313631341829,-0.009065839892039861,0.02036533430430396,0.011193890268880322
8,-0.22783053913190088,-0.10351640085184499,-0.006435572359805519,-0.010958049805709885,0.01964830343636378,0.009969677122102486
9,-0.08974284559371881,-0.09834768553264439,-0.02279963846467581,-0.004929303124303462,0.00893607636879044,0.013896647813631839
10,-0.08350133459862263,-0.14412547580286628,-0.02894403953428082,-0.011608922908137106,0.0037230440067808437,0.013825940932265773
11,-0.11824620987613343,-0.014399472594732288,0.0235300433082557,-0.011871374847252255,9.361444225972818e-05,0.008871523468308311
12,-0.07671019036024518,0.0553641317619622,0.04555216870005552,-0.0008950699350498229,0.008894156549779068,0.005287299833723357
13,-0.07228648834507112,-0.032273395139782224,-0.003822888174909167,-0.004791840267999506,0.0007617871254590758,0.0036372832618271015
14,-0.12629382566865388,0.00016224190937919047,-0.013347720900441118,0.010135461234418483,0.010271626466563892,0.004698536251457026
15,-0.0333408041156531,0.04550164043700988,-0.07052017312889802,-0.002575243184412956,0.0020240690835973928,0.008443855400871848
16,-0.0683106114374823,0.051064818920167454,-0.06652179685124793,-0.005646841857774269,-0.0014026810846427544,0.0017114737091518967
17,-0.07926189319414334,0.006759430496458663,-0.033249323521090446,-0.0034668469846162843,0.0015029824666693637,0.015252001783637047
18,-0.05607513592985924,0.1373833215320701,-0.004608104977080529,-0.007828169729013608,-2.1209860785305556e-05,0.03290554905445059
19,0.012819917428714689,0.08694645592413508,0.17271537948772675,0.005381214938932942,-0.001097838643793563,0.028247775039603337
20,0.07797778308440684,0.08377975114126457,0.09374760948776384,-2.0108751935840048e-05,-0.001327786052333933,0.020620676681118975
21,0.008805992250074723,0.04611397286365104,0.06913896452351764,0.015849857404750294,-0.0016268137730610312,0.010345185918513583
