h,coef
0,-0.011366730863869634
1,-0.09358724217166525
2,-0.030859173220960656
3,-0.031186896394501673
4,-0.011394882044100996
5,-0.03087425388957854
6,-0.07546375557012652
7,-0.05599313625702962
8,-0.006435572473719731
9,-0.02279956475013023
10,-0.028944040713895447
11,0.023530043470827877
12,0.045552197194524524
13,-0.00382288859327673
14,-0.013347705648470765
15,-0.0705201734340335
16,-0.06652179684010662
17,-0.03324881020603243
18,-0.004608104976568939
19,0.17271539012972426
20,0.0937476158451318
21,0.06913896515197848
22,0.09323702832807612
23,0.13313553487955687
24,0.23140575378056383
25,0.20507006777847891
26,0.200155008744332
27,0.16694906263592202
28,0.3380665127538123
29,0.2674552268849766
30,0.2997097571278573
31,0.37291962784001953
32,0.3341754754219437
33,0.29300015478088426
34,0.2886770219356549
35,0.22424738603513106
36,0.226227016733219
37,0.2082926233915714
38,0.20272291863511782
39,0.20409588696111314
40,0.2366076401870032
41,0.13651049283362227
42,0.14869553320022533
43,0.13661405251968972
44,0.1338751004259393
45,0.11150108587821705
46,0.04286583018028978
47,-0.00029084958441671915
48,-0.05382608223942498
