h,diff,se_conservative,p_conservative,dml_sig10,ols_sig10
0,0.0121381090711669,0.0511943028208342,0.8125801235070302,False,False
1,0.03328351691638036,0.07584973538389565,0.6608002214262523,False,False
2,0.022252396235650784,0.08480531440208751,0.7930177837171497,False,True
3,0.053296945463857597,0.09098839200536825,0.55803987314564,False,True
4,0.0313627958065829,0.0842378692194112,0.7096603331982456,False,True
5,0.037588365308519264,0.10096746117057481,0.709682921605679,False,True
6,0.05092201861399297,0.10819265280687557,0.6378831265541505,False,True
7,0.08415444650599085,0.09364130900806439,0.3688181548204206,False,True
8,0.013760043233572536,0.11933873902170711,0.9082054347230479,False,False
9,-0.0289901221083793,0.11341078784496321,0.7982438887432508,False,False
10,1.9353426553694875e-05,0.10960801326384219,0.9998591179631326,False,False
11,0.011855314704372098,0.11665073428170612,0.9190496817614371,False,False
12,0.10841926619715817,0.1273627386421372,0.3946229279822071,False,False
13,0.08003190060453452,0.13309521570997324,0.5476314466757257,False,False
14,0.07204930965378525,0.12976285558779424,0.5787316628864214,False,False
15,0.1432902888046262,0.14378134234901488,0.31896612579432704,False,False
16,0.05812044242525216,0.13711447452942024,0.6716514213416995,False,False
17,0.06457279471280544,0.11909394890547975,0.58768041363417,False,False
18,0.005152586975102326,0.11070455547759304,0.9628769952723533,False,False
19,0.02998687832145952,0.12012536737265586,0.8028736065941053,False,False
20,-0.025573702884607863,0.11422595726337031,0.8228452587938673,False,False
21,0.014607121385617164,0.11888179688322781,0.9022092760708269,False,False
22,-0.025351365714215972,0.1260450559887586,0.8405973985985289,False,False
23,-0.1236701857659945,0.15023116415807616,0.410394679783856,False,False
24,-0.13503283421747073,0.13701838472518393,0.3243741740798609,False,False
25,-0.11160997006678453,0.15887807687219438,0.4823747744141724,False,True
26,-0.19417039601995542,0.13640570596954998,0.15459790177932775,False,True
27,-0.1306899015784882,0.1221692447333706,0.2847342417725831,False,True
28,-0.16363829493321416,0.14210611063994202,0.24951760130864198,False,True
29,-0.14536735156479985,0.15350721993885413,0.34365200965455966,False,True
30,-0.20492273101005049,0.1715530083737911,0.23227637340118412,False,True
31,-0.22548875902173504,0.2035323960491602,0.26791515492834583,False,False
32,-0.23379923213905981,0.15231619220943832,0.12479370258038092,False,True
33,-0.2508671403412587,0.13653718390462347,0.06615765361694859,False,True
34,-0.22522415408841123,0.14106217169007304,0.11034811444446069,False,True
35,-0.1415647275445489,0.15004933352806277,0.3454484485670717,False,True
36,-0.21186250363703335,0.1338070608363613,0.11334325517335864,False,True
37,-0.1359838146561208,0.122609573122925,0.2673957095946444,False,True
38,-0.13748884368898295,0.13413152245157806,0.30534900005165877,False,False
39,-0.08651078834372047,0.12540494950274725,0.49028759928925814,False,False
40,0.016695693973695483,0.1538414350286236,0.9135789811618049,False,False
41,-0.08413240979705353,0.13815080287198167,0.5425312958426782,False,False
42,-0.05667451709182311,0.126680163323603,0.654598744215128,False,False
43,-0.08231650847835068,0.12570922781920824,0.5125857425369471,False,False
44,-0.1435531730508324,0.13110605074343554,0.27354321135360316,False,False
45,-0.010188589074598603,0.1287304314843159,0.9369159373205473,False,False
46,-0.03764996225302077,0.11371184810009088,0.7405691552463249,False,False
47,0.016018794208962753,0.112119288584115,0.8863906581206602,False,False
48,0.04459433293191285,0.1425534673628375,0.7544133835113493,False,False
