Unnamed: 0,finbert_pos_mean,finbert_neg_mean,finbert_net,finbert_count,date,bertopic_conflict,cny_vol_x,cny_mean_x,cny_vol_y,cny_mean_y
,,,,,1990-01-01,,0.0,4.7339,0.0,4.7339
,,,,,1990-02-01,,0.0,4.7339,0.0,4.7339
,,,,,1990-03-01,,0.0,4.7339,0.0,4.7339
,,,,,1990-04-01,,0.0005302420081624,4.7338523809523805,0.0005302420081624,4.7338523809523805
,,,,,1990-05-01,,0.0,4.7339,0.0,4.7339
,,,,,1990-06-01,,0.0005302420081624,4.733876190476191,0.0005302420081624,4.733876190476191
,,,,,1990-07-01,,0.0,4.7339,0.0,4.7339
,,,,,1990-08-01,,0.0,4.7339,0.0,4.7339
,,,,,1990-09-01,,0.0067024889648568,4.7342157894736845,0.0067024889648568,4.7342157894736845
,,,,,1990-10-01,,0.0,4.7339,0.0,4.7339
,,,,,1990-11-01,,0.3665740136434968,4.971357894736842,0.3665740136434968,4.971357894736842
,,,,,1990-12-01,,0.0,5.2352,0.0,5.2352
,,,,,1991-01-01,,0.0,5.2352,0.0,5.2352
,,,,,1991-02-01,,0.0,5.2352,0.0,5.2352
,,,,,1991-03-01,,0.0,5.2352,0.0,5.2352
,,,,,1991-04-01,,0.0340117044896093,5.276719047619047,0.0340117044896093,5.276719047619047
,,,,,1991-05-01,,0.0180188000935706,5.325722727272727,0.0180188000935706,5.325722727272727
,,,,,1991-06-01,,0.0089622126211959,5.366721052631579,0.0089622126211959,5.366721052631579
,,,,,1991-07-01,,0.0109495785072321,5.369309523809524,0.0109495785072321,5.369309523809524
,,,,,1991-08-01,,0.0129839904877484,5.372490909090909,0.0129839904877484,5.372490909090909
,,,,,1991-09-01,,0.0050750016685003,5.386929411764705,0.0050750016685003,5.386929411764705
,,,,,1991-10-01,,0.0147410858065733,5.39169,0.0147410858065733,5.39169
,,,,,1991-11-01,,0.0096308248497747,5.399421428571428,0.0096308248497747,5.399421428571428
,,,,,1991-12-01,,0.0142631050398733,5.423152380952381,0.0142631050398733,5.423152380952381
,,,,,1992-01-01,,0.0104574885987371,5.461819047619048,0.0104574885987371,5.461819047619048
,,,,,1992-02-01,,0.0102332062755164,5.477631578947369,0.0102332062755164,5.477631578947369
,,,,,1992-03-01,,0.0091318626659926,5.487127272727272,0.0091318626659926,5.487127272727272
,,,,,1992-04-01,,0.0237109320857007,5.509754545454546,0.0237109320857007,5.509754545454546
,,,,,1992-05-01,,0.015425530370016,5.518173684210527,0.015425530370016,5.518173684210527
,,,,,1992-06-01,,0.0086542765964114,5.4893,0.0086542765964114,5.4893
,,,,,1992-07-01,,0.0208348712446989,5.456369565217392,0.0208348712446989,5.456369565217392
,,,,,1992-08-01,,0.0236482717717485,5.4417,0.0236482717717485,5.4417
,,,,,1992-09-01,,0.0392817385671437,5.504755,0.0392817385671437,5.504755
,,,,,1992-10-01,,0.0206394115600908,5.5486,0.0206394115600908,5.5486
,,,,,1992-11-01,,0.0493826072873171,5.613414285714286,0.0493826072873171,5.613414285714286
,,,,,1992-12-01,,0.0749019927824018,5.810627777777778,0.0749019927824018,5.810627777777778
,,,,,1993-01-01,,0.0110847880242294,5.779611764705883,0.0110847880242294,5.779611764705883
,,,,,1993-02-01,,0.0249578983528453,5.787433333333333,0.0249578983528453,5.787433333333333
