h,coef_full,coef_pre,coef_post
3,-0.09905801419081328,-0.13580152219922326,-0.1525113540127947
6,-0.15834210515099656,-0.22134035021488785,-0.2650657902276876
12,-0.0200672235572128,-0.10866534756948454,-0.21282510806319133
18,0.027956665252521162,-0.02843911306156599,-0.16244745355863088
24,0.12527325257767075,0.12235294091458115,0.05823257158912298
36,0.15194376721215264,0.14489079432991048,0.05910260134488965
