,f,t,n,label
d2pri,244.40295027897528,15.633392155222593,382,d²PRI (Saadaoui — BENCHMARK)
delta2_cgi,1.6089661328849065,-1.2684502879044597,382,Δ²CGI composite (your constructed)
delta1_cgi,4.980742867393675,-2.2317577976549505,382,Δ¹CGI (first difference)
gdelt_score_z,9.809533449485963,-3.1320174727299914,376,GDELT z-score only
icews_score_z,22.927541849049472,-4.7882712798096,314,ICEWS z-score only
sentiment_score_z,4.866262178616445,-2.20596060223578,107,FinBERT sentiment z-score
