date,coef,se
1995-05-31,0.006586193059038391,0.14975395870986924
1995-06-30,-0.03088998956521412,0.12052467317470493
1995-07-31,-0.011609611988097299,0.11608005523131257
1995-08-31,0.008218983676986842,0.10979493135805261
1995-09-30,-0.010573712414891752,0.11563488944300399
1995-10-31,-0.043208967519290556,0.12381469126192907
1995-11-30,-0.025723642468867953,0.13011336451048253
1995-12-31,-0.02452528790166016,0.1325965048568487
1996-01-31,0.012181648106937172,0.13996492974209254
1996-02-29,0.0686260635897501,0.1298249373787862
1996-03-31,0.0803129061380743,0.12745982638383563
1996-04-30,-0.0021181250477207273,0.07796742397508265
1996-05-31,0.014333730346414851,0.0761746962854917
1996-06-30,0.019939758886662818,0.07420384995673113
1996-07-31,0.027160350439713824,0.07916915664551961
1996-08-31,0.015138626957423832,0.07929018334540468
1996-09-30,0.013384277695521528,0.07739250612310442
1996-10-31,0.010409030262424589,0.0806360012373114
1996-11-30,-7.410734365872755e-05,0.0816464255436745
1996-12-31,-0.03887137214115673,0.08560176764884674
1997-01-31,-0.0923150052401011,0.0881350400472794
1997-02-28,-0.09676400358991201,0.08519974452282826
1997-03-31,-0.10885804553652796,0.08723577131097278
1997-04-30,-0.11633875258573909,0.08271525503859935
1997-05-31,-0.12133792094340339,0.08183426390022704
1997-06-30,-0.12384796570276171,0.08177076348766177
1997-07-31,-0.1205519167971326,0.08441693269990158
1997-08-31,-0.11962408564001556,0.08634806747894795
1997-09-30,-0.12962407892588784,0.08829594541024506
1997-10-31,-0.054336452881572746,0.09940132588869852
1997-11-30,-0.09003913691661085,0.07913010623716747
1997-12-31,-0.09662220004991089,0.06925015445628495
1998-01-31,-0.09575825793968863,0.07068970372339994
1998-02-28,-0.09858057530137761,0.06940479175525785
1998-03-31,-0.09304649006164137,0.06702007027595426
1998-04-30,-0.08620524056684895,0.06939269262082147
1998-05-31,-0.0773172092748524,0.06734036867157035
1998-06-30,-0.10220862196207252,0.06738246287408056
1998-07-31,-0.15201339404965286,0.06696348261573253
1998-08-31,-0.14289013320182192,0.066070656979071
1998-09-30,-0.15659662825877296,0.058213887396213485
1998-10-31,-0.1689883269115588,0.056876052795075405
1998-11-30,-0.17118658702335668,0.056401015572301115
