feature,importance_mean,importance_std
L1_d2pri,0.7516494575148291,0.054255212097504626
L2_d2pri,0.11975964246698695,0.013885762489819086
L3_lwti,0.09523125469304188,0.009983459550969945
L2_lwti,0.05085351847101077,0.0076348161474967926
L1_lwti,0.02633959139934362,0.005258728822495687
L3_d2pri,0.023770602661943453,0.006653021520633188
