,0
L1_lpri,0.8112463
L2_lpri,0.14366399
llwip,0.06620129
L1_lwti,0.01786135
dl2lgop,0.017185196
gpr_usa_l1,0.011318676
indpro,0.010836769
gs10,0.010206613
dllgop,0.009297487
bdi,0.009011194
gpr_chn_l1,0.008992269
L2_lwti,0.008818457
vix,0.008164031
baa10y,0.007954523
L3_lwti,0.0077625555
gold,0.006512675
brent,0.0059784125
tb3ms,0.005674916
cny_usd,0.005673551
