h,coef_2sls,lo90_2sls,hi90_2sls,ar_lo,ar_hi
0,-0.024225091158618213,-0.07053549658229047,0.02208531426505405,-0.07167900406695668,0.020215874898397213
6,-0.1631272887523095,-0.27555777837948076,-0.05069679912513826,-0.2783339386228899,-0.05523534681001996
12,-0.022936898517657216,-0.15775529515539527,0.11188149812008084,-0.16108426289419098,0.10643920462862033
18,0.03347020200243425,-0.10076446140289261,0.1677048654077611,-0.09971237363835328,0.16665277764322162
24,0.12565729901033384,-0.025220666973384626,0.27653526499405234,-0.02403813440003022,0.27044468542363675
36,0.1285812241543462,-0.010621896680822945,0.2677843449895153,-0.00953086775803147,0.26669331606672386
48,0.001384856644621195,-0.16548088325250299,0.1682505965417454,-0.16417304369144659,0.16151462910081782
