h,diff,z,p,sig10
0,0.015051684664925773,0.25566021026219704,0.7982132218527553,False
1,-0.012744099947364803,-0.1642008784411101,0.8695730095977818,False
2,-0.04005979394285929,-0.4725498949573822,0.6365343366438347,False
3,-0.009538431113350745,-0.12584253663446165,0.8998565700364098,False
4,-0.01381097581478015,-0.1597643929464035,0.8730666740420336,False
5,0.001158320243503555,0.014149053778932276,0.9887110651071573,False
6,-0.058472959610182534,-0.7543411201741068,0.4506444170408228,False
7,-0.0858352516158384,-1.0676749613448118,0.285667156740133,False
8,-0.04879860238295919,-0.5298475741006933,0.5962176173366389,False
9,0.002166818729788522,0.024504501115487815,0.9804501934232854,False
10,-0.04010294962035994,-0.4956548608047388,0.620137939456209,False
11,-0.022694773020290448,-0.2945656879055401,0.7683256767829951,False
12,-0.007066239805189094,-0.08400217688236239,0.9330547009861465,False
13,-0.0443187205084541,-0.4212545619753129,0.6735692060307259,False
14,-0.037434142088049974,-0.46324324048479903,0.6431900251832596,False
15,-0.024001409515087488,-0.23960595126917933,0.8106357507122928,False
16,0.03710022803524974,0.41235402610824246,0.6800799549757603,False
17,0.0025577663679407,0.029784052454172077,0.9762392774229631,False
18,0.02987574496635851,0.38748088420401955,0.6984002340004751,False
19,0.016980896461353895,0.21125914894981307,0.8326850579120497,False
20,-0.017526816023091987,-0.23371188402897056,0.8152086611148202,False
21,0.025346959096852834,0.30118678097237195,0.7632720693600428,False
22,-0.007399213064422379,-0.08035027330657557,0.9359586751166618,False
23,0.03470730129102027,0.28526252833032256,0.7754430187106331,False
24,-0.007381857987405047,-0.07643974096603086,0.9390692533584029,False
25,0.020118533567650282,0.1676697145927371,0.8668431230979299,False
26,0.003582233607445022,0.03965061417845835,0.9683716748613971,False
27,-0.015237586215423302,-0.195605181913134,0.8449192040543343,False
28,0.022238595882327523,0.18922768138808468,0.8499143729635632,False
29,-0.010786202025681688,-0.08201227550174578,0.9346369519023647,False
30,-0.019197968110504657,-0.12841541371859544,0.8978202337634935,False
31,0.05709452755063419,0.3859836243406627,0.6995087967204983,False
32,0.005123804429540139,0.044123721873229625,0.9648057838757338,False
33,-0.01679063328477832,-0.1575488272918538,0.8748123297228807,False
34,0.04075574231583395,0.39106445888341496,0.6957495906004896,False
35,0.01541710700173754,0.13284980602072977,0.8943121639139608,False
36,-0.02315184202664057,-0.24876304663542342,0.8035440771672526,False
37,0.03579394921908072,0.41160185360847124,0.680631272770005,False
38,-0.047317798234702,-0.5509013570170158,0.5817012971772877,False
39,-0.061225609003512454,-0.7185460144081663,0.4724206865913607,False
40,-0.09961309535771927,-0.8662247878605588,0.38636690246910876,False
41,-0.0397188131223059,-0.3301783461013352,0.7412652075294017,False
42,-0.030426406525324946,-0.2684628121589575,0.7883430961167628,False
43,-0.029127559661737065,-0.28423605397065355,0.7762294873006941,False
44,0.03368057604374826,0.33496680519357236,0.7376501267331959,False
45,0.008230972361806976,0.09387403286329657,0.9252092215015857,False
46,-0.027829848786976016,-0.31803907341741583,0.7504552981539365,False
47,-0.04431745766482785,-0.4538221778879763,0.649956819680817,False
48,-0.011386835053768089,-0.10183788544042288,0.918885353727495,False
