h,coef
0,-0.030983356715296395
1,-0.06177672581236493
2,-0.12232371874509163
3,-0.1252784582611639
4,-0.12255918555138123
5,-0.09628777178681958
6,-0.0724512511606008
7,-0.1599699328371571
8,-0.10351640085013969
9,-0.098343862468937
10,-0.1441254769187026
11,-0.01439947352218951
12,0.055364131850183185
13,-0.032273395031552354
14,0.0001624547819574218
15,0.04550164042279903
16,0.05106293422431918
17,0.006759837579011219
18,0.13738332152115618
19,0.08694645590821892
20,0.08377981038165672
21,0.046114001097009805
22,0.12827422335271876
23,0.06675952643126948
24,0.2068171200985489
25,0.10764468592697085
26,0.24928797708503225
27,0.15660183706495445
28,0.13530075194671554
29,0.1589107279255586
30,0.22777085299344435
31,0.2138262741866015
32,0.19714240650955617
33,0.20090238301781937
34,0.22481899592480659
35,0.28015468851288006
36,0.17742677766909765
37,0.26584143359878
38,0.19926458614111198
39,0.12950890837373663
40,0.1259294366523136
41,0.04650336716872516
42,-0.004297794852845982
43,0.061700030466454336
44,-0.017433986566402382
45,-0.07100517632454739
46,-0.021003806830208305
47,0.12262570158054586
48,0.08424634186712865
