h,coef
0,-0.03543259628912665
1,-0.05880550865833811
2,-0.09260051955993731
3,-0.10804780642683909
4,-0.09268483057712729
5,-0.09512804859616608
6,-0.09279907958080003
7,-0.128354238691486
8,-0.10373166281843282
9,-0.11719842439038075
10,-0.10916492375405085
11,-0.016774047693161265
12,0.04720470111215036
13,-0.004874190613008977
14,0.020350801557697196
15,0.05289577600433404
16,0.03227997784799186
17,0.06884583152077539
18,0.17242595278685258
19,0.0968071624743061
20,0.07325047784161143
21,0.05742793689159953
22,0.09204043182739952
23,0.1297569131625096
24,0.20033469290183348
25,0.14635626522385792
26,0.21977429592152475
27,0.15692335769676902
28,0.11449058986181626
29,0.18436076382863575
30,0.22616981683131598
31,0.209158442153921
32,0.204071870777625
33,0.1771341280180323
34,0.22501016326543777
35,0.27036939685649486
36,0.17217724107717913
37,0.2725680367739187
38,0.17650675023833173
39,0.17455476031864237
40,0.10321551738911694
41,0.03994622139543935
42,0.004917721009491061
43,0.05916230143765233
44,-0.016593855694281956
45,-0.07181364087179531
46,-0.01610531812730187
47,0.09604973277873796
48,0.11589347226561131
