h,coef,se,lo90,hi90,lo95,hi95
0,-0.023976323860097182,0.028007749901235824,-0.07004907244763012,0.022096424727435747,-0.0788715136665194,0.03091886594632503
1,-0.07657168783953239,0.04378803308114617,-0.14860300225801784,-0.004540373421046934,-0.1623962326785789,0.0092528569995141
2,-0.12316886705366414,0.05045323450225411,-0.20616443780987215,-0.040173296297456126,-0.2220572066780822,-0.02428052742924608
3,-0.12821484876121758,0.056212817432631304,-0.22068493343789608,-0.03574476408453908,-0.23839197092917494,-0.018037726593260223
4,-0.13242890800802343,0.06164928776728345,-0.2338419863852047,-0.03101582963084215,-0.253261512031899,-0.011596303984147863
5,-0.14242709129166542,0.06763446949601563,-0.2536857936126111,-0.031168388970719704,-0.27499065150385604,-0.009863531079474769
6,-0.17395882027358311,0.07056006971450479,-0.2900301349539435,-0.05788750559322273,-0.3122565569140125,-0.035661083633153734
7,-0.1373092487951908,0.07731053618393065,-0.2644850808177567,-0.010133416772624887,-0.28883789971569485,0.01421940212531328
8,-0.07840380638981514,0.09196619301655189,-0.229688193902043,0.07288058112241272,-0.2586575447022569,0.10184993192262656
9,-0.061386983270494966,0.0943642211694802,-0.2166161270942899,0.09384216055329997,-0.24634085676267617,0.12356689022168624
10,-0.0487830162969658,0.09572335233645077,-0.2062479308904273,0.10868189829649572,-0.2364007868764093,0.1388347542824777
11,0.007105819790467649,0.09089898145771108,-0.14242300470746708,0.15663464428840237,-0.17105618386664606,0.18526782344758136
12,-0.01803264822547135,0.09181203971754406,-0.16906345356083133,0.13299815710988863,-0.19798424607185772,0.16191894962091502
13,-0.03594644088525456,0.10046845416742037,-0.20121704799066106,0.12932416622015194,-0.23286461105339848,0.16097172928288936
14,-0.07310200610663742,0.10511121577596831,-0.2460099560581053,0.09980594384483046,-0.2791199890275353,0.13291597681426046
15,-0.04273585619239384,0.10370386904511805,-0.21332872077161305,0.12785700838682537,-0.24599543952082523,0.16052372713603755
16,-0.0740585286721398,0.10205931285607381,-0.24194609832038122,0.09382904097610162,-0.27409478187004443,0.12597772452576486
17,-0.05474740398994982,0.09271286574902118,-0.20726006814708967,0.09776526016719003,-0.23646462085803133,0.1269698128781317
18,0.028437429321002128,0.08861963078607143,-0.11734186332208538,0.17421672196408963,-0.14525704701969788,0.20213190566170214
19,0.09366319007767743,0.085890897460034,-0.0476273362440785,0.23495371639943335,-0.07468296894398921,0.26200934909934404
20,0.11011419658484556,0.092474667619018,-0.04200663164843904,0.26223502481813016,-0.07113615194842973,0.2913645451181208
21,0.10771807236210407,0.0963018695638954,-0.05069850307050386,0.26613464779471196,-0.08103359198313093,0.29646973670733906
22,0.08234872808134241,0.09806455541301898,-0.0789674655730738,0.24366492173575863,-0.10985780052817479,0.2745552566908596
23,0.08423915500043222,0.10325494692709271,-0.08561523269463528,0.2540935426954997,-0.11814054097666948,0.2866188509775339
24,0.15107349562640593,0.10204911285497413,-0.016797295020026526,0.3189442862728384,-0.04894276556934335,0.3510897568221552
25,0.20707676785696094,0.11600088697767354,0.01625530877868797,0.3978982269352339,-0.020284970619279197,0.4344385063332011
26,0.17964385027698881,0.09355561661663729,0.025744860942620462,0.33354283961135717,-0.003725158291620262,0.36301285884559786
27,0.22431480663044567,0.09352732434597703,0.07046235808131346,0.3781672551795779,0.0410012509123307,0.40762836234856065
28,0.2330559506604004,0.09707031516879336,0.07337528220773534,0.39273661911306545,0.04279813292956544,0.42331376839123536
29,0.2292854848060415,0.09919876729616667,0.06610351260384734,0.39246745700823565,0.03485590090555482,0.4237150687065282
30,0.1999841320566702,0.10145435550740808,0.0330917172469839,0.3668765468663565,0.001133595262150372,0.39883466885119
31,0.19732236328582076,0.11018296444732399,0.0160713867699728,0.37857333980166874,-0.01863624703093425,0.41328097360257576
32,0.25457574829488294,0.09639568245076359,0.09600485066337683,0.41314664592638906,0.06564021069138631,0.44351128589837957
33,0.28609807044540503,0.09695252000002148,0.1266111750453697,0.4455849658454404,0.09607113124536293,0.47612500964544713
