h,coef,se,lo90,hi90,lo95,hi95
0,0.03068302072420437,0.044836877934320105,-0.04307364347775221,0.10443968492616094,-0.05719726002706303,0.11856330147547177
1,0.0013317888039665604,0.0625067455253036,-0.10149180758515786,0.10415538519309098,-0.12118143242562848,0.1238450100335616
2,-0.040809890501698476,0.09482731093203839,-0.19680081698490162,0.11518103598150467,-0.2266714199284937,0.14505163892509676
3,-0.07115086416308714,0.11895380602296692,-0.26682987507086775,0.12452814674469345,-0.30430032396810225,0.161998595641928
4,-0.09923475093086154,0.1282863419001885,-0.31026578335667165,0.11179628149494855,-0.350675981055231,0.15220647919350794
5,-0.17041946112742323,0.13924351178395394,-0.39947503801202744,0.058636115757181,-0.44333674422397296,0.10249782196912649
6,-0.14021871493650906,0.1389661496776981,-0.36881803115632245,0.08838060128330433,-0.41259236830479734,0.13215493843177922
7,-0.14994167597124886,0.15717607314735152,-0.4084963162986421,0.10861296435614437,-0.45800677934005785,0.15812342739756013
8,-0.22242222306671522,0.1864263414250859,-0.5290935547109815,0.08424910857755108,-0.5878178522598836,0.14297340612645315
9,-0.2257656004737716,0.17958612074162553,-0.5211847690937456,0.06965356814620238,-0.5777543971273575,0.12622319617981442
10,-0.21979952333554453,0.17542708195695414,-0.5083770731547341,0.068778026483645,-0.5636366039711747,0.12403755730008559
11,-0.25548003698626687,0.1638890563555999,-0.5250775346912286,0.014117460718694963,-0.5767025874432427,0.06574251347070892
12,-0.2463536165722644,0.16511080780623325,-0.5179608954135181,0.025253662268989285,-0.5699707998724816,0.07726356672795276
13,-0.27905621972581685,0.18070819398044585,-0.5763211988236503,0.018208759372016603,-0.6332442799274907,0.07513184047585703
14,-0.2835616140449133,0.19406686334681247,-0.6028016042504198,0.03567837616059322,-0.6639326662046657,0.09680943811483911
15,-0.28944152181448146,0.21452225540865563,-0.6423306319617199,0.06344758833275704,-0.7099051424154466,0.13102209878648358
16,-0.2478637670248105,0.19771925936063198,-0.57311194867305,0.0773844146234291,-0.6353935153716492,0.13966598132202818
17,-0.20840294384021263,0.19749099858789826,-0.5332756365173053,0.11646974883688,-0.5954853010724932,0.17867941339206794
18,-0.2752623137899093,0.19997715930583362,-0.6042247408480056,0.05370011326818702,-0.6672175460293432,0.11669291844952462
19,-0.2846120219800383,0.201377287262895,-0.6158776595275006,0.04665361556742398,-0.6793115050153125,0.11008746105523587
