h,coef,se
0,-0.030983356715296395,0.03848229975985715
1,-0.06177672581236493,0.05175662561397157
2,-0.12232371874509163,0.045327265366128626
3,-0.1252784582611639,0.0732254385825083
4,-0.12255918555138123,0.0810155909661971
5,-0.09628777178681958,0.07691731085322209
6,-0.0724512511606008,0.10094310511135411
7,-0.1599699328371571,0.10921657141810628
8,-0.10351640085013969,0.11780020726334368
9,-0.098343862468937,0.12905874376326187
10,-0.1441254769187026,0.11891829135954704
11,-0.01439947352218951,0.11229859953754669
12,0.055364131850183185,0.11764347060265119
13,-0.032273395031552354,0.13664124201270444
14,0.0001624547819574218,0.12117602329483296
15,0.04550164042279903,0.14446711723191086
16,0.05106293422431918,0.12255651135618827
17,0.006759837579011219,0.11773612564378083
18,0.13738332152115618,0.10360894560312044
19,0.08694645590821892,0.11232404758780157
20,0.08377981038165672,0.09945036229154941
21,0.046114001097009805,0.09528255084818825
22,0.12827422335271876,0.10116181976596175
23,0.06675952643126948,0.09494040950723258
24,0.2068171200985489,0.10639586615284767
25,0.10764468592697085,0.10901295910308424
26,0.24928797708503225,0.12930837281274613
27,0.15660183706495445,0.1367885177517794
28,0.13530075194671554,0.11751674014123466
29,0.1589107279255586,0.12055366035641678
30,0.22777085299344435,0.14871123561804997
31,0.2138262741866015,0.13069359414050716
32,0.19714240650955617,0.15153173286173618
33,0.20090238301781937,0.14688269151880043
34,0.22481899592480659,0.12451679297246088
35,0.28015468851288006,0.14123869139527578
36,0.17742677766909765,0.11891976604655562
37,0.26584143359878,0.10655077314624699
38,0.19926458614111198,0.13532735095797718
39,0.12950890837373663,0.1346452019896119
40,0.1259294366523136,0.10701458133953627
41,0.04650336716872516,0.12463124119564793
42,-0.004297794852845982,0.13915704767131507
43,0.061700030466454336,0.14489139904949705
44,-0.017433986566402382,0.16865740329748868
45,-0.07100517632454739,0.1441907669712138
46,-0.021003806830208305,0.15780003323219824
47,0.12262570158054586,0.14867329941351265
48,0.08424634186712865,0.21278089183906695
