h,ar_lo,ar_hi,wald_lo,wald_hi,width_ar,width_wald
0,-0.08270676691729317,0.022556390977443552,-0.0889492867505,0.03103404755376324,0.10526315789473673,0.11998333430426324
1,-0.17293233082706783,0.007518796992481036,-0.17060506886784196,0.026360633919420062,0.18045112781954886,0.19696570278726203
2,-0.21804511278195493,-0.022556390977443996,-0.22520305753570144,-0.0067205580444890944,0.19548872180451093,0.21848249949121235
3,-0.24812030075187996,-0.022556390977443996,-0.25040936021856813,-0.014254117230311489,0.22556390977443597,0.23615524298825663
4,-0.2631578947368425,-0.022556390977443996,-0.26361326432599036,-0.018563087231878606,0.24060150375939848,0.24505017709411175
5,-0.3082706766917296,-0.022556390977443996,-0.306110217695983,-0.014318782110800343,0.2857142857142856,0.29179143558518267
6,-0.3533834586466167,-0.0676691729323311,-0.3578894068298245,-0.05943326126582518,0.2857142857142856,0.29845614556399935
7,-0.32330827067669166,-0.022556390977443996,-0.3173924884604286,-0.005778869821229882,0.30075187969924766,0.31161361863919873
8,-0.2631578947368425,0.08270676691729317,-0.2616928414960777,0.09095624855386143,0.34586466165413565,0.3526490900499391
9,-0.24812030075187996,0.11278195488721776,-0.24585840123167896,0.1163011263021942,0.3609022556390977,0.36215952753387315
10,-0.23308270676691745,0.11278195488721776,-0.24288021296318665,0.11834184264623657,0.3458646616541352,0.3612220556094232
11,-0.17293233082706783,0.1879699248120299,-0.16897502769703066,0.19565813705721413,0.3609022556390977,0.3646331647542448
12,-0.20300751879699241,0.1428571428571428,-0.2035998896529726,0.15455567570623058,0.3458646616541352,0.3581555653592032
13,-0.21804511278195493,0.1428571428571428,-0.22465367263037028,0.15651798529356825,0.3609022556390977,0.38117165792393853
14,-0.29323308270676707,0.11278195488721776,-0.2981110193960489,0.1203578931695988,0.40601503759398483,0.41846891256564767
15,-0.24812030075187996,0.1578947368421053,-0.25052713243218694,0.16426077543330586,0.4060150375939853,0.4147879078654928
16,-0.29323308270676707,0.11278195488721776,-0.2968263278561249,0.12084731859986601,0.40601503759398483,0.4176736464559909
17,-0.2631578947368425,0.11278195488721776,-0.26364397491417385,0.12015288322988062,0.37593984962406024,0.38379685814405445
18,-0.14285714285714324,0.20300751879699241,-0.14119155515140966,0.21356594295864115,0.34586466165413565,0.3547574981100508
19,-0.052631578947368585,0.27819548872180455,-0.05854798011060837,0.2921755498385644,0.33082706766917314,0.3507235299491728
20,-0.0676691729323311,0.2932330827067666,-0.06457593070648228,0.30701549605238837,0.3609022556390977,0.37159142675887064
21,-0.08270676691729317,0.30827067669172914,-0.08065112846763037,0.3121764022624587,0.3909774436090223,0.392827530730089
22,-0.12781954887218072,0.27819548872180455,-0.12226042507681291,0.29095528730011794,0.4060150375939853,0.41321571237693083
23,-0.14285714285714324,0.27819548872180455,-0.1384688307903607,0.2988415993866053,0.4210526315789478,0.437310430176966
24,-0.03759398496240607,0.35338345864661624,-0.04061863318034742,0.3569015743776637,0.3909774436090223,0.3975202075580111
25,0.022556390977443552,0.45864661654135297,0.008480231402455074,0.4563020214280339,0.4360902255639094,0.4478217900255788
26,0.007518796992481036,0.36842105263157876,0.0035020344974026896,0.3712285074154881,0.3609022556390977,0.36772647291808536
27,0.06766917293233066,0.41353383458646586,0.060302518068994004,0.4222211949035567,0.3458646616541352,0.3619186768345627
28,0.06766917293233066,0.4285714285714284,0.06071931177621373,0.4275336587990952,0.3609022556390977,0.3668143470228815
29,0.05263157894736814,0.4285714285714284,0.05646173337300939,0.43195614274735317,0.37593984962406024,0.37549440937434375
30,-0.00751879699248148,0.3984962406015038,-0.004860327888694449,0.40836106058504995,0.4060150375939853,0.4132213884737444
31,-0.052631578947368585,0.41353383458646586,-0.04498936164835357,0.4296806347419162,0.46616541353383445,0.47466999639026974
32,0.06766917293233066,0.45864661654135297,0.06821308394180572,0.4653106475489869,0.3909774436090223,0.3970975636071812
33,0.11278195488721776,0.4736842105263155,0.11185071348466546,0.4821562712657791,0.3609022556390977,0.3703055577811136
34,0.1428571428571428,0.5037593984962405,0.1299287852051278,0.5108759717830378,0.3609022556390977,0.38094718657791
35,0.09774436090225525,0.4736842105263155,0.08527916772101368,0.4813109247214437,0.37593984962406024,0.39603175700043003
36,-0.022556390977443996,0.33834586466165373,-0.024715928669425596,0.3471056415410324,0.3609022556390977,0.37182157021045803
37,0.007518796992481036,0.35338345864661624,-0.002918842969721669,0.360688426214557,0.3458646616541352,0.36360726918427866
38,-0.03759398496240607,0.32330827067669166,-0.04977026291377573,0.324821545956045,0.3609022556390977,0.37459180886982074
39,-0.052631578947368585,0.35338345864661624,-0.06573913178762028,0.3513828677968146,0.40601503759398483,0.41712199958443485
