h,diff,z,p,sig10
0,-0.3197599410589632,-1.0777743966633082,0.2811344481538751,False
1,-0.30659173611583906,-0.7555092215828226,0.44994350135819605,False
2,-0.22157534802419365,-0.3332342064503911,0.7389574992455636,False
3,-0.12254949706329676,-0.1747207415475378,0.8612990690705713,False
4,-0.06129703676988357,-0.08932075300965527,0.9288270014717093,False
5,-0.4820826038496305,-0.609615780878338,0.5421163554152488,False
6,-0.24997221932344652,-0.40181374859055485,0.6878211030953407,False
7,-0.3293509458952501,-0.5163188596101689,0.6056317262094442,False
8,-0.5458278281029314,-0.920451013151686,0.3573371210106062,False
9,0.2737785517078299,0.43850329742580607,0.6610214803550967,False
10,0.3116737707361825,0.4693661617860705,0.6388079311180315,False
11,0.4033511011570516,0.6006862289076987,0.5480489929638894,False
12,0.5420063678924922,0.7044652371991273,0.4811430914745185,False
13,0.16031866697954178,0.24953823035331574,0.8029444724340413,False
14,0.4566833148348942,0.6535309730135102,0.5134140283539539,False
15,0.7082295980503268,0.8382750418502669,0.4018762497541315,False
16,0.53351960174819,0.8466450257995529,0.39719300912404276,False
17,0.683686717969481,0.9422555438228357,0.34606182280711395,False
18,0.4794166567837341,0.7859607926358173,0.4318904571753883,False
19,0.5128489908204827,0.6880087932945181,0.4914472439792186,False
20,0.13714241465626825,0.17043227143340822,0.8646701944569881,False
21,0.012798325970304503,0.017930075232249258,0.9856946363017631,False
22,-0.13907764679177026,-0.18928042939795126,0.8498730331459448,False
23,0.384918499683534,0.6616662523054715,0.5081851374738768,False
24,0.2948799235804648,0.541309396682612,0.5882943447662003,False
25,0.05174401221322364,0.10479219846091208,0.9165407006910491,False
26,0.3200223022102608,0.580035566457663,0.5618906334521221,False
27,0.12676313022014052,0.24061875923699835,0.8098506095281792,False
28,-0.2808607904694308,-0.4730489527921191,0.6361782546649881,False
29,-0.18373621589630998,-0.31136039803278504,0.7555266564145566,False
30,-0.05147061098032668,-0.07985500821200638,0.9363525737437239,False
31,-0.1994899521671744,-0.43447678284196123,0.6639422508721404,False
32,0.18087518229700225,0.38527444265418737,0.7000340946071637,False
33,0.6004058651272,0.9295230129395359,0.3526181046079033,False
34,0.8222913524855757,1.1014519798922977,0.270699993099321,False
35,0.7341321622907222,1.2126226372395226,0.2252741299636727,False
36,0.5494698940821162,0.9601242578364722,0.336992681100893,False
37,0.9057029587817718,1.2363956994592813,0.21631151390079384,False
38,0.8908410348011614,1.0550180979589168,0.29141704770263965,False
39,1.0343576846668892,1.1090236356394996,0.26741998582847315,False
40,0.7986906625376786,0.93786923311016,0.34831161622210516,False
41,1.06790417805159,1.1427122705515624,0.2531580734730199,False
42,0.9560885066810499,1.1387848648956977,0.25479289601763755,False
43,1.186982245595006,1.571546836507682,0.11605568417190759,False
44,0.9436208087534181,1.502012418146167,0.13309390176391211,False
45,0.5574118143794927,0.8212482719045632,0.4115048656696594,False
46,0.7402457323244345,1.4185205781320993,0.15603883513137795,False
47,0.36025409150806187,0.6665005976720008,0.5050911817851773,False
48,0.285135910052129,0.5356403201070544,0.5922071569849217,False
