h,diff,z,p,sig10
0,-0.06270157632601042,-1.0291508555625553,0.3034087916702639,False
1,-0.07642797269873962,-0.8445978961545788,0.3983353841013888,False
2,-0.06190503478600973,-0.5524597394338802,0.5806334109198423,False
3,-0.03267292859021298,-0.2428313211981733,0.8081360708359331,False
4,-0.007940179555403548,-0.05532644342889357,0.9558783956160559,False
5,0.03832615131931569,0.23755097521772842,0.8122293781640271,False
6,-0.05130499989450393,-0.3218909050987093,0.7475353434850287,False
7,-0.00557169987563777,-0.032281040307782935,0.9742479289671568,False
8,0.12899916253815374,0.6443095568014041,0.519374719682621,False
9,0.1411975863327828,0.7296823929206425,0.4655843459642668,False
10,0.14057954660075697,0.7253658303377003,0.46822762975026677,False
11,0.24961981240407896,1.329343990184878,0.18373450734401153,False
12,0.1872785708703263,0.9946153589984111,0.3199233745838199,False
13,0.1868677021169025,0.9303575609372441,0.3521859841301853,False
14,0.11938259601380713,0.5427084146595316,0.5873305796714552,False
15,0.1559426837634764,0.6498391449177955,0.5157961305342555,False
16,0.0628529712420864,0.2740576174399354,0.7840403436526735,False
17,0.04298736485122384,0.18809449244318127,0.8508025784369373,False
18,0.22706415559390766,1.012820665484505,0.311145827942116,False
19,0.32806050422775995,1.482336922759804,0.13825066849556666,False
20,0.3176378385837101,1.5364063932935452,0.12443873972537767,False
21,0.27291446975742784,1.3933340418256714,0.16351880106588945,False
22,0.153725599996762,0.7792383790149301,0.43583930608674226,False
23,0.14589326556540805,0.6293797809404827,0.5291004517087821,False
24,0.31428139475416417,1.2698992164907545,0.20412053230700145,False
25,0.39544975583051595,1.7103974140220806,0.08719240890297031,True
26,0.3188667670970366,1.5251986176878929,0.12720956528242233,False
27,0.30935795101033,1.5246877090240951,0.12733700885137123,False
28,0.22345817028258305,1.0066636457251947,0.31409643792561437,False
29,0.173365758282799,0.6682865347172662,0.5039507069242211,False
30,0.1637878830190621,0.6541712081925882,0.5130015088077453,False
31,0.12059907801718561,0.46869261898755243,0.6392893635476704,False
32,0.2542998951917538,1.1123698862439728,0.2659791467958128,False
33,0.3387183940139288,1.5676401304741727,0.11696514104416766,False
34,0.4054027560139747,1.8741714404111844,0.060906799162417036,True
35,0.2954804587638163,1.2833737040785893,0.1993611819700547,False
36,0.12608906446013082,0.4788064784490867,0.6320763074447908,False
37,0.14393850265397515,0.5534092011650337,0.5799832398047153,False
38,0.13446631781227508,0.5004897322491023,0.6167302841929598,False
39,0.16332837265603747,0.552833569533275,0.5803773793144404,False
40,0.09527105997269372,0.29901776551320297,0.7649264904299429,False
41,-0.0888262322158891,-0.28046885241190045,0.7791178190410486,False
42,-0.13932779794151173,-0.4675922679001258,0.6400761953555067,False
43,-0.13667316272994073,-0.5514954444113532,0.5812940887194682,False
44,-0.06240260760822851,-0.2651982002418458,0.7908567812814851,False
45,-0.08405641978608809,-0.3995778934361594,0.6894674415050308,False
46,-0.08292406569062624,-0.4149824577371098,0.6781547450174557,False
47,-0.20192756211934534,-0.9736070792230199,0.3302516700012368,False
48,-0.27438079959382966,-1.1792084992508791,0.23831516254652696,False
