h,coef,se,Q,Q_p,I2,k,lo90,hi90
0,0.00032271752455883347,0.015240763837412715,3.7796141616433365,0.43665261342617623,0.0,5,-0.02474833898798508,0.02539377403710275
1,-0.018046578824398293,0.02535175747007589,2.71676742032156,0.6062837341445014,0.0,5,-0.059750219862673135,0.023657062213876548
2,-0.05545641938378813,0.031071680733084407,1.8527003392535168,0.7628277239596225,0.0,5,-0.10656933418971198,-0.004343504577864282
3,-0.050705108820123704,0.03266997632831704,2.2914242963715274,0.6823308325168624,0.0,5,-0.10444721988020522,0.0030370022399578214
4,-0.06171392271296841,0.03510428865011199,2.269317459782276,0.6863607317241678,0.0,5,-0.11946047754240263,-0.00396736788353419
5,-0.09579893701465672,0.03617466797024287,1.4446201298009427,0.8364039287820315,0.0,5,-0.15530626582570625,-0.0362916082036072
6,-0.0991109632417528,0.042078791984999225,2.4427800458459155,0.6549103738484618,0.0,5,-0.16833057605707652,-0.02989135042642907
7,-0.07055332124293157,0.05386324593906781,3.4059041540922137,0.49232926946692857,0.0,5,-0.15915836081269813,0.018051718326834984
8,-0.06522073672031782,0.06005852506558353,2.9139769888131957,0.5723228157135656,0.0,5,-0.16401701045320272,0.03357553701256709
9,-0.09934480189802575,0.06785895980891868,3.070564922111372,0.5460867649265481,0.0,5,-0.21097279078369696,0.01228318698764548
10,-0.09789573847930319,0.07676248513827605,2.8903971765212115,0.5763315095451305,0.0,5,-0.2241700265317673,0.02837854957316091
11,-0.0564652363411039,0.08163227635823615,3.668857920395083,0.4526715515324766,0.0,5,-0.19075033095040236,0.07781985826819457
12,-0.07227736143071631,0.08433865635282196,3.164995455539066,0.5306032640826004,0.0,5,-0.21101445113110845,0.06645972826967583
13,-0.08760757789434806,0.08949226481551134,2.533678518743568,0.6386154567243607,0.0,5,-0.23482235351586422,0.059607197727168104
14,-0.10821946966356961,0.09875252006805799,1.6116437192713087,0.8066978860113747,0.0,5,-0.270667365175525,0.05422842584838576
15,-0.06405433866433326,0.10121112209215535,1.0204971360056099,0.9066721902855336,0.0,5,-0.23054663450592883,0.1024379571772623
16,-0.09366929735755987,0.10033399043643146,0.7142751221191469,0.9495569098328079,0.0,5,-0.2587187116254896,0.07138011691036987
17,-0.06884395481910657,0.0965120289623164,0.9908531865763439,0.9111797591752452,0.0,5,-0.22760624246211705,0.08991833282390391
18,-0.009925586204049389,0.09240612244647443,1.9146169230975063,0.7514593478273031,0.0,5,-0.16193365762849982,0.14208248522040107
19,0.041000302606650205,0.09146158717786461,2.9507058576121317,0.566108260866289,0.0,5,-0.10945400830093709,0.19145461351423748
20,0.026632213149140993,0.09269790845981818,3.188348048289882,0.5268149907245566,0.0,5,-0.1258558462672599,0.1791202725655419
21,0.016739940405931596,0.09214835979440543,2.47867460980221,0.6484584625669128,0.0,5,-0.13484411145586533,0.16832399226772854
22,0.02227265424146671,0.09392574825329136,0.754160316117631,0.9444857042807896,0.0,5,-0.13223520163519759,0.176780510118131
23,0.044141640512862665,0.10514457996628881,0.805610842008472,0.9376942737140613,0.0,5,-0.12882119353168242,0.21710447455740778
24,0.08077907082349062,0.10217106696149826,1.8472994401169365,0.7638182257224178,0.0,5,-0.08729233432817401,0.24885047597515525
25,0.09209797954409012,0.10633109829345701,3.390880342600548,0.49466295297816376,0.0,5,-0.08281667714864667,0.2670126362368269
26,0.09920721412066182,0.09229941299691488,2.7425939513965827,0.6017820616203325,0.0,5,-0.052625320259263156,0.2510397485005868
27,0.14842135906423265,0.09012919129575783,3.4386119177897507,0.4872737137077985,0.0,5,0.0001588393827110235,0.2966838787457543
28,0.18171723544440085,0.09348739243550035,2.386573011508844,0.6650550902520744,0.0,5,0.027930474888002793,0.33550399600079894
29,0.2058382180334447,0.09907481668198322,1.7821700675368943,0.7757427841389326,0.0,5,0.04286014459158233,0.3688162914753071
30,0.15586572940918314,0.10494332054650528,1.4533960097193375,0.8348634604774702,0.0,5,-0.01676603288981804,0.3284974917081843
31,0.14626114272331636,0.11477549969503366,1.8941671426151043,0.7552164193053265,0.0,5,-0.042544554275013996,0.33506683972164675
32,0.19429593465847758,0.09954910508340822,4.530564943310984,0.3389386377360668,11.71078993347884,5,0.030537656796271045,0.35805421252068415
33,0.20359329227218423,0.09360833039504354,6.064256339298427,0.194400687336992,34.039727607181604,5,0.04960758877233759,0.3575789957720309
34,0.19607567607409057,0.0953540935114278,6.30171227279559,0.17772079537163255,36.52518828465165,5,0.03921819224779183,0.3529331599003893
35,0.1914634012069616,0.10002139890577434,4.673806219122329,0.32243299060472874,14.416648605702353,5,0.026928200006962805,0.35599860240696035
36,0.14130732327413903,0.09936067118763879,2.2162713789842874,0.6960514548102235,0.0,5,-0.022140980829526785,0.3047556273778048
37,0.15742328539814518,0.09782920197269769,3.694136304853155,0.4489793398090669,0.0,5,-0.0035057518469425175,0.3183523226432329
38,0.120270475113035,0.10110756026409885,3.259126674892938,0.515434246547045,0.0,5,-0.04605146152140761,0.2865924117474776
39,0.12156353488033773,0.11175439844890522,4.028709198142881,0.4021344252326641,0.7126153001093993,5,-0.06227245056811136,0.3053995203287868
40,0.07059673357195395,0.11326944014653462,1.710693563966095,0.7887742198842438,0.0,5,-0.1157314954690955,0.2569249626130034
41,0.03547475297723038,0.11409276559460489,1.3667153834242527,0.8499589142235238,0.0,5,-0.15220784642589466,0.22315735238035542
42,0.08331778572960341,0.11300862590218684,1.9957112516622442,0.7365477529085622,0.0,5,-0.10258140387949394,0.26921697533870076
43,0.09358117174324614,0.10261377528890188,2.0874355704715635,0.7196810204629449,0.0,5,-0.07521848860699747,0.2623808320934897
44,0.1101666187362522,0.09916024738294334,2.681230793931649,0.6125029550424885,0.0,5,-0.052951988208689585,0.273285225681194
45,0.09071761039397024,0.09611970072816835,4.813832905561811,0.3069382055136458,16.906131175046063,5,-0.06739929730386669,0.24883451809180718
46,0.0718376881249569,0.0916661986991789,4.006246451650577,0.4051611444726343,0.15591780800214655,5,-0.07895320873519239,0.22262858498510618
47,0.12565343063417903,0.09703228534470876,4.604944859411863,0.33028445180687227,13.136853488602377,5,-0.03396467875786688,0.2852715400262249
48,0.09981241045033151,0.1091961686705249,5.0706969998915845,0.2801201614320359,21.115381177666045,5,-0.07981528701268195,0.27944010791334495
