h,coef,se,Q,Q_p,I2,k,lo90,hi90
0,-0.011059729500064128,0.012537449727098306,3.7799593366664803,0.2862258174344412,20.634066856240864,4,-0.03168383430114084,0.009564375301012585
1,-0.021839292526971366,0.020227677901837028,1.4575782472999816,0.6920952775683461,0.0,4,-0.05511382267549328,0.011435237621550548
2,-0.05243485045454668,0.025440160876652615,1.2232412684350646,0.7474356620662412,0.0,4,-0.09428391509664023,-0.010585785812453133
3,-0.06073664964398156,0.026420114020758768,2.446870708513706,0.48496929389390675,0.0,4,-0.10419773720812973,-0.017275562079833384
4,-0.07255181889546464,0.028831221937453643,2.4603879660017025,0.4824924176660237,0.0,4,-0.11997917898257587,-0.025124458808353393
5,-0.10138629643702377,0.03282336148404394,1.5300965610411734,0.675341681903054,0.0,4,-0.15538072607827605,-0.04739186679577148
6,-0.11704496841433432,0.03753911129897593,2.901656150756331,0.40703771277164924,0.0,4,-0.1787968065011497,-0.05529313032751892
7,-0.10727587912293636,0.04736056054920069,3.352427835705786,0.3404120712742975,10.512615124840991,4,-0.1851840012263715,-0.02936775701950123
8,-0.1065050712808225,0.05343522470681683,2.4835731795903517,0.47826709383762356,0.0,4,-0.19440601592353618,-0.018604126638108814
9,-0.14058352174832806,0.06212667865111886,1.980897502129965,0.5763809513937963,0.0,4,-0.24278190812941858,-0.03838513536723753
10,-0.13840347695953836,0.0717012137747245,1.5005899280259047,0.6821341819471238,0.0,4,-0.25635197361896017,-0.020454980300116554
11,-0.09014838997044716,0.07668092921932392,2.2654569701444767,0.5191707143187139,0.0,4,-0.216288518536235,0.03599173859534069
12,-0.10462412782613781,0.0788056657102418,1.6652819354097248,0.6446797958498969,0.0,4,-0.23425944791948558,0.025011192267209964
13,-0.1207120558824845,0.08483335275267732,1.5523079198256533,0.6702513559732479,0.0,4,-0.2602629211606387,0.01883880939566969
14,-0.1674013703211838,0.09376829298497662,2.337939436492672,0.5052917061566451,0.0,4,-0.32165021228147034,-0.013152528360897253
15,-0.09683630659386289,0.09988681159720086,1.4908720755783025,0.6843786473677931,0.0,4,-0.26115011167125834,0.06747749848353254
16,-0.11297374535146235,0.09991898124555898,0.9198968364526117,0.8206237826317576,0.0,4,-0.27734046950040686,0.05139297879748217
17,-0.08255955447154116,0.09663696094388402,0.7673988276940436,0.8572478393746654,0.0,4,-0.24152735522423036,0.07640824628114805
18,-0.020069810692602295,0.09219856335904375,2.284534730470962,0.5154901147787401,0.0,4,-0.17173644741822927,0.13159682603302467
19,0.04097468280764617,0.09253991568652938,3.2696177896183807,0.3518937175510506,8.24615618603695,4,-0.11125347849669466,0.19320284411198702
20,0.02848234105437301,0.09387762550872623,3.629972621750632,0.30429220164767556,17.354748572368408,4,-0.12594635290748166,0.18291103501622766
21,0.014525188123474716,0.09392490084903025,2.3968599815529026,0.4942194038185056,0.0,4,-0.13998127377318004,0.1690316500201295
22,0.02180050034589132,0.0960971543421324,0.654812178553753,0.8837775028570989,0.0,4,-0.13627931854691647,0.1798803192386991
23,0.0300371385499168,0.1078133203700081,0.4300416187440642,0.9339690165048454,0.0,4,-0.14731577345874652,0.20739005055858012
24,0.07849929025470116,0.10452388667323499,1.7282793420479523,0.6306650603106798,0.0,4,-0.09344250332277039,0.25044108383217273
25,0.08952747918876709,0.10906104078673323,3.088715687112945,0.37814818953187324,2.872251644367706,4,-0.08987793290540909,0.2689328912829433
26,0.09660024741177127,0.09372688711232945,2.3289878528447154,0.5069903614332085,0.0,4,-0.05758048188801067,0.2507809767115532
27,0.14686658648948567,0.09161621323847984,2.4046298875456227,0.4927733525185787,0.0,4,-0.0038420842878136574,0.297575257266785
28,0.18454030924941128,0.09541747192818395,1.0918911864737222,0.7790319354456485,0.0,4,0.027578567927548675,0.3415020505712739
29,0.20564216737963675,0.10139395002219477,0.5652169281719753,0.9043469033092377,0.0,4,0.03884911959312634,0.3724352151661472
30,0.15817158238595327,0.10733370032551261,0.5777739124956031,0.9015011373879693,0.0,4,-0.01839235464951497,0.33473551942142155
31,0.15307158518129205,0.11761466489620313,0.3424332536090663,0.9518599771012195,0.0,4,-0.04040453857296211,0.3465477089355462
32,0.2056507504506245,0.10144013608674067,1.8217964288261226,0.610203314255221,0.0,4,0.038781726587936105,0.3725197743133129
33,0.21273107029344934,0.09520769437280745,2.8714249695745813,0.41187665535677775,0.0,4,0.05611441305018108,0.36934772753671763
34,0.20914950816913075,0.09675987507946664,3.698775032510702,0.295881870944929,18.8920663292241,4,0.04997951366340814,0.36831950267485336
35,0.20331654207940575,0.10152149794450127,1.8113805887607901,0.6124615291569353,0.0,4,0.036313677960701146,0.3703194061981103
36,0.14685912673620324,0.10104240479624427,0.6044326250199968,0.8954168795918688,0.0,4,-0.019355629153618575,0.3130738826260251
37,0.15804067645578104,0.09920780410772151,0.91064236281083,0.822858831985195,0.0,4,-0.005156161301420853,0.32123751421298297
38,0.12076775062584155,0.10222164745254593,0.6771747693420647,0.8785590845234765,0.0,4,-0.047386859433596495,0.2889223606852796
39,0.11926824327876709,0.11321750971370384,0.47438844025168636,0.9244810351693851,0.0,4,-0.06697456020027573,0.30551104675780993
40,0.07129400869324336,0.11488760176690077,0.18349955686843294,0.9802080236592936,0.0,4,-0.11769609621330841,0.26028411359979514
41,0.033245569592704576,0.11566414834609767,0.17038743631758405,0.9822219549301417,0.0,4,-0.1570219544366261,0.22351309362203525
42,0.08862115380916759,0.1146070696149165,0.24066693249841456,0.9707716898771909,0.0,4,-0.09990747570737006,0.2771497833257052
43,0.09890978106054782,0.10356180629051247,0.37630139910002813,0.9450933654046567,0.0,4,-0.0714493902873452,0.26926895240844084
44,0.11332657307192011,0.09974821044946898,0.3170273825405689,0.9567949174435966,0.0,4,-0.05075923311745635,0.2774123792612966
45,0.08815631433044438,0.09655750494214643,0.47704102215879673,0.923905659113421,0.0,4,-0.07068078129938651,0.24699340996027527
46,0.07053096060007588,0.09192804955662061,0.5100943230916304,0.9166682017687975,0.0,4,-0.08069068092056503,0.2217526021207168
